,Oficina,Departamento,Anio,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
0,medellin,antioquia,1957,1798,2900272,2066,12126714,0,0,3864,15026986
1,abejorral,antioquia,1957,302,423190,82,182655,0,0,384,605845
2,amalfi,antioquia,1957,660,1061974,273,851167,0,0,933,1913141
3,andes,antioquia,1957,349,967070,298,1474859,0,0,647,2441929
4,antioquia,antioquia,1957,336,294515,41,138789,0,0,377,433304
5,betulia,antioquia,1957,194,452610,61,362751,0,0,255,815361
6,bolivar,antioquia,1957,289,1149741,238,2018681,0,0,527,3168422
7,cañasgordas,antioquia,1957,654,642547,357,822044,0,0,1011,1464591
8,cisneros,antioquia,1957,303,168168,108,372080,0,0,411,540248
9,concordia,antioquia,1957,180,466030,59,391253,0,0,239,857283
10,fredonia,antioquia,1957,727,2161813,138,1029825,0,0,865,3191638
11,frontino,antioquia,1957,544,688118,484,1360893,0,0,1028,2049011
12,granada,antioquia,1957,820,510601,336,471596,0,0,1156,982197
13,ituango,antioquia,1957,687,879870,164,477681,0,0,851,1357551
14,jardin,antioquia,1957,140,225640,194,693324,0,0,334,918964
15,jerico,antioquia,1957,282,861035,151,635163,0,0,433,1496198
16,la ceja,antioquia,1957,282,389980,387,1133591,0,0,669,1523571
17,liborina,antioquia,1957,435,430091,181,545346,0,0,616,975437
18,marinilla,antioquia,1957,475,336806,232,308105,0,0,707,644911
19,remedios,antioquia,1957,96,155931,113,349853,0,0,209,505784
20,rionegro,antioquia,1957,369,214989,291,563073,0,0,660,778062
21,salgar,antioquia,1957,129,510250,127,1075912,0,0,256,1586162
22,san roque,antioquia,1957,210,106320,134,369499,0,0,344,475819
23,santa barbara,antioquia,1957,188,372067,83,307635,0,0,271,679702
24,santa rosa de osos,antioquia,1957,142,150463,427,1048770,0,0,569,1199233
25,santuario,antioquia,1957,580,391860,324,262754,0,0,904,654614
26,sonson,antioquia,1957,627,542377,81,164599,0,0,708,706976
27,sopetran,antioquia,1957,580,457407,193,782760,0,0,773,1240167
28,tamesis,antioquia,1957,617,950474,199,585846,0,0,816,1436320
29,turbo,antioquia,1957,230,181488,185,536408,0,0,415,717896
30,urrao,antioquia,1957,316,431570,202,680632,0,0,518,1112202
31,yarumal,antioquia,1957,781,772543,492,1815188,0,0,1273,2587731
32,yolombo,antioquia,1957,331,543373,104,816239,0,0,435,1359612
33,barranquilla,atlantico,1957,1161,2239378,553,3840378,0,0,1714,6079756
34,sabanalarga,atlantico,1957,1086,604356,290,891535,0,0,1376,1495891
35,cartagena,bolivar,1957,1025,1432907,757,4865088,0,0,1782,6297995
36,calamar,bolivar,1957,397,552052,276,1288447,0,0,673,1840499
37,corozal,bolivar,1957,154,264460,452,1994694,0,0,606,2259154
38,el carmen,bolivar,1957,142,267017,339,1853729,0,0,481,2110746
39,magangue,bolivar,1957,422,574694,502,2171863,0,0,924,2750557
40,maria la baja,bolivar,1957,295,235230,185,767788,0,0,480,1004018
41,mompos,bolivar,1957,209,741607,588,2282132,0,0,797,3023739
42,ovejas,bolivar,1957,81,173730,158,646608,0,0,239,826338
43,san juan nepomuceno,bolivar,1957,209,187745,263,1057636,0,0,472,1245381
44,san marcos,bolivar,1957,190,314593,258,1604354,0,0,448,1918947
45,san onofre,bolivar,1957,304,290295,235,893938,0,0,539,1184233
46,since,bolivar,1957,381,549132,509,1498966,0,0,890,2048098
