,Oficina,Departamento,Anio,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
84,choconta,cundinamarca,1953,1562,136913792,131,27720290,0,0,1693,164634082
85,facatativa,cundinamarca,1953,956,139665953,160,69916153,0,0,1116,209582106
86,fomeque,cundinamarca,1953,472,39825200,268,42307503,0,0,740,82122703
87,fusagasuga,cundinamarca,1953,1010,101228112,148,44432042,0,0,1158,145660154
88,gacheta,cundinamarca,1953,2056,163276069,141,29711388,0,0,2197,192987457
89,girardot,cundinamarca,1953,439,77554754,118,71995757,0,0,557,149550511
90,guasca,cundinamarca,1953,202,21863500,34,5967515,0,0,236,27831015
91,guatavita,cundinamarca,1953,391,43258209,70,14466127,0,0,461,57724336
92,la calera,cundinamarca,1953,305,33292632,88,31569613,0,0,393,64862245
93,la mesa,cundinamarca,1953,1309,112272388,149,62353461,0,0,1458,174625849
94,la palma,cundinamarca,1953,709,40096531,65,17217511,0,0,774,57314042
95,la peña,cundinamarca,1953,354,23182500,50,13606500,0,0,404,36789000
96,pacho,cundinamarca,1953,913,98272000,99,42407782,0,0,1012,140679782
97,san juan de rioseco,cundinamarca,1953,887,131390049,85,32741410,0,0,972,164131459
98,sasaima,cundinamarca,1953,284,23073500,118,25607542,0,0,402,48681042
99,soacha,cundinamarca,1953,574,82635400,106,25323454,0,0,680,107958854
100,sopo,cundinamarca,1953,123,16999250,40,16811306,0,0,163,33810556
101,ubate,cundinamarca,1953,847,85393611,196,68745157,0,0,1043,154138768
102,une,cundinamarca,1953,740,64419737,165,26950735,0,0,905,91370472
103,vergara,cundinamarca,1953,647,69397000,70,5616000,0,0,717,75013000
104,villeta,cundinamarca,1953,340,42456888,51,19630826,0,0,391,62087714
105,zipaquira,cundinamarca,1953,372,52672867,104,39784159,0,0,476,92457026
106,quibdo,choco,1953,147,4288428,15,2899541,0,0,162,7187969
107,neiva,huila,1953,1147,198871752,389,145162329,0,0,1536,344034081
108,acevedo,huila,1953,522,29355800,69,11228850,0,0,591,40584650
109,baraya,huila,1953,173,27172000,88,20415862,0,0,261,47587862
110,garzon,huila,1953,888,88992638,382,102100417,0,0,1270,191093055
111,la plata,huila,1953,380,25509347,207,40849421,0,0,587,66358828
112,palermo,huila,1953,392,44136445,85,19588064,0,0,477,63724509
113,pitalito,huila,1953,900,75056398,155,32020397,0,0,1055,107076795
114,san agustin,huila,1953,293,28670500,51,16001550,0,0,344,44672050
115,yaguara,huila,1953,311,70411000,79,37432453,0,0,390,107843453
116,carnecerias,huila,1953,138,9065000,94,14659832,0,0,232,23724832
117,santa marta,magdalena,1953,456,89890401,189,76643742,0,0,645,166534143
