,Oficina,Departamento,Anio,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
0,medellin,antioquia,1959,1760,3846063,1816,12795958,505,3099169,4081,19741190
1,abejorral,antioquia,1959,379,520490,127,256769,13,114400,519,891659
2,amalfi,antioquia,1959,346,644155,177,628578,1,8400,524,1281133
3,andes,antioquia,1959,351,940028,184,816647,130,718070,665,2474745
4,betulia,antioquia,1959,215,563937,67,307762,14,139031,296,1010730
5,bolivar,antioquia,1959,273,1136331,159,774621,63,569915,495,2480867
6,cañasgordas,antioquia,1959,418,463913,246,415359,35,211708,699,1090980
7,caucasia,antioquia,1959,155,387030,100,1109620,1,4048,256,1500698
8,cisneros,antioquia,1959,343,200600,121,344738,37,122085,501,667423
9,concordia,antioquia,1959,181,573985,58,237474,25,146799,264,958258
10,chigorodo,antioquia,1959,62,71280,46,201324,0,0,108,272604
11,dabeiba,antioquia,1959,310,547133,200,665222,3,25734,513,1238089
12,fredonia,antioquia,1959,892,2854075,212,1238551,120,406594,1224,4499220
13,frontino,antioquia,1959,367,390825,215,507431,24,167238,606,1065494
14,granada,antioquia,1959,565,364282,280,230035,6,16691,851,611008
15,ituango,antioquia,1959,624,955385,132,533852,4,30900,760,1520137
16,jardin,antioquia,1959,158,303115,203,659400,57,250726,418,1213241
17,jerico,antioquia,1959,334,1059260,137,514293,57,196825,528,1770378
18,la ceja,antioquia,1959,309,662659,356,732316,79,369527,744,1764502
19,liborina,antioquia,1959,466,482747,164,414614,59,227449,689,1124810
20,marinilla,antioquia,1959,510,390477,359,363227,130,386681,999,1140385
21,puerto berrio,antioquia,1959,44,177000,129,798763,0,0,173,975763
22,remedios,antioquia,1959,193,301715,222,857680,5,25593,420,1184988
23,rionegro,antioquia,1959,392,256478,384,483724,61,212180,837,952382
24,salgar,antioquia,1959,108,543590,106,547843,41,413868,255,1505301
25,san carlos,antioquia,1959,308,421990,307,586232,1,3228,616,1011450
26,san roque,antioquia,1959,307,190734,186,455785,29,77260,522,723779
27,santa barbara,antioquia,1959,308,604034,83,247705,50,212973,441,1064712
28,santafe de antioquia,antioquia,1959,371,332885,88,213302,24,85405,483,631592
29,santa rosa de osos,antioquia,1959,98,129231,431,1376696,12,55877,541,1561804
30,santuario,antioquia,1959,560,542788,371,350864,55,122914,986,1016566
31,sonson,antioquia,1959,672,651585,72,169502,128,311768,872,1132855
32,sopetran,antioquia,1959,613,530060,175,509905,85,423151,873,1463116
33,tamesis,antioquia,1959,552,798404,149,489004,105,409970,806,1697378
34,turbo,antioquia,1959,284,357630,183,887296,0,0,467,1244926
35,urrao,antioquia,1959,376,471623,300,759312,94,318065,770,1549000
36,yarumal,antioquia,1959,808,860523,433,1759761,129,718644,1370,3338928
37,yolombo,antioquia,1959,281,325195,112,706115,6,16547,399,1047857
38,barranquilla,atlantico,1959,1424,5089457,533,5315625,122,728465,2079,11133547
39,sabanalarga,atlantico,1959,1287,778207,351,1361254,22,124924,1660,2264385
40,cartagena,bolivar,1959,1423,3229664,897,7655571,112,1158017,2432,12043252
41,calamar,bolivar,1959,881,1174668,246,1355707,3,32000,1130,2562375
42,corozal,bolivar,1959,141,249520,359,1764710,90,414278,590,2428508
43,el carmen,bolivar,1959,242,352664,298,1622342,129,943064,669,2918070
44,magangue,bolivar,1959,489,966690,546,3360754,22,169844,1057,4497288
45,majagual,bolivar,1959,122,304047,143,685999,0,0,265,990046
46,maria la baja,bolivar,1959,254,258444,179,664542,12,101705,445,1024691
47,mompos,bolivar,1959,219,891904,564,2994277,16,90192,799,3976373
48,ovejas,bolivar,1959,144,278415,190,724619,28,181030,362,1184064
49,san juan nepomuceno,bolivar,1959,411,330140,330,1238468,55,299138,796,1867746
50,san onofre,bolivar,1959,758,864440,296,1270306,1,35000,1055,2169746
51,since,bolivar,1959,403,895290,482,1801489,71,311822,956,3008601
52,sincelejo,bolivar,1959,906,1754075,452,4037070,40,499721,1398,6290866
53,sucre,bolivar,1959,77,387650,190,755665,1,16000,268,1159315
54,tunja,boyaca,1959,1944,3456994,349,2061058,560,2314314,2853,7832366
55,chiquinquira,boyaca,1959,1417,2287425,523,1317684,117,571997,2057,4177106
56,duitama,boyaca,1959,824,1217328,191,968937,116,475280,1131,2661545
57,el cocuy,boyaca,1959,493,569171,257,595522,42,273008,792,1437701
58,el espino,boyaca,1959,849,654134,123,218760,28,124709,1000,997603
59,garagoa,boyaca,1959,1313,1699716,294,771845,102,367856,1709,2839417
60,guateque,boyaca,1959,1305,1189425,159,459828,61,225477,1525,1874730
61,guayata,boyaca,1959,955,1145285,123,240945,11,32201,1089,1418431
62,la uvita,boyaca,1959,1047,1133126,219,402908,10,53149,1276,1589183
63,leiva,boyaca,1959,1089,1115151,110,280288,129,366966,1328,1762405
64,miraflores,boyaca,1959,1288,2274212,1394,1706015,158,893142,2840,4873369
65,moniquira,boyaca,1959,1221,1377200,218,899494,139,572833,1578,2849527
66,orocue,boyaca,1959,57,86447,152,255332,0,0,209,341779
67,pauna,boyaca,1959,837,904970,188,333096,38,142896,1063,1380962
68,pesca,boyaca,1959,1348,1072514,74,166780,55,272972,1477,1512266
69,puebloviejo,boyaca,1959,1189,956700,85,122328,20,39949,1294,1118977
70,puerto boyaca,boyaca,1959,95,280045,26,154701,2,7924,123,442670
71,ramiriqui,boyaca,1959,1374,1422985,152,322571,164,572705,1690,2318261
72,saboya,boyaca,1959,1458,2030769,280,678934,31,87519,1769,2797222
73,san luis de gaceno,boyaca,1959,679,1759129,441,884252,7,44950,1127,2688331
74,san luis de palenque,boyaca,1959,57,175584,376,1065104,0,0,433,1240688
75,santa rosa de viterbo,boyaca,1959,825,1064688,58,255749,85,328052,968,1648489
76,soata,boyaca,1959,1383,1108226,151,314378,49,167127,1583,1589731
77,socha,boyaca,1959,767,874076,145,264833,14,64565,926,1203474
78,sogamoso,boyaca,1959,3033,2972573,278,2170643,99,421056,3410,5564272
79,tamara,boyaca,1959,269,466960,222,573131,0,0,491,1040091
80,ventaquemada,boyaca,1959,782,1405005,89,202377,91,372586,962,1979968
81,yopal,boyaca,1959,177,394556,493,857691,0,0,670,1252247
82,manizales,caldas,1959,470,2526909,476,4574980,206,1257601,1152,8359490
83,aguadas,caldas,1959,505,860643,164,898843,67,375876,736,2135362
84,anserma,caldas,1959,1026,2080035,270,1072462,91,620914,1387,3773411
85,apia,caldas,1959,397,740845,174,437626,17,71829,588,1250300
86,aranzazu,caldas,1959,599,865505,246,710525,68,308668,913,1884698
87,armenia,caldas,1959,886,3221710,296,2212115,179,772316,1361,6206141
88,belalcazar,caldas,1959,289,1028450,98,279900,9,97734,396,1406084
89,belen de umbria,caldas,1959,300,588000,92,269225,36,324983,428,1182208
90,calarca,caldas,1959,460,1691715,180,987783,67,337196,707,3016694
91,chinchina,caldas,1959,306,598190,100,334570,58,444060,464,1376820
92,filandia,caldas,1959,368,389775,96,132353,49,126284,513,648412
93,genova,caldas,1959,154,452785,49,292650,8,44200,211,789635
94,la dorada,caldas,1959,358,1243103,340,2641663,40,217259,738,4102025
95,manzanares,caldas,1959,924,1412195,361,626218,28,124659,1313,2163072
96,marsella,caldas,1959,269,510940,115,340981,60,441791,444,1293712
97,neira,caldas,1959,125,192895,38,95628,19,186125,182,474648
98,pacora,caldas,1959,385,571832,133,538742,27,126598,545,1237172
99,palestina,caldas,1959,98,307830,20,97916,17,180338,135,586084
100,pensilvania,caldas,1959,787,1210151,496,635393,46,184394,1329,2029938
101,pereira,caldas,1959,549,1484320,382,2816138,179,1066657,1110,5367115
102,pijao,caldas,1959,92,534930,44,238150,14,56379,150,829459
103,quinchia,caldas,1959,547,391560,35,86090,6,87017,588,564667
104,quimbaya,caldas,1959,271,547546,91,273124,39,161451,401,982121
105,riosucio,caldas,1959,1221,836697,122,379505,186,680728,1529,1896930
106,salamina,caldas,1959,470,727794,304,913626,67,294123,841,1935543
