codmpio,municipio,depto,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor,tratamiento,alf_A1938,alf_A1951,alf_A1964,alf_A1973,numero_prestamos,CP - Promedio,MP - Promedio,LP - Promedio,T - Promedio
5364,Jardín,Antioquia,900,1857.16,1182,5314.42,262,59.86,2344,7231.44,1,6537,6636,9689,10155,6,309.5266667,885.7366667,9.976666667,1205.24
5376,La Ceja,Antioquia,2178,6086.35,2274,10765.36,317,76.99,4769,16928.69,1,2377,2493,3363,3372,7,869.4785714,1537.908571,10.99857143,2418.384286
5380,La Estrella,Antioquia,0,0,0,0,0,0,0,0,0,2926,3120,4051,4323,0,0,0,0,0
5390,La Pintada,Antioquia,0,0,0,0,0,0,0,0,0,0,0,4844,0,0,0,0,0,0
5400,La Unión,Antioquia,0,0,0,0,0,0,0,0,0,2498,12188,42641,0,0,0,0,0,0
5425,Maceo,Antioquia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5440,Marinilla,Antioquia,5355,12614.78,2476,6814.56,488,65.45,8319,19494.81,1,6306,6354,8790,8520,9,1401.642222,757.1733333,7.272222222,2166.09
5467,Montebello,Antioquia,0,0,0,0,0,0,0,0,0,10142,8530,11689,10348,0,0,0,0,0
5475,Murindó,Antioquia,0,0,0,0,0,0,0,0,0,6621,7069,10733,15206,0,0,0,0,0
5480,Mutatá,Antioquia,0,0,0,0,0,0,0,0,0,4135,4869,10040,15818,0,0,0,0,0
5483,Nariño,Antioquia,360,19.62,57,8.99,40,2.65,457,31.26,1,2753,3817,6162,7567,1,19.62,8.99,2.65,31.26
5490,Necoclí,Antioquia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5495,Nechí,Antioquia,0,0,0,0,0,0,0,0,0,582,0,1376,0,0,0,0,0,0
5501,Olaya,Antioquia,0,0,0,0,0,0,0,0,0,3757,4333,5485,6473,0,0,0,0,0
5541,Peñol,Antioquia,0,0,0,0,0,0,0,0,0,1433,0,9734,14968,0,0,0,0,0
5543,Peque,Antioquia,0,0,0,0,0,0,0,0,0,8759,8202,10576,15438,0,0,0,0,0
5576,Pueblorrico,Antioquia,0,0,0,0,0,0,0,0,0,116541,241779,523517,0,0,0,0,0,0
5579,Puerto Berrío,Antioquia,257,31.58,496,111.11,1,0.02,754,142.71,1,0,0,0,0,4,7.895,27.7775,0.005,35.6775
5585,Puerto Nare,Antioquia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5591,Puerto Triunfo,Antioquia,0,0,0,0,0,0,0,0,0,3112,0,5918,0,0,0,0,0,0
5604,Remedios,Antioquia,931,3527.72,1167,13467.44,28,17.06,2126,17012.23,1,1945,0,1988,0,7,503.96,1923.92,2.437142857,2430.318571
5607,Retiro,Antioquia,0,0,0,0,0,0,0,0,0,4592,4611,5388,5545,0,0,0,0,0
5628,Sabanalarga,Antioquia,0,0,0,0,0,0,0,0,0,4657,5457,6963,0,0,0,0,0,0
5631,Sabaneta,Antioquia,0,0,0,0,0,0,0,0,0,6557,0,6825,0,0,0,0,0,0
5642,Salgar,Antioquia,804,3757.09,676,4492.74,144,59.06,1624,8308.87,1,193,546,1625,2935,6,626.1816667,748.79,9.843333333,1384.811667
5647,San Andrés de Cuerquía,Antioquia,0,0,0,0,0,0,0,0,0,11424,0,19536,0,0,0,0,0,0
5649,San Carlos,Antioquia,1118,70.68,1195,88.15,3,0.37,2316,159.2,1,5711,5817,6821,8262,3,23.56,29.38333333,0.123333333,53.06666667
5652,San Francisco,Antioquia,0,0,0,0,0,0,0,0,0,3102,0,4017,0,0,0,0,0,0
5656,San Jerónimo,Antioquia,0,0,0,0,0,0,0,0,0,1357,485,2268,3196,0,0,0,0,0
