,Oficina,CP - Numero,CP - Valor,MP - Numero,MP - Valor,T - Numero,T - Valor,Check - Valor,Check - Numero
107,baraya,158,21860342,50,10727988,208,32588330,0,0
108,acevedo,532,25445000,38,6380727,570,31825727,0,0
109,palermo,217,27262500,38,9939500,255,37202000,0,0
110,santa marta,390,78368519,155,67573153,545,145941672,0,0
111,chiriguana,215,13372197,253,44564763,468,57936960,0,0
112,el banco,188,36186508,504,125992195,692,162178703,0,0
113,fundacion,202,65989647,333,179835952,535,245825599,0,0
114,plato,315,49516929,641,194434057,956,243950986,0,0
115,san juan del cesar,237,38423475,324,82365475,561,120778950,10000,0
116,valledupar,464,92649656,530,190575257,994,283224913,0,0
117,villanueva,281,37291236,189,46378157,470,83669393,0,0
118,riohacha,46,2979894,67,15312000,113,18291894,0,0
119,pasto,1466,114879328,1121,249482796,2587,364362124,0,0
120,ipiales,756,78945950,250,46363527,1006,125309477,0,0
121,la cruz,818,79434500,146,29263000,964,108697500,0,0
122,la union,849,70561553,297,49113885,1146,119675438,0,0
123,tuquerres,665,46314080,394,55848582,1059,102162662,0,0
124,sandona,215,15087000,43,7703400,258,22790400,0,0
125,samaniago,268,15738227,90,10338964,358,26077191,0,0
126,cucuta,886,203642900,276,167243460,1162,370886360,0,0
127,cachira,298,20442000,85,16638000,383,37080000,0,0
128,chinacota,292,33806862,82,19677763,374,53484625,0,0
129,ocaña,1156,134976809,397,179343789,1553,314320598,0,0
130,pamplona,821,70983930,328,68818808,1149,139802738,0,0
131,salazar,672,65812597,207,20811923,879,86624520,0,0
132,sardinata,507,66051795,40,9642500,547,75694295,0,0
133,toledo,463,38171003,97,18037700,560,56208703,0,0
134,bucaramanga,1338,155479480,343,150755039,1681,306234519,0,0
135,charala,735,68814600,171,39014974,906,107829574,0,0
136,malaga,1374,88310033,29,8493300,1403,96803333,0,0
137,puente nacional,444,27191196,463,58121345,907,85312541,0,0
138,rionegro,293,37956106,71,13649800,364,51605906,0,0
139,san andres,540,34827500,115,23505000,655,58332500,0,0
140,san gil,837,91286797,128,43492576,965,134779373,0,0
141,san vicente,355,44358128,175,61924409,530,106282537,0,0
142,socorro,1007,113017383,285,112488726,1292,225506109,0,0
143,velez,640,46851906,170,33406090,810,80257996,0,0
144,surata,139,8283000,24,3772000,163,12055000,0,0
145,matanza,426,23287457,44,8693621,470,31981078,0,0
146,ibague,1797,329253386,864,332082387,2661,661335773,0,0
147,armero,488,131871923,204,82341059,692,214212982,0,0
148,chaparral,269,28188513,76,30128246,345,58316759,0,0
149,espinal,834,88504103,120,52400742,954,140904845,0,0
150,fresno,630,50985377,93,31588660,723,82574037,0,0
151,guamo,842,73216500,132,63433975,974,136650475,0,0
152,honda,556,70534946,140,56652921,696,127187867,0,0
153,icononzo,578,54668651,82,20205360,660,74874011,0,0
154,libano,676,80997000,201,46433962,877,127430962,0,0
155,ortega,501,56948000,131,29173496,632,86121496,0,0
156,purificacion,883,141047587,472,128717334,1355,269764901,20,0
157,san antonio,215,30366024,57,15812097,272,46178121,0,0
158,san luis,380,31424791,55,15497259,435,46927050,-5000,0
159,villahermosa,349,25345100,88,13856742,437,39201842,0,0
160,herveo,164,14078000,22,4655500,186,18733500,0,0
161,santa isabel,101,20405000,44,9634079,145,30039079,0,0
162,cali,1184,124142597,591,225293531,1775,349436128,0,0
163,buga,735,62158239,347,109078099,1082,171236338,0,0
164,caicedonia,350,85245900,164,49447700,514,134693800,-200,0
165,cartago,800,170026088,187,105188035,987,275214123,0,0
166,palmira,622,78519200,260,117981693,882,196500893,0,0
167,roldanillo,842,103219876,368,120402172,1210,223622048,0,0
168,sevilla,396,73500200,321,104801000,717,178304200,-3000,0
169,tulua,1116,146505320,319,117155599,1435,263660919,0,0
170,trujillo,391,54029041,117,35131757,508,89160798,0,0
171,el aguila,172,31644000,20,6922000,192,38566000,0,0
172,el cairo,213,39669000,34,8908000,247,48577000,0,0
173,cerrito,125,11580100,58,22248100,183,33828200,0,0
174,arauca,144,20562546,91,26686870,235,47249416,0,0
175,florencia,1054,73933017,298,95063676,1352,168996693,0,0
176,san andres,78,2926200,4,390000,82,3316200,0,0
177,villavicencio,860,137571167,149,54251109,1009,191822276,0,0
178,mocoa,81,4555000,91,14159000,172,18714000,0,0
