,Oficina,Departamento,CP - Numero,CP - Valor,MP - Numero,MP - Valor,T - Numero,T - Valor,Check - Valor,Check - Numero
0,medellin,antioquia,1798,2900272,2066,12126714,3864,15026986,0,0
1,abejorral,antioquia,302,423190,82,182655,384,605845,0,0
2,amalfi,antioquia,660,1061974,273,851167,933,1913141,0,0
3,andes,antioquia,349,967070,298,1474859,647,2441929,0,0
4,antioquia,antioquia,336,294515,41,138789,377,433304,0,0
5,betulia,antioquia,194,452610,61,362751,255,815361,0,0
6,bolivar,antioquia,289,1149741,238,2018681,527,3168422,0,0
7,cañasgordas,antioquia,654,642547,357,822044,1011,1464591,0,0
8,cisneros,antioquia,303,168168,108,372080,411,540248,0,0
9,concordia,antioquia,180,466030,59,391253,239,857283,0,0
10,fredonia,antioquia,727,2161813,138,1029825,865,3191638,0,0
11,frontino,antioquia,544,688118,484,1360893,1028,2049011,0,0
12,granada,antioquia,820,510601,336,471596,1156,982197,0,0
13,ituango,antioquia,687,879870,164,477681,851,1357551,0,0
14,jardin,antioquia,140,225640,194,693324,334,918964,0,0
15,jerico,antioquia,282,861035,151,635163,433,1496198,0,0
16,la ceja,antioquia,282,389980,387,1133591,669,1523571,0,0
17,liborina,antioquia,435,430091,181,545346,616,975437,0,0
18,marinilla,antioquia,475,336806,232,308105,707,644911,0,0
19,remedios,antioquia,96,155931,113,349853,209,505784,0,0
20,rionegro,antioquia,369,214989,291,563073,660,778062,0,0
21,salgar,antioquia,129,510250,127,1075912,256,1586162,0,0
22,san roque,antioquia,210,106320,134,369499,344,475819,0,0
23,santa barbara,antioquia,188,372067,83,307635,271,679702,0,0
24,santa rosa de osos,antioquia,142,150463,427,1048770,569,1199233,0,0
25,santuario,antioquia,580,391860,324,262754,904,654614,0,0
26,sonson,antioquia,627,542377,81,164599,708,706976,0,0
27,sopetran,antioquia,580,457407,193,782760,773,1240167,0,0
28,tamesis,antioquia,617,950474,199,585846,816,1436320,100000,0
29,turbo,antioquia,230,181488,185,536408,415,717896,0,0
30,urrao,antioquia,316,431570,202,680632,518,1112202,0,0
31,yarumal,antioquia,781,772543,492,1815188,1273,2587731,0,0
32,yolombo,antioquia,331,543373,104,816239,435,1359612,0,0
33,barranquilla,atlantico,1161,2239378,553,3840378,1714,6079756,0,0
34,sabanalarga,atlantico,1086,604356,290,891535,1376,1495891,0,0
35,cartagena,bolivar,1025,1432907,757,4865088,1782,6297995,0,0
36,calamar,bolivar,397,552052,276,1288447,673,1840499,0,0
37,corozal,bolivar,154,264460,452,1994694,606,2259154,0,0
38,el carmen,bolivar,142,267017,339,1853729,481,2110746,10000,0
39,magangue,bolivar,422,574694,502,2171863,924,2750557,-4000,0
40,maria la baja,bolivar,295,235230,185,767788,480,1004018,-1000,0
41,mompos,bolivar,209,741607,588,2282132,797,3023739,0,0
42,ovejas,bolivar,81,173730,158,646608,239,826338,-6000,0
43,san juan nepomuceno,bolivar,209,187745,263,1057636,472,1245381,0,0
44,san marcos,bolivar,190,314593,258,1604354,448,1918947,0,0
45,san onofre,bolivar,304,290295,235,893938,539,1184233,0,0
46,since,bolivar,381,549132,509,1498966,890,2048098,0,0
47,sincelejo,bolivar,701,1516890,559,3846455,1260,5363345,0,0
48,sucre,bolivar,90,183117,252,844014,342,1027131,0,0
49,tunja,boyaca,1561,2134246,581,2898940,2142,5033186,0,0
50,chiquinquira,boyaca,1527,1933878,484,1342147,2011,3276025,0,0
51,duitama,boyaca,925,1106750,193,803155,1118,1909905,0,0
52,el cocuy,boyaca,990,944516,366,1004578,1356,1949094,0,0
53,el espino,boyaca,676,503259,84,197542,760,700801,0,0
54,garagoa,boyaca,1203,1302766,370,804078,1573,2106844,0,0
55,guateque,boyaca,1061,844320,135,277453,1196,1121773,0,0
56,guayata,boyaca,962,916105,67,124951,1029,1041056,0,0
57,la uvita,boyaca,944,919437,162,305819,1106,1225256,0,0
58,leiva,boyaca,735,631691,183,437058,918,1068749,0,0
59,miraflores,boyaca,825,1124965,1652,2125203,2477,3250168,0,0
60,moniquira,boyaca,1059,969023,219,640025,1278,1609048,0,0
61,orocue,boyaca,57,75073,158,229716,215,304789,0,0
62,pauna,boyaca,843,736652,153,255662,996,992314,0,0
63,pesca,boyaca,1317,961953,114,320887,1431,1282840,0,0
