,Oficina,Departamento,CP - Numero,CP - Valor,MP - Numero,MP - Valor,T - Numero,T - Valor,Check - Valor,Check - Numero
0,medellin,antioquia,1874,312205350,1922,1124727076,3796,1436932426,0,0
1,abejorral,antioquia,340,43395500,76,8931423,416,52326923,0,0
2,amalfi,antioquia,636,84010862,277,88771701,913,172782563,0,0
3,andes,antioquia,332,80152500,305,117321385,637,197473885,0,0
4,antioquia,antioquia,270,24245500,33,12083025,303,36328525,0,0
5,betulia,antioquia,213,42628000,58,29182394,271,72810394,-1000000,0
6,bolivar,antioquia,358,148013300,158,153502553,516,301515853,0,0
7,cañasgordas,antioquia,1031,86469083,431,82333301,1462,168802384,0,0
8,cisneros,antioquia,269,14062802,52,11039795,321,25102597,0,0
9,concordia,antioquia,214,42037310,62,36497133,276,78534443,0,0
10,fredonia,antioquia,696,206619967,90,72041140,786,278661107,0,0
11,frontino,antioquia,772,100240470,562,155951535,1334,256192005,0,0
12,granada,antioquia,902,52008712,216,29860835,1118,81869647,-100,0
13,ituango,antioquia,764,87654523,201,55242002,965,142896525,0,0
14,jardin,antioquia,141,20372700,179,58959388,320,79332088,0,0
15,jerico,antioquia,304,86332200,157,53970963,461,140303163,0,0
16,la ceja,antioquia,255,34964691,285,86546781,540,121511472,0,0
17,liborina,antioquia,491,47634500,159,33300113,650,80934613,0,0
18,marinilla,antioquia,932,63220727,489,43956159,1421,107176886,0,0
19,remedios,antioquia,58,8648934,116,38818959,174,47467893,0,0
20,rionegro,antioquia,299,19388450,287,53018074,586,72406524,0,0
21,salgar,antioquia,171,63295000,86,75572072,257,138867072,0,0
22,santa barbara,antioquia,203,38571100,83,35762004,286,74333104,0,0
23,santa rosa de osos,antioquia,164,20190482,451,105295367,615,125485849,0,0
24,san roque,antioquia,226,14995088,67,21068011,293,36063099,0,0
25,sonson,antioquia,665,52454643,112,22225609,777,74680252,0,0
26,sopetran,antioquia,625,56689256,129,60420128,754,117109384,0,0
27,tamesis,antioquia,757,75777375,242,55213864,999,130991239,0,0
28,turbo,antioquia,288,23670271,185,60927067,473,84597338,0,0
29,urrao,antioquia,393,39873242,224,65389405,617,105262647,0,0
30,yarumal,antioquia,872,80348752,540,154730249,1412,235079001,0,0
31,yolombo,antioquia,435,54571469,118,71220811,553,125792280,0,0
32,barranquilla,atlantico,928,200974975,543,419043966,1471,620018941,0,0
33,sabanalarga,atlantico,946,59180172,229,65732000,1175,124912172,0,0
34,cartagena,bolivar,929,153553067,682,456390671,1611,609943738,0,0
35,calamar,bolivar,336,53817748,250,127674183,586,181491931,0,0
36,corozal,bolivar,128,22595104,409,192107588,537,214702692,0,0
37,el carmen,bolivar,112,15797500,299,156926134,411,172723534,100,0
38,magangue,bolivar,397,55679868,496,213843352,893,269523220,0,0
39,maria la baja,bolivar,395,25991204,191,78605231,586,104596435,0,0
40,mompos,bolivar,231,70345300,554,214856528,785,285201828,0,0
41,ovejas,bolivar,70,10190000,134,62524027,204,72714027,0,0
42,san juan nepomuceno,bolivar,138,10337500,282,102901371,420,113238871,0,0
43,san marcos,bolivar,196,32787800,260,170137813,456,202925613,0,0
44,san onofre,bolivar,307,36598300,155,77373297,462,113971597,0,0
45,since,bolivar,248,38655700,490,150463440,738,189119140,0,0
46,sincelejo,bolivar,618,131240811,487,388676106,1105,519916917,0,0
47,sucre,bolivar,72,14241869,280,89677449,352,103919318,0,0
48,tunja,boyaca,1865,247603469,675,335512362,2540,583115831,0,0
49,chiquinquira,boyaca,1675,204706215,450,126999880,2125,331706095,0,0
50,duitama,boyaca,1013,119142770,208,90575076,1221,209717846,0,0
51,el cocuy,boyaca,917,70764184,367,99169002,1284,169933186,0,0
52,el espino,boyaca,572,44356500,85,16011086,657,60367586,0,0
53,garagoa,boyaca,1187,120591096,331,74546628,1518,195137724,0,0
54,guateque,boyaca,1067,82626000,141,28894060,1208,111520060,0,0
55,guayata,boyaca,904,84200925,68,11348850,972,95549775,0,0
56,la uvita,boyaca,1003,99345048,154,26477435,1157,125822483,0,0
57,leiva,boyaca,999,69936067,243,56851288,1242,126787355,0,0
58,miraflores,boyaca,964,117310068,1813,198301255,2777,315611323,0,0
59,moniquira,boyaca,1259,97351729,227,49006111,1486,146357840,0,0
60,orocue,boyaca,36,3830000,178,21788160,214,25618160,0,0
61,pauna,boyaca,925,75968468,197,28003927,1122,103972395,0,0
62,pesca,boyaca,1431,106799749,103,26278943,1534,133078692,0,0
63,puebloviejo,boyaca,1262,75296140,114,18879506,1376,94175646,0,0
64,ramiriqui,boyaca,1395,123142719,282,42792759,1677,165935478,0,0
65,saboya,boyaca,1150,115813363,337,44985766,1487,160799129,0,0
66,san luis de gaceno,boyaca,459,85407000,583,61491056,1042,146898056,0,0
67,san luis de palenque,boyaca,56,9744261,472,115186325,528,124930586,0,0
68,santa rosa de viterbo,boyaca,866,93100472,88,23420925,954,116521397,0,0
69,soata,boyaca,908,78263889,99,29330397,1007,107594286,0,0
70,socha,boyaca,813,68372002,386,47819216,1199,116191218,0,0
71,sogamoso,boyaca,3543,361066352,259,120537031,3802,481603383,0,0
72,tamara,boyaca,249,35310370,303,87915984,552,123226354,0,0
