,Oficina,Departamento,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor,Check - Valor,Check - Numero
81,tamara,boyaca,281,516114,214,506145,0,0,495,1022259,0,0
82,toca,boyaca,381,574194,61,454453,153,549327,595,1577974,0,0
83,ventaquemada,boyaca,1026,2076390,104,276691,80,335797,1210,2688878,0,0
84,yopal,boyaca,186,369220,540,1139427,0,0,726,1508647,0,0
85,manizales,caldas,518,2708470,543,5318562,187,1026773,1248,9053805,0,0
86,aguadas,caldas,511,940898,155,906669,68,390990,734,2238557,0,0
87,ansorme,caldas,1094,2010563,280,1058447,92,600624,1466,3669634,0,0
88,apia,caldas,382,696164,215,478527,20,123856,617,1298547,0,0
89,aranzazu,caldas,614,945036,231,640563,61,239990,906,1825589,0,0
90,armenia,caldas,980,3457283,396,2696497,171,825947,1547,6979727,0,0
91,belalcazar,caldas,403,1325408,155,445550,11,133880,569,1904838,0,0
92,bolen de umbria,caldas,300,533210,128,340802,35,313814,463,1187826,0,0
93,calarca,caldas,477,1842600,196,1039254,61,268387,734,3150241,0,0
94,chinchina,caldas,319,607509,124,328192,59,402615,502,1338316,0,0
95,filandia,caldas,381,384128,134,189518,50,137564,565,711210,0,0
96,genova,caldas,178,632000,63,409390,6,64023,247,1105413,0,0
97,la dorada,caldas,264,1141310,344,3508624,37,167379,645,4817313,0,0
98,manzanarea,caldas,902,1365598,352,840944,29,107545,1283,2314087,0,0
99,marsella,caldas,254,452662,126,307563,56,388363,436,1148588,0,0
100,neira,caldas,171,262379,56,112130,18,146576,245,521084,1,0
101,pacora,caldas,548,874490,137,562993,29,117758,714,1555241,0,0
102,palestina,caldas,88,317050,21,63456,18,167367,127,547873,0,0
103,pensilvania,caldas,813,1254822,436,740736,40,132379,1289,2127937,0,0
104,pereira,caldas,661,1878378,413,3269687,160,881473,1234,6029538,0,0
105,pijao,caldas,131,920825,51,533280,14,54104,196,1508209,0,0
106,quinchia,caldas,540,406224,65,154856,9,93347,614,654427,0,0
107,quimbaya,caldas,281,517541,84,277948,37,141202,402,936691,0,0
108,riosucio,caldas,10,734686,165,453065,182,657230,1377,1844981,0,-1020
109,salamina,caldas,551,1053951,283,953526,67,290698,901,2298175,0,0
110,samans,caldas,288,369000,114,180927,7,58054,409,607981,0,0
111,santa rosa de cabal,caldas,509,746320,347,651278,168,728100,1024,2125698,0,0
112,santuario,caldas,253,523127,49,197811,2,15000,304,735938,0,0
113,viterbo,caldas,121,397055,24,120794,26,121243,171,639092,0,0
114,popayan,cauca,1008,1861050,676,4941224,264,968117,1948,7770391,0,0
115,bollvar,cauca,643,824843,286,577752,9,15378,938,1417973,0,0
116,caloto,cauca,512,529750,164,657238,110,335939,786,1522927,0,0
117,corinto,cauca,288,368812,183,508033,24,85977,495,962822,0,0
118,el bordo,cauca,271,528470,202,973838,29,94197,502,1596505,0,0
119,el tambo,cauca,623,626095,287,784388,88,269826,998,1680309,0,0
120,miranda,cauca,136,214506,60,349425,37,134594,233,698525,0,0
121,paez,cauca,175,150141,218,504751,0,0,393,654892,0,0
122,piendamo,cauca,939,857492,128,355544,174,520539,1241,1733575,0,0
123,puerto tejada,cauca,253,393189,121,628363,46,175646,420,1197198,0,0
124,santander,cauca,670,808071,205,875283,108,324002,983,2007356,0,0
125,timbio,cauca,914,958273,181,525114,229,647917,1324,2131304,0,0
126,monteria,cordoba,603,2513366,506,6322512,24,252543,1133,9088421,0,0
127,ayapel,cordoba,185,548614,142,1266551,4,17784,331,1832949,0,0
128,cerete,cordoba,731,2723936,550,4065058,5,74304,1286,6863298,0,0
129,cienaga de oro,cordoba,310,778275,216,1032980,3,26310,529,1837565,0,0
130,china,cordoba,383,420235,225,1031397,2,29009,610,1480641,0,0
131,lorica,cordoba,976,1616699,464,3280089,41,222763,1481,5119551,0,0
132,montellbano,cordoba,168,614850,176,1472934,1,11760,345,2099544,0,0
133,sahagun ,cordoba,560,739428,535,3904364,45,326316,1140,4970108,0,0
134,san andres,cordoba,328,438988,197,997409,8,36032,533,1472429,0,0
135,san bernardo del viento,cordoba,528,934941,122,950806,2,28259,652,1914006,0,0
136,san marcos,cordoba,274,666668,362,2845052,2,43050,638,3554770,0,0
137,tierralta,cordoba,725,1411970,418,2179420,1,2985,1144,3594375,0,0
138,bogota,cundinamarca,1930,13048438,2844,31497684,1485,14736947,6259,59283069,0,0
139,anolaima,cundinamarca,695,970843,177,417152,161,638909,1033,2026904,0,0
140,arbelaez,cundinamarca,463,596020,102,261144,87,416675,652,1273839,0,0
141,cabrera,cundinamarca,359,511933,1009,1585675,42,287835,1410,2385443,0,0
142,cachipay,cundinamarca,295,531817,60,230555,63,293910,418,1056282,0,0
143,caqueza,cundinamarca,1374,1795340,116,334904,76,269078,1566,2399322,0,0
144,chia,cundinamarca,287,911766,111,691718,54,179045,452,1782529,0,0
145,choconta,cundinamarca,1317,1718862,177,713057,50,205240,1544,2637159,0,0
146,el colegio,cundinamarca,475,559100,44,106967,86,247421,605,913488,0,0
147,facatativa,cundinamarca,784,2035472,195,1110374,196,1000632,1175,4146478,0,0
148,fomeque,cundinamarca,470,887633,194,344873,98,347382,762,1579888,0,0
149,fusagasuga,cundinamarca,748,1275043,445,913286,511,1673685,1704,3862014,0,0
150,gachala,cundinamarca,649,1000845,224,419876,25,89717,898,1510440,-2,0
151,gacheta,cundinamarca,863,1070694,664,830093,86,231806,1613,2132593,0,0
152,girardot,cundinamarca,294,1193218,241,2785930,55,1263408,590,5242556,0,0
153,guaduas,cundinamarca,340,505682,101,384566,76,400068,517,1290316,0,0
154,guasca,cundinamarca,300,470809,90,165124,33,111122,423,747055,0,0
155,guatavita,cundinamarca,205,316796,33,55043,20,70306,258,442145,0,0
156,la calera,cundinamarca,411,889405,147,434234,118,445203,676,1768842,0,0
157,la mesa,cundinamarca,840,1345618,83,507464,105,488705,1028,2341787,0,0
158,la palma,cundinamarca,598,930900,186,766282,75,306189,859,2003371,0,0
159,la peña,cundinamarca,364,370936,30,67963,17,98302,411,537201,0,0
160,la vega,cundinamarca,337,678317,62,248297,47,260808,446,1187422,0,0
161,medina,cundinamarca,269,510935,552,641276,2,8463,823,1160674,0,0
162,nocaima,cundinamarca,185,225472,44,139864,33,242889,262,608225,0,0
163,pacho,cundinamarca,732,1021671,410,1361969,132,813233,1274,3196873,0,0
164,pasca,cundinamarca,635,1294160,351,497689,46,223437,1032,2015286,0,0
165,san bernardo,cundinamarca,320,472360,102,118525,35,154200,457,745085,0,0
166,san francisco,cundinamarca,435,886110,142,530986,80,361702,657,1778798,0,0
167,san juan de rioseco,cundinamarca,726,1344087,125,484425,76,477456,927,2305968,0,0
168,sasaima,cundinamarca,367,536246,130,391769,94,392749,591,1320764,0,0
