,Oficina,Departamento,CP - Numero,CP - Valor,MP - Numero,MP - Valor,T - Numero,T - Valor,Check - Valor,Check - Numero
0,medellin,antioquia,1801,59640173,960,588812363,2761,648452536,0,0
1,abejorral,antioquia,347,43288500,32,6843950,379,50132450,0,0
2,amalfi,antioquia,535,58280518,277,83904239,812,142184757,0,0
3,andes,antioquia,415,97448014,322,72687655,737,170135669,0,0
4,bolivar,antioquia,359,137155000,52,25013125,411,162168125,0,0
5,concordia,antioquia,434,104862000,42,20455000,476,125317000,0,0
6,fredonia,antioquia,574,179780484,54,22269444,628,202049928,0,0
7,frontino,antioquia,958,107383662,687,150770739,1645,258154401,0,0
8,granada,antioquia,913,56309452,82,12550315,995,68859767,0,0
9,ituango,antioquia,817,86859900,184,33132946,1001,119992846,0,0
10,jerico,antioquia,308,67981131,74,35678933,382,103660064,0,0
11,liborina,antioquia,645,49672322,125,26077841,770,75750163,0,0
12,marinilla,antioquia,568,31621944,173,15610332,741,47232276,0,0
13,rionegro,antioquia,435,40655627,204,48037678,639,88693105,200,0
14,santa rosa de osos,antioquia,139,11747351,455,95904700,594,107652051,0,0
15,sonson,antioquia,915,69299700,108,22314718,1023,91614418,0,0
16,sopetran,antioquia,725,58240700,87,40468100,812,98708800,0,0
17,tamesis,antioquia,774,78901116,239,41695251,1013,120596367,0,0
18,turbo,antioquia,301,18467714,129,38061710,430,56529424,0,0
19,urrao,antioquia,651,59767794,146,50810991,797,110578785,0,0
20,yarumal,antioquia,825,79575491,491,117907573,1316,197483064,0,0
21,yolombo,antioquia,897,85100427,229,93243089,1126,178343516,0,0
22,barranquilla,atlantico,726,183885381,296,176566561,1022,360451942,0,0
23,sabanalarga,atlantico,655,41155370,69,19525333,724,60680703,0,0
24,cartagena,bolivar,753,126595478,461,302640018,1214,429235496,0,0
25,calamar,bolivar,274,34388134,194,81062901,468,115451035,0,0
26,corozal,bolivar,372,39341422,699,240624427,71,279965849,0,1000
27,el carmen,bolivar,211,29426536,370,142329089,581,171755625,0,0
28,magangue,bolivar,626,65406172,605,219842495,1231,285248667,0,0
29,maria la baja,bolivar,497,25092726,140,65721238,637,90813964,0,0
30,mompos,bolivar,210,53325960,368,130567100,578,183893060,0,0
31,san marcos,bolivar,268,47604633,113,72959931,381,120564564,0,0
32,san onofre,bolivar,489,45759089,112,41509646,601,87268735,0,0
33,sincelejo,bolivar,682,89831061,395,225912966,1077,315744027,0,0
34,tunja,boyaca,2831,424775659,569,185280853,3400,610056512,0,0
35,chiquinquira,boyaca,2659,278204984,456,108266933,3115,386471917,0,0
36,duitama,boyaca,2130,263524461,128,49943583,2258,313468044,0,0
37,el cocuy,boyaca,1346,110671334,425,56903516,1771,167574850,0,0
