,Oficina,Departamento,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor,Check - Valor,Check - Numero
0,medellin,antioquia,1729,3602377,1680,10128946,509,3193464,3918,16924787,0,0
1,abejorral,antioquia,306,407760,73,189747,12,133090,391,730597,0,0
2,amalfi,antioquia,496,801985,228,715915,1,3400,725,1521300,0,0
3,andes,antioquia,319,1004988,172,829929,113,742656,604,2577573,0,0
4,betulia,antioquia,191,514650,57,371860,8,65926,256,952436,0,0
5,bolivar,antioquia,314,1299749,163,904532,70,744794,547,2949075,0,0
6,cañasgordas,antioquia,659,712250,315,545738,39,250306,1013,1508294,0,0
7,cisneros,antioquia,300,158425,104,286344,39,131433,443,576202,0,0
8,concordia,antioquia,167,547230,39,229903,27,150261,233,927394,0,0
9,fredonia,antioquia,807,2688738,157,977137,119,396193,1083,4062068,0,0
10,frontino,antioquia,542,818638,373,1003153,27,162398,942,1984189,0,0
11,granada,antioquia,877,657325,377,510242,8,24091,1262,1191658,0,0
12,ituango,antioquia,631,827657,134,421619,3,23300,768,1272576,0,0
13,jardin,antioquia,130,236190,163,598940,51,204136,344,1039266,0,0
14,jerico,antioquia,252,916137,108,362337,63,232811,423,1511285,0,0
15,la ceja,antioquia,323,654286,338,684692,74,407400,735,1746378,0,0
16,liborina,antioquia,440,445785,164,449689,60,243590,664,1139064,0,0
17,marinilla,antioquia,523,367504,286,309624,136,419558,945,1096686,0,0
18,puerto berrio,antioquia,44,216730,55,528468,0,0,99,745198,0,0
19,remedios,antioquia,109,224408,94,461209,5,26826,208,712443,0,0
20,rionegro,antioquia,344,211173,332,488716,68,257193,744,957082,0,0
21,salgar,antioquia,113,543350,105,596903,40,462606,258,1602859,0,0
22,san roque,antioquia,212,122695,149,430614,29,83169,390,636478,0,0
23,santa barbara,antioquia,216,442238,58,139920,47,195598,321,777756,0,0
24,santafe de antioquia,antioquia,367,370315,59,208805,26,101093,452,680213,0,0
25,santa rosa de osos,antioquia,106,130763,435,1312057,13,68824,554,1511644,0,0
26,santuario,antioquia,511,399131,327,269522,57,137823,895,806476,0,0
27,sonson,antioquia,664,680510,60,134282,121,287600,845,1102392,0,0
28,sopetran,antioquia,667,598668,140,416578,77,408165,884,1423411,0,0
29,tamesis,antioquia,558,824701,133,453837,118,500295,809,1778833,0,0
30,turbo,antioquia,288,351397,198,798015,0,0,486,1149412,0,0
31,urrao,antioquia,340,421870,225,780799,81,281062,646,1483731,0,0
32,yarumal,antioquia,780,870174,446,1758530,132,714988,1358,3343692,0,0
33,yolombo,antioquia,241,312205,81,655938,5,13264,327,981407,0,0
34,barranquilla,atlantico,1368,3315764,510,3821050,120,785644,1998,7922458,0,0
35,sabanalarga,atlantico,1339,722402,307,1026550,25,134967,1671,1883919,0,0
36,cartagena,bolivar,1318,2099103,786,5296211,93,903151,2197,8298465,0,0
37,calamar,bolivar,732,823233,276,1313213,4,59000,1012,2195446,0,0
38,corozal,bolivar,144,189800,398,1706268,82,418541,624,2314609,0,0
39,el carmen,bolivar,211,272802,291,1330829,124,949763,626,2553394,0,0
40,magangue,bolivar,501,760390,516,2846408,20,136982,1037,3743780,0,0
41,maria la baja,bolivar,268,208129,178,727701,3,30820,449,966650,0,0
42,mompos,bolivar,257,880434,608,2761001,19,115789,884,3757224,0,0
43,ovejas,bolivar,84,211795,164,609719,31,208403,279,1029917,0,0
44,san juan nepomuceno,bolivar,288,279150,323,1066162,63,352929,674,1698241,0,0
45,san onofre,bolivar,629,638085,271,1081422,1,3662,901,1723169,0,0
46,since,bolivar,421,782921,488,1515191,72,328411,981,2626523,0,0
47,sincelejo,bolivar,967,1862146,474,3771320,47,515780,1488,6149246,0,0
48,sucre,bolivar,105,324422,275,966568,1,18000,381,1308990,0,0
49,tunja,boyaca,1569,2380692,254,1642741,558,2396075,2381,6419508,0,0
50,chiquinquira,boyaca,1514,2146146,449,1271688,118,517251,2081,3935085,0,0
51,duitama,boyaca,832,1125705,155,761311,118,452230,1105,2339246,0,0
52,el cocuy,boyaca,594,645219,267,666721,45,318372,906,1630312,0,0
53,el espino,boyaca,874,617403,108,223148,35,145348,1017,985899,0,0
54,garagoa,boyaca,1348,1537908,320,644339,110,405522,1778,2587769,0,0
55,guateque,boyaca,1247,1115179,162,345139,31,117199,1440,1577517,0,0
56,guayata,boyaca,999,1005045,83,144682,9,32150,1091,1181877,0,0
57,la uvita,boyaca,1028,1066268,177,344990,9,35025,1214,1440283,6000,0
58,leiva,boyaca,1102,1065563,60,146802,143,381070,1305,1593435,0,0
59,miraflores,boyaca,1067,1739942,1412,1528868,141,766714,2620,4035524,0,0
60,moniquira,boyaca,1126,1094237,183,661608,152,556239,1461,2312084,0,0
61,orocue,boyaca,52,68804,154,197488,0,0,206,266292,0,0
62,pauna,boyaca,815,796292,162,313514,40,159293,1017,1269099,0,0
63,pasca,boyaca,1355,1048191,77,166497,47,225536,1479,1440224,0,0
64,puebloviejo,boyaca,1225,835628,113,131099,25,48242,1363,1014969,0,0
65,ramiriqui,boyaca,1446,1266983,101,201321,161,549296,1708,2017600,0,0
66,saboya,boyaca,1309,1589398,240,482773,36,110087,1585,2182258,0,0
67,san luis de gaceno,boyaca,659,1601166,445,820820,5,33975,1109,2455961,0,0
68,san luis de palenque,boyaca,44,90416,389,992626,0,0,433,1083042,0,0
69,santa rosa de viterbo,boyaca,723,853198,57,220855,93,355631,873,1429684,0,0
70,soata,boyaca,1217,944136,118,290279,50,188337,1385,1422752,0,0
71,socha,boyaca,771,786045,141,230523,15,70037,927,1086605,0,0
72,sogamoso,boyaca,3161,2918633,262,1927848,104,371805,3527,5218286,0,0
73,tamara,boyaca,265,353770,234,532039,0,0,499,885809,0,0
74,ventaquemada,boyaca,688,1011045,53,138077,86,348282,827,1497404,0,0
75,yopal,boyaca,187,382765,454,719853,0,0,641,1102618,0,0
76,manizales,caldas,385,2028174,388,3812075,216,1325944,989,7166193,0,0
77,aguadas,caldas,509,875957,153,885208,72,434406,734,2195571,0,0
78,anserma,caldas,851,1655265,207,962662,92,631923,1150,3249850,0,0
79,apia,caldas,426,970051,110,252062,34,130476,570,1352589,0,0
80,aranzazu,caldas,509,631160,244,638541,71,321570,824,1591271,0,0
81,armenia,caldas,788,2820885,280,1676158,204,920638,1272,5417681,0,0
82,belalcazar,caldas,302,850140,67,168892,7,83817,376,1102849,0,0
83,belen de umbria,caldas,242,470850,100,251739,28,237970,370,960559,0,0
84,calarca,caldas,375,1449680,136,741710,77,366796,588,2558186,0,0
85,chinchina,caldas,241,458910,60,260881,45,369710,346,1089501,0,0
86,filandia,caldas,351,346477,73,98040,56,160862,480,605379,0,0
87,la dorada,caldas,238,738146,351,1980036,21,239961,610,2958143,0,0
88,manzanares,caldas,875,1320690,315,470880,27,134724,1217,1926294,0,0
89,marsella,caldas,273,591508,110,237002,60,497507,443,1326017,0,0
90,neira,caldas,114,139245,43,115254,25,266410,182,520909,0,0
91,pacora,caldas,265,396337,138,582153,28,154075,431,1132565,0,0
92,palestina,caldas,103,324814,24,93241,17,189551,144,607606,0,0
93,pensilvania,caldas,743,1024995,472,531061,53,220074,1268,1776130,0,0
94,pereira,caldas,490,1529788,309,2238718,185,1089972,984,4858478,0,0
95,pijao,caldas,69,337350,30,174890,16,35930,115,548170,0,0
96,quimbaya,caldas,225,472100,83,205689,39,177442,347,855231,0,0
97,riosucio,caldas,1178,706660,112,311539,134,501950,1424,1520149,0,0
98,salamina,caldas,413,567793,313,716537,72,346301,798,1630631,0,0
99,santa rosa de cabal,caldas,465,707920,377,869743,182,996982,1024,2574645,0,0
100,santuario,caldas,210,405090,95,290490,3,22793,308,718373,0,0
101,quinchia,caldas,251,148553,9,21350,3,9678,263,179581,0,0
102,popayan,cauca,905,1493996,465,4134121,252,825942,1622,6454059,0,0
103,bolivar,cauca,510,659958,331,420217,9,18156,850,1098331,0,0
104,caloto,cauca,444,509323,142,424949,142,507166,728,1441438,0,0
105,el tambo,cauca,612,441858,127,229873,89,271915,828,943646,0,0
106,paez,cauca,88,84192,55,101564,0,0,143,185756,0,0
107,piendamo,cauca,712,621741,102,320659,96,308889,910,1251289,0,0
108,puerto tejada,cauca,281,433993,106,612653,84,303256,471,1349902,0,0
109,santander,cauca,668,757053,146,496932,150,414161,964,1668146,0,0
110,timbio,cauca,716,614363,164,305769,243,728032,1123,1648164,0,0
111,monteria,cordoba,491,1634342,378,3738923,25,239960,894,5613225,0,0
112,ayapel,cordoba,105,180618,101,459540,0,0,206,640158,0,0
113,cerete,cordoba,665,2214905,507,3087443,7,119575,1179,5421923,0,0
114,cienaga de oro,cordoba,269,549403,230,990384,4,54990,503,1594777,0,0
115,lorica,cordoba,1030,1312055,688,3088715,59,246731,1777,4647501,0,0
116,montelibano,cordoba,36,96590,74,519550,0,0,110,616140,0,0
117,sahagun,cordoba,546,611522,548,2768470,45,273145,1139,3653137,0,0
118,san marcos,cordoba,175,285548,226,1318860,0,0,401,1604408,0,0
119,tierralta,cordoba,378,549841,254,1178411,1,30000,633,1758252,0,0
120,bogota,cundinamarca,1381,8841243,2070,22412059,1258,7833760,4709,39087062,0,0
121,anolaima,cundinamarca,766,1148868,155,304772,176,785374,1097,2239014,0,0
122,arbelaez,cundinamarca,435,511195,105,248732,95,500501,635,1260428,0,0
123,cabrera,cundinamarca,416,503641,563,648451,37,177196,1016,1329288,0,0
124,cachipay,cundinamarca,267,331927,35,110670,62,242428,364,685025,0,0
