,Oficina,Departamento,CP - Numero,CP - Valor,MP - Numero,MP - Valor,T - Numero,T - Valor,Check - Valor,Check - Numero
91,guatavita,cundinamarca,391,43258209,70,14466127,461,57724336,0,0
92,la calera,cundinamarca,305,33292632,88,31569613,393,64862245,0,0
93,la mesa,cundinamarca,1309,112272388,149,62353461,1458,174625849,0,0
94,la palma,cundinamarca,709,40096531,65,17217511,774,57314042,0,0
95,la peña,cundinamarca,354,23182500,50,13606500,404,36789000,0,0
96,pacho,cundinamarca,913,98272000,99,42407782,1012,140679782,0,0
97,san juan de rioseco,cundinamarca,887,131390049,85,32741410,972,164131459,0,0
98,sasaima,cundinamarca,284,23073500,118,25607542,402,48681042,0,0
99,soacha,cundinamarca,574,82635400,106,25323454,680,107958854,0,0
100,sopo,cundinamarca,123,16999250,40,16811306,163,33810556,0,0
101,ubate,cundinamarca,847,85393611,196,68745157,1043,154138768,0,0
102,une,cundinamarca,740,64419737,165,26950735,905,91370472,0,0
103,vergara,cundinamarca,647,69397000,70,5616000,717,75013000,0,0
104,villeta,cundinamarca,340,42456888,51,19630826,391,62087714,0,0
105,zipaquira,cundinamarca,372,52672867,104,39784159,476,92457026,0,0
106,quibdo,choco,147,4288428,15,2899541,162,7187969,0,0
107,neiva,huila,1147,198871752,389,145162329,1536,344034081,0,0
108,acevedo,huila,522,29355800,69,11228850,591,40584650,0,0
109,baraya,huila,173,27172000,88,20415862,261,47587862,0,0
110,garzon,huila,888,88992638,382,102100417,1270,191093055,0,0
111,la plata,huila,380,25509347,207,40849421,587,66358828,-60,0
112,palermo,huila,392,44136445,85,19588064,477,63724509,0,0
113,pitalito,huila,900,75056398,155,32020397,1055,107076795,0,0
114,san agustin,huila,293,28670500,51,16001550,344,44672050,0,0
115,yaguara,huila,311,70411000,79,37432453,390,107843453,0,0
116,carnecerias,huila,138,9065000,94,14659832,232,23724832,0,0
117,santa marta,magdalena,456,89890401,189,76643742,645,166534143,0,0
118,chiriguana,magdalena,287,32510179,260,54496335,547,87006614,-100,0
119,el banco,magdalena,212,39273003,407,123689809,619,162962812,0,0
120,fundacion,magdalena,354,84946864,402,206359950,756,291306844,-30,0
121,plato,magdalena,277,50008547,584,168710737,861,218719284,0,0
122,riohacha,magdalena,200,27183907,95,22867810,295,50051717,0,0
123,san juan del cesar,magdalena,877,140060558,372,104388456,1249,244449014,0,0
124,valledupar,magdalena,1201,244776726,660,251618347,1861,496395073,0,0
125,villanueva,magdalena,638,133371436,190,62411862,828,195783298,0,0
126,pasto,nariño,1589,139078677,1091,238646377,2680,377725054,0,0
127,ipiales,nariño,763,90025074,249,53362663,1012,143387737,0,0
128,la cruz,nariño,993,120828000,131,29472600,1124,150300600,0,0
129,la union,nariño,891,84720195,324,51946320,1215,136666515,0,0
130,samaniego,nariño,395,26724000,112,12893373,507,39527373,90000,0
131,sandona,nariño,463,37934560,116,16469192,579,54403752,0,0
132,tuquerres,nariño,366,25719041,313,45899278,679,71618319,0,0
