,Departamento,Anio,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
81,cauca,1955,5653,572675676,1917,585736580,0,0,7570,1158412256
82,cauca,1956,5249,541022759,2021,610541888,0,0,7270,1151564647
83,cauca,1957,4945,5224157,1872,5541627,0,0,6817,10765784
84,cauca,1958,4936,5616477,1638,7046737,1065,3377517,7639,16040731
85,cauca,1959,5490,6578863,2371,10257317,1097,3453123,8958,20289303
86,cauca,1960,6432,8120692,2711,11680953,1118,3572132,10261,23373777
236,cauca,1962,8145,11066300,3835,16673247,1216,5077580,13196,32817127
87,choco,1953,147,4288428,15,2899541,0,0,162,7187969
88,choco,1954,317,9626285,41,5718022,0,0,358,15344307
89,choco,1955,480,10677675,49,6362433,0,0,529,17040108
90,choco,1957,580,228127,94,146337,0,0,674,374464
91,choco,1958,524,192775,91,163163,28,73044,643,428982
92,choco,1959,482,192934,89,189084,29,94035,600,476053
93,choco,1960,490,306835,90,156511,29,88569,609,551915
237,choco,1962,429,380574,132,269605,31,171456,592,821635
94,choco ,1956,628,28700501,94,16017450,0,0,722,44717951
95,cordoba,1952,3659,433547892,1262,473615310,0,0,4921,907157204
96,cordoba,1953,3355,457327165,1341,526078317,0,0,4696,983405482
97,cordoba,1954,3594,544417025,1613,739530688,0,0,5207,1283947713
98,cordoba,1955,3310,553687496,2178,1138690541,0,0,5488,1692378037
99,cordoba,1956,3056,500860775,2713,1408336239,0,0,5769,1909197014
100,cordoba,1957,2844,5093772,2771,14566750,0,0,5615,19660522
101,cordoba,1958,3695,7434824,3006,17150296,141,964401,6842,25549521
102,cordoba,1959,5215,11820665,3470,24558918,151,1111782,8836,37491365
103,cordoba,1960,5771,13407970,3913,29348572,138,1071115,9822,43827657
238,cordoba,1962,10519,25503418,4557,42011804,143,1680263,15219,69195485
104,cundinamarca,1952,17339,2015461997,2483,1064508812,0,0,19824,3079070821
105,cundinamarca,1953,18891,2166381321,3564,1378473354,0,0,22455,3544834675
106,cundinamarca,1954,21019,2949209098,5859,2155903026,0,0,26878,5105111624
107,cundinamarca,1955,22139,2987508822,7933,3381872033,0,0,30072,6369380855
108,cundinamarca,1956,20128,2953557317,8834,4512152182,0,0,28780,7474809499
109,cundinamarca,1957,18994,30639404,9166,48190640,0,0,28160,78830044
110,cundinamarca,1958,21030,37077077,7697,38906477,4491,22566806,32218,96652885
111,cundinamarca,1959,21708,43370590,9590,49779603,4812,25677531,36110,118827724
112,cundinamarca,1960,22529,49158858,10236,54660348,4768,29721192,37533,133540400
239,cundinamarca,1962,23457,51806613,8863,31530673,3228,17221170,35548,100558456
113,guajira,1954,2087,392531747,850,246519853,0,0,2937,639051600
114,guajira,1955,1432,277498592,1003,334838608,0,0,2435,612337200
115,guajira,1956,1039,224599950,1073,377233348,0,0,2112,601833298
116,guajira,1957,1022,2104398,979,3468977,0,0,2001,5573375
117,guajira,1958,1197,2574714,951,3716816,148,781980,2296,7073510
