Oficina,CP - Numero,CP - Valor,MP - Numero,MP - Valor,T - Numero,T - Valor
Sahagún,541,496.320.50,430,1.511.024.82,971,"2,007, 345.32"
Tierra Alta,275,361. 636.80,70,"264, 870. 00",345,626.506.80
BOGOTA.,1. 426,6.143. 160.74,1064,9. 362.329.85,2. 490,15.505. 490.59
Anolaima,840,1. 110.140.65,297,625.524.11,1.137,1.735.664.76
Arbelaez,709,792.548.87,147,425.538.94,856,1.218.087.81
Cáqueza,743,841.552.00,74,103.717.19,817,945.269.19
Chía,199,317.923.00,80,"238.948,59",279,556.871.59
Chocontá.,1. 976,"1,922. 737.00",96,306.252.12,"2, 072","2, 228.989.12"
Facatativá,1. 097,"1.765. 746,75",181,792.666.31,1.278,"2,558.413. 06"
Fomeque.,548,562. 785.00,320,519.239.02,868,1.082. 024.02
Fusagasugá,974,1.002.671.68,583,913.445.09,1.557,1.916.116.77
Gachetá,1.619,"1,323.512.25",199,274.078.72,1.818,1.597.590.97
Gachala,501,486.855.67,87,167.530.13,588,654.385.80
Girardot,670,1. 242.170.11,195,1. 490. 844. 35,865,2. 733.014.46
Guasca,221,280.740.00,48,122.618.26,269,403.358. 26
Guatavita,432,513.657.50,77,169.875.97,509,"683. 533,47"
La Calera,262,328. 234.00,130,"395.953,24",392,724. 187.24
La Mesa.,I. 299,"1,230. 328.34",201,822.721.55,"1, 500",2.053. 049.89
La Palma,666,475.955.28,151,393.439.97,817,869.395.25
La Peña,243,178.165.00,46,138.300.00,289,"316,465.00"
Medina,196,381. 866.61.,641,440. 475.61,837,822.342.22
Pacho.,1.121,"1,254, 105,80",184,752. 193.76,1. 305,2.006.299.56
San Juan de Rioseco,850,1. 365.579.53,104,"397,586.67",954,1.763. 166.20
Sasaima,280,"273, 299.41",137,266.209.36,417,"539.503,77"
Soacha,600,1.140.829.86,90,"282,384.67",690,"1, 423.214,53"
Sopo,145,"243, 268,41",53,132. 443.87,198,375.712.28
Ubaté.,1.127,1. 415. 180.75,219,751.061.89,"I, 346","2,166.242,64"
Une,875,915.282.77,132,231.859.29,1.007,"1. 7.142,06"
Vergara,691,885. 294.00,119,155.746. 10,810,1.041.040.10
Villeta,328,474.620.00,87,354.861.25,415,829.481.25
Zipaquirá.,381,623. 880.00,117,"531, 184,38",498,1.155. 064.38
QUIBDO..,317,96.262.85,41,"57,180.22",358,153.443. 07
NEIVA,971,"1.892.726, 07",763,2. 092. 678.29,1. 734,3.985.404. 36
Acevedo.,540,362. 544.25,92,161.268.09,632,523.812. 34
Baraya,186,"356,794. 16",214,330.292. 76,400,687.086.92
Carnecerías,165,132.255.00,132,253.610.23,297,385. 865.23
Garzon,882,"1. 050,425.53",507,1. 407.903.04,1. 389,"2. 458,328.57"
La Plata..,578,497.869.95,356,708. 984.40,934,1. 206.854.35
Palermo..,450,"583. 180,00",187,318.472.22,637,901.652. 22
Pitalito,893,849.158.97,211,465. 384.24,1.104,1.314. 543.21
San Agustin,308,386.040.00,72,213.731.00,380,599.771.00
Yaguará,397,895.615. 09,122,"499.648, 17",519,1.395.263.26
SANTA MARTA .,597,1. 066.566.91,209,1.125. 732.41,806,"2, 192, 299. 32"
Chiriguaná,303,459.102.43,312,"971,299.12",615,"1, 430.401.55"
El Banco,190,"587. 907,78",445,1.285.800.00,635,"1.873. 707,78"
Fundacion,460,"1,595. 114.47",480,2.544. 434.48,940,"4. 139.548,95"
Plato,276,"626.118,45",530,"1.960,301, 30",806,2.586.419.75
Valledupar,1. 182,"2, 908.719.86",846,3. 351.269.91,2. 028,"6,259.989.77"
PASTO,"1,733",1.636.268.74,1.246.,2.728. 187.41,2.979,4.364. 456.15
Ipiales,778,1.032. 086.91,256,"645,133.80",1. 034,1.677.220.71
La Cruz.,"1,179",1.533.800.00,152,466.537.50,1.331,2. 000.337.50
La Unión,975,"1, 094.534.94",305,"602,961, 32","1,28",1.697.496. 26
Mocoa,184,85.875.00,441,"466,257,49",625,"552. 132,49"
Samaniego,533,"438. 741,70",162,"233,595.45",695,"672. 337,15"
Sandoná,545,483. 147.00,168,224. 047.00,713,707. 194.00
Túquerres,633,554. 064.38,167,"390,510.29",800,"944, 574.67"
CUCUTA,842,2.692.070.00,319,"2,111, 768.22",1.161,"4,803. 838.22"
Arboledas,378,345.995.00,36,"26,921.00",414,372.916.00
Cáchira,551,423.320.00,198,271.432.50,749,694.752.50
Convencion,681,941. 763.31,329,"1, 515.419.73",1.010,2. 457. 183. 04
China cota,343,430.721.35,123,289. 511.09,466,720.232. 44
Ocaña,668,1.423.987.86,432,"2. 384,917.79",1.100,3.808.905.65
"Pamplona ,",853,1.113. 760.00,420,1.077.114.61,1.273,2. 190.874.61
Salazar,390,"541,480.00",114,238.919.00,504,780.399.00
Sardinata,415,"649.640,00",87,118.440.50,502,768.080.50
Toledo,801,"698. 955,00",238,272. 068.33,1.039,"971, 023. 33"
Gramalote,274,"353, 620. 00",60,"95, 249.73",334,448.869. 73
BUCARAMANGA,"1,239",1.843.948.37,707,2. 537.628.61,1.946,4. 381.576.98
Barrancabermeja,29,57.500.00,43,"291. 000,00",72,348.500. 00
Charala,1. 085,1.046.102.86,623,1. 068.610.61,1.708,2. 114.713.47
Málaga,1. 887,1.516. 153.09,151,284.005. 16,2.038,1.800. 158.25
Matanza,533,366.120.00,173,197.477.25,706,563.597. 25
Puente Nacional .,551,465. 977.74,847,1.101.918. 41,1. 398,1. 567. 896.15
Rionegro,347,"480.498,00",170,235.890.60,517,716.388.60
San Andrés,1.056,853.076.91,337,370.269.50,"1, 393",I. 223. 346.41
San Gil,1. 306,"1.507.822,00",283,782.606.32,"1,589","2,290, 428. 32"
San Vicente,308,479.045.87,130,594.575.00,438,1.073 620.87
Socorro,997,1.216. 300.35,307,1.354.480.98,"1, 304",2. 570.781.33
Suratá.,230,"171,515,00",121,146.355.00,351,317.870.00
Velez,562,"537, 863.49",358,835. 336.02,920,1.373.199.51
Zapatoca,206,206.660.00,105,288.270.00,311,494. 930.00
Piedecuesta,566,338. 360.00,133,173.248.45,699,511.608. 45
IBAGUE,1.247,"2,364.309.20",741,3.473.679.71,1.988,5.837.988.91
Armero,496,"1, 289,213.23",300,1.592. 425.30,796,2.881.638.53
Ataco,176,"250,395,00",10,31.250.00,186,"281,645.00"
Chaparral,560,740. 380.24,331,610.276.12,891,1.350.656. 36
Dolores,199,294.112.58,96,"302, 642.65",295,"596.755, 23"
Espinal,763,841.056.42,206,850.641.25,969,1.691.697.67
El Guamo.,808,"792, 740.00",175,662.486. 89,983,1. 455.226.89
