Oficina,Departamento,CP - Numero,CP - Valor,MP - Numero,MP - Valor,T - Numero,T - Valor
MEDELLIN,Antioquia,1.874,3.122. 053.50,1.922,11.247.270.76,3.796,"14,369. 324.26"
Abejorral,Antioquia,340,433.955.00,76,89.314.23,416,"523, 269.23"
Amalfi,Antioquia,636,840.108. 62,277,887.717.01,913,"1,727. 825,63"
Andes,Antioquia,332,801.525. 00,305,"1.173,213, 85",637,"1,974.738.85"
Antioquia,Antioquia,270,242.455.00,33,120.830. 25,303,363.285.25
Betulia,Antioquia,213,426.280.00,58,"291, 823.94",271,728.103.94
Bolivar,Antioquia,358,"1,480.133.00",158,"1.535, 025.53",516,"3.015.158,53"
Cañasgordas,Antioquia,1. 031,864.690.83,431,823. 333. 01,1.462,"1,688. 023.84"
Cisneros,Antioquia,269,140. 628.02,52,"110, 397,95",321,251. 025.97
Concordia,Antioquia,214,420.373.10,62,364.971.33,276,785. 344.43
Fredonia,Antioquia,696,2. 066.199.67,90,"720,411.40",786,"2, 786.611.07"
Frontino,Antioquia,772,"1,002. 404.70",562,"1.559.515,35",1.334,"2.561,920. 05"
Granada,Antioquia,902,520. 087.12,216,298.608. 35,1.118,818.696.47
Ituango,Antioquia,764,876.545.23,201,552.420. 02,965,"1,428, 965.25"
Jardín,Antioquia,141,203. 727.00,179,589.593. 88,320,"793. 320,88"
Jerico,Antioquia,304,863.322.00,157,539.709.63,461,"1,403, 031,63"
La Ceja,Antioquia,255,349.646. 91,285,865.467.81,540,"1,215,114.72"
Liborina,Antioquia,491,476.345.00,159,"333, 001.13",650,809.346.13
Marinilla,Antioquia,932,"632, 207.27",489,439.561.59,"1,421","1,071.768.86"
Remedios,Antioquia,58,86.489. 34,116,388.189.59,174,474. 678.93
Rionegro,Antioquia,299,193.884.50,287,530.180.74,586,"724, 065.24"
Salgar,Antioquia,171,"632, 950,00",86,"755, 720.72",257,"1,388, 670, 72"
Santa Bárbara,Antioquia,203,"385,711,00",83,357.620. 04,286,"743, 331.04"
Santa Rosa de Osos,Antioquia,164,"201,904.82",451,"1,052. 953.67",615,"1,254, 858,49"
San Roque,Antioquia,226,149. 950.88,67,"210, 680.11",293,360. 630.99
Sonsón,Antioquia,665,"524, 546.43",112,"222,256.09",777,"746.802, 52"
sopetrán,Antioquia,625,566. 892. 56,129,"604.201,28",754,"1.171, 093.84"
Támesis,Antioquia,757,757. 773.75,242,"552.138, 64",999,"1,309. 912.39"
Turbo,Antioquia,288,"236.702, 71",185,609.270. 67,473,845.973. 38
Urrao,Antioquia,393,"398. 732, 42",224,653.894.05,617,"1,052. 626.47"
Yarumal,Antioquia,872,"803,487, 52",540,"1,547, 302.49",1.412,"2, 350.790,01"
