Oficina,Departamento,CP - Numero,CP - Valor,MP - Numero,MP - Valor,T - Numero,T - Valor
Yolombo,Antioquia,435,"545.714,69",118,712.208. 11,553,"1,257. 922, 80"
BARRANQUILLA,Atlantico,928,2.009.749.75,543,4.190.439.66,"1,471","6, 200.189.41"
Sabanalarga,Atlantico,946,591.801.72,229,657.320.00,1.175,"1,249, 121,72"
CARTAGENA,Bolivar,929,1.535.530.67,682,4.563.906.71,1.611,6.099.437.38
Calamar..,Bolivar,336,538.177.48,250,"1.276. 741,83",586,"1,814. 919.31"
Corozal,Bolivar,128,225.951.04,409,1. 921.075.88,537,2.147. 026. 92
El Carmen,Bolivar,112,157.975. 00,299,1.569.261.34,411,"1,727.235, 34"
Magangué,Bolivar,397,556.798. 68,496,2.138.433.52,893,2. 695.232.20
María la Baja,Bolivar,395,259.912. 04,191,"786, 052,31",586,"1,045, 964.35"
Mompos,Bolivar,231,703.453.00,554,2.148.565.28,785,"2.852. 018,28"
Ovejas,Bolivar,70,101.900.00,134,625.240.27,204,727.140.27
San Juan Nepomuceno,Bolivar,138,103.375.00,282,1. 029.013.71,420,1.132.388.71
San Marcos,Bolivar,196,327.878. 00,260,1.701.378.13,456,2. 029.256.13
San Onofre,Bolivar,307,365.983.00,155,773.732.97,462,1.139. 715.97
Sincé,Bolivar,248,386.557.00,490,1.504.634.40,738,1.891.191.40
Sincelejo,Bolivar,618,1.312.408.11,487,3.886.761.06,1.105,5.199.169.17
Sucre,Bolivar,72,142.418.69,280,896. 774.49,352,1. 039.193.18
TUNJA,Boyaca,1.865,2.476. 034.69,675,3.355.123.62,2.540,5.831.158.31
Chiquinquirá,Boyaca,1.675,2.047. 062.15,450,1.269.998.80,"2,125",3.317. 060.95
Duitama,Boyaca,1.013,1.191.427.70,208,905.750.76,1.221,2.097. 178.46
El Cocuy,Boyaca,917,707. 641.84,367,"991,690. 02",1.284,1.699.331.86
El Espino,Boyaca,572,443.565.00,85,160.110.86,657,603.675.86
Garagoa,Boyaca,1.187,1.205. 910.96,331,745.466.28,1.518,1.951.377.24
Guateque,Boyaca,1. 067,826.260.00,141,288.940.60,1.208,1.115.200.60
Guayatá,Boyaca,904,842.009.25,68,"113.488,50",972,955.497. 75
La Uvita,Boyaca,1.003,"993.450, 48",154,"264.774, 35",1.157,"1,258.224.83"
Leiva,Boyaca,999,699.360.67,243,568.512.88,1.242,1.267. 873.55
Miraflores,Boyaca,964,1.173.100.68,1813,1.983. 012.55,"2, 777",3.156.113.23
Moniquira,Boyaca,1.259,973.517.29,227,"490.061,11",1.486,"1,463.578.40"
Orocué,Boyaca,36,38.300. 00,178,"217.881,60",214,256.181. 60
Pauna,Boyaca,925,759.684.68,197,280. 039.27,1.122,1. 039.723.95
Pesca,Boyaca,"1,431","1.067,997.49",103,"262,789.43","1, 534",1.330. 786.92
Puebloviejo,Boyaca,1.262,"752, 961.40",114,188.795.06,1.376,941.756.46
"Ramiriquí.,",Boyaca,1.395,"1.231,427.19",282,427.927.59,1.677,"1,659.354, 78"
Saboyá....,Boyaca,1150,1.158.133. 63,337,449.857. 66,1.487,"1.607.991,29"
San Luis de Gaceno,Boyaca,459,"854.070,00",583,"614.910, 56","1, 042","1.468. 980,56"
San Luis de Palenque,Boyaca,56,"97.442, 61",472,1.151.863.25,528,1.249.305.86
Santa Rosa de Viterbo,Boyaca,866,931.004.72,88,234.209. 25,954,1.165.213. 97
Soatá,Boyaca,908,"782, 638.89",99,293.303. 97,1.007,"1.075.942, 86"
Socha,Boyaca,813,683.720.02,386,478.192.16,1.199,"1.161,912.18"
Sogamoso,Boyaca,3.543,3.610. 663.52,259,"1.205, 370,31","3,802",4.816. 033.83
Támara,Boyaca,249,353.103.70,303,879.159. 84,552,1.232.263.54
Ventaquemada,Boyaca,611,588.714.00,90,278.542. 66,701,867. 256.66
Yopal,Boyaca,201,441.420.50,551,1.075.372.51,752,1.516. 793.01
MANIZALES,Caldas,394,1.253.644. 82,412,3.385.676.58,806,"4.639.321,40"
Aguadas,Caldas,665,1.097.297. 09,166,662.814.39,831,"1, 760.111,48"
Anserma,Caldas,930,"1,735.150.00",220,"1,109.813,70",1.150,"2,844,963,70"
Apía,Caldas,379,733.500.65,194,377.716.28,573,"1,111.216. 93"
Aranzazu,Caldas,569,651.383. 64,226,588.588. 42,795,1.239. 972.06
Armenia,Caldas,911,2. 335.490.64,619,2. 973.015.62,1.530,"5.308. 506,26"
Belalcázar,Caldas,352,1.029.155.18,50,152.316.11,402,"1,181,471.29"
Belén de Umbría,Caldas,294,"594.183,45",140,501.470.00,434,"1.095. 653,45"
Calarcá,Caldas,526,1.527.747.98,230,"1. 032,432.42",756,"2,560.180.40"
Chinchina,Caldas,202,353. 105.00,67,436.186.82,269,789.291. 82
Filandia,Caldas,430,393.940.00,166,"253.668,47",596,647.608.47
La Dorada,Caldas,235,763.964.27,512,"3.230,465.53",747,"3, 994,429,80"
Manzanares,Caldas,1.099,"1,477. 628.41",474,857.153.90,"1,573","2, 334.782.31"
Marsella,Caldas,310,578.189.21,182,515.793. 04,492,"1, 093.982.25"
Neira,Caldas,132,185.255.00,52,"236.314,36",184,421.569.36
Pácora,Caldas,388,587.877.00,166,"464.633,42",554,"1. 052, 510, 42"
Palestina,Caldas,104,313.835.00,27,142. 098.35,131,"455,933.35"
Pensilvania,Caldas,929,"1.081,969.45",579,"739.501,84","1,508","1,821,471,29"
Pereira,Caldas,591,"1.492,362,00",557,3.243.301.85,1.148,4.735. 663.85
Pijao,Caldas,87,421.840.00,49,285.763.45,136,707.603.45
Quimbaya,Caldas,242,456.630.00,101,342.432.78,343,799.062.78
Riosucio,Caldas,1.628,"887. 705,65",124,231.715.59,1.752,"1.119,421,24"
Salamina,Caldas,520,614. 883.00,363,955.309.81,883,"1.570. 192,81"
Santa Rosa de Cabal,Caldas,627,763.039.22,563,1.718.512.18,1.190,"2.481,551.40"
Santuario,Caldas,391,685. 662. 65,216,563. 044.27,607,1.248.706. 92
POPAYAN,Cauca,858,998.412. 78,374,2. 260. 898.15,"1,232","3.259.310,93"
Bolivar,Cauca,"1, 098","1,272, 893.00",479,648.218.76,"1, 577","1, 921.111.76"
Caloto,Cauca,470,545.954.51,276,903.433.66,746,"1,449, 388.17"
el tambo,Cauca,515,"281,925.00",159,"237,881. 99",674,"519, 806. 99"
Piendam6,Cauca,749,"617.865,00",89,239.832.42,838,857. 697.42
Puerto Tejada,Cauca,291,410.831.00,148,718. 120.91,439,"1.128, 951.91"
Santander,Cauca,633,704.888.89,198,529.035. 72,831,"1,233. 924.61"
Timbio,Cauca,635,"577, 457,41",298,567.997.27,933,"1,145,454. 68"
MONTERIA.,Cordoba,525,"1.336, 805. 57",342,"3,429.865,90",867,"4.766. 671,47"
Ayapel,Cordoba,335,560.437. 98,292,"1,365.879. 65",627,1.926. 317.63
Cereté,Cordoba,365,"1. 005.866,15",378,"2, 313,093.79",743,3.318. 959.94
Ciénaga de Oro,Cordoba,217,324.471.00,260,916.692. 89,477,"1,241.163, 89"
Lorica,Cordoba,794,891.861.21,679,"2, 770.794.95","1,473","3,662, 656,16"
Sahagún,Cordoba,539,"514,970.84",556,2.532.932. 71,1.095,"3,047, 903,55"
Tierralta,Cordoba,281,"374,195.00",206,754.102.50,487,1.128.297.50
BOGOTA,Cundinamarca,843,"3,455.364, 48","1,436","16. 887,539.72",2. 279,"20,343,904.20"
Anolaima,Cundinamarca,763,"995, 995. 00",323,836.336. 65,1.086,1.832.331.65
Arbelaez,Cundinamarca,825,781.543.00,291,521.378.65,1.116,1.392.921.65
Cachipay.,Cundinamarca,206,"231,755.00",54,194.346. 64,260,426.101.64
Cáqueza,Cundinamarca,666,739.777.27,137,212.833.70,803,"952, 610.97"
Chapinero,Cundinamarca,156,"1.393,447.31",580,7.398.004.35,736,8.791.451.66
Chía,Cundinamarca,197,409.638.49,95,375.132. 32,292,784. 770.81
Chocontá,Cundinamarca,1.633,1.824. 095.63,192,661.614.49,1.825,2.485.710.12
El Colegio,Cundinamarca,528,461.081.00,173,517.151. 04,701,978. 232. 04
Facatativa,Cundinamarca,768,"1.248.891,47",246,1.227.319.99,"1,014","2,476.211,46"
Fómeque,Cundinamarca,417,569.904.71,244,495.492.45,661,1.065.397.16
Fontibón..,Cundinamarca,23,46.476.56,29,105.435.45,52,"151.912,01"
Funza,Cundinamarca,18,34.885. 31,24,115.256.14,42,150.141.45
Fusagasugá,Cundinamarca,437,567.008.35,512,1.064.326.13,949,"1,631, 334,48"
Gachalá,Cundinamarca,616,590.225. 97,80,185.832. 88,696,"776. 058,85"
Gachetá,Cundinamarca,"1,171",1.218.061.88,404,759.113.36,1. 575,"1,977, 175.24"
Girardot,Cundinamarca,246,838.958.57,209,"1, 747,270.84",455,"2,586.229.41"
Guaduas,Cundinamarca,334,"394,107. 02",123,442.911.97,457,837. 018.99
Guasca,Cundinamarca,248,"239.886,20",86,"193.241, 64",334,433. 127.84
Guatavita,Cundinamarca,339,436.093. 33,62,"158,402, 89",401,"594, 496.22"
La Calera,Cundinamarca,239,360.831.58,183,625.731.21,422,986.562.79
La Mesa,Cundinamarca,593,879.486. 34,161,"791.020,44",754,1.670.506.78
La Palma,Cundinamarca,521,"430,437.12",216,593.575. 36,737,1.024. 012.48
La Peña..,Cundinamarca,241,196.898.42,61,187.855.83,302,384.754.25
Madrid,Cundinamarca,15,33.400. 00,21,104.118.49,36,137. 518.49
Medina,Cundinamarca,423,"602, 735.58",646,"450, 028.30","1, 069","1,052, 763.88"
Nocaima,Cundinamarca,227,225.905. 00,65,244.663. 07,292,470.568.07
Pacho,Cundinamarca,942,"1, 081.503.88",280,1.252. 570.49,I. 222,2.334.074.37
Pasca,Cundinamarca,379,406.768. 00,193,289.193.56,572,695.961.56
Rafael Reyes,Cundinamarca,208,135.465.38,36,"225. 685,79",244,361.151.17
San Francisco,Cundinamarca,426,"638, 088.54",148,516.508. 63,574,"1,154.597.17"
San Juan de Rioseco,Cundinamarca,773,1.346.352. 67,135,"592,499.50",908,"1,938.852.17"
"Sasaima,",Cundinamarca,350,"459. 075,42",150,435. 055.55,500,894.130.97
Soacha.,Cundinamarca,248,401.942.43,106,337. 515.35,354,739.457. 78
Sopo,Cundinamarca,94,172. 854.00,62,232.618.48,156,405.472.48
Subachoque,Cundinamarca,229,527. 965.23,128,416.699.14,357,944. 664.37
Tocaima,Cundinamarca,167,324.180. 00,71,386.272.13,238,"710, 452.13"
Ubaté,Cundinamarca,"1,109","1.474,973.02",250,973.673. 04,1.359,"2.448, 646.06"
Une,Cundinamarca,876,995.490.00,91,278.138.00,967,"1,273, 628,00"
Utica,Cundinamarca,42,51. 035.00,37,130.141.13,79,181.176.13
Vergara,Cundinamarca,518,686.885.00,128,304.853. 52,464,991.738.52
Villeta.,Cundinamarca,274,"322, 689.01",167,694.239.63,441,"1. 016.928,64"
Viotá,Cundinamarca,457,"678.975, 00",86,349.239.63,543,"1. 028.214,63"
Zipaquirá,Cundinamarca,343.,"624,440.00",113,"610.684, 25",456,"1,235, 124,25"
Quibdó,Chocó ,487,108. 655.01,36,42.285.75.,523,150. 940.76
El Carmen,Chocó ,141,"178.350, 00",58,117.888.75,199,296.238.75
NEIVA,Huila,1. 022,2.424.336.33,774,2.727.219.64,1.796,5.151.555. 97
Acevedo,Huila,457,381.227.13,89,174.308.85,546,"555. 535, 98"
Baraya..,Huila,165,291.156.28,187,279.683.00,352,570.839.28
carnecerias,Huila,221,173.447.18,172,313.509.88,393,486. 957.06
Garzón..,Huila,450,460.460.25,504,1.759.433.21,954,2.219.893.46
Gigante,Huila,294,"328,812. 79",165,543.707.50,459,"872. 520,29"
La Plata,Huila,681,696.955.48,418,639.076.26,1.099,1.336. 031.74
Palermo,Huila,346,525.541.61,209,597. 606.41,555,"1.123, 148.02"
Pitalito,Huila,782,769.515. 93,232,"505. 842, 01","1, 014","1.275, 357,94"
San Agustin,Huila,299,309.539.00,136,354.517.45,435,664. 056.45
Timaná,Huila,438,442.597.62,125,298.209.17,563,740. 806.79
Yaguará,Huila,356,650.516.71,165,665.391.12,521,"1,315. 907,83"
SANTA MARTA,Magadalena,490,"1.245. 012,61",341,2.381.618.43,831,"3,626.631, 04"
cienaga,Magadalena,272,434. 057.98,137,958.872.18,409,"1,392. 930.16"
Codazzi,Magadalena,140,385.717.42,144,653.498.20,284,1. 039.215.62
Chiriguaná,Magadalena,200,268.261.24,288,845.569.98,488,1.113.831.22
El Banco,Magadalena,129,239.771.98,503,1.832.279. 01,632,"2. 072, 050,99"
Fundación,Magadalena,279,"1,008.495.24",556,3. 731.617.87,835,"4,740,113.11"
Plato,Magadalena,139,320. 943.23,621,2.553.520. 16,760,"2, 874,463,39"
Valledupar,Magadalena,486,"1,190, 097, 72",655,2.704.335.53,1.141,"3.894,433.25"
PASTO..,Nariño,1.583,1607. 059.93,1.426,"3,420, 354.29",3.009,5.027.414.22
Contadero..,Nariño,558,597.500.00,158,266.774.88,716,864.274.88
Ipiales,Nariño,589,"1,120. 372.13",264,1.017.386.21,853,2.137. 758.34
La Cruz,Nariño,"1,368",1.899. 667. 06,115,337.700.00,1.483,"2.237, 367.06"
La Unión,Nariño,997,"1,164.503. 04",472,1.058.014.11,"1, 469",2.222. 517.15
Mocoa,Nariño,186,"104,489.29",504,498.259.68,690,602.748.97
Samaniego,Nariño,686,"581. 093,20",345,514.537.01,"1, 031","1,095, 630.21"
Sandoná,Nariño,744,"744, 420.62",210,308.075.73,954,"1, 052. 496.35"
Túquerres,Nariño,576,651.205. 84,191,618. 357. 98,767,1.269.563.82
CUCUTA,Norte de Santander,564,1.782.740.00,479,3.754.079.30,1.043,5. 536.819.30
Arboledas,Norte de Santander,446,378.442.95,55,120. 959.56,501,499.402. 51
Cáchira,Norte de Santander,666,490.415.00,316,433.542.50,982,923.957.50
Convención,Norte de Santander,721,922. 966.83,330,1.885.675.80,"1, 051",2.808.642. 63
Chinácota,Norte de Santander,254,286.551.00,191,459.010.70,445,745.561.70
Durania,Norte de Santander,438,"1,343.550.00",32,148.307.81,470,1.491.857.81
Gramalote,Norte de Santander,405,529. 348.75,183,516.440.70,588,"1,045.789.45"
Ocaña,Norte de Santander,553,763.546.81,407,"1.741, 419.76",960,2.504.966.57
Pamplona,Norte de Santander,893,1.256.328.80,588,"2.108, 787. 01",1.481,3. 365.115.81
Salazar,Norte de Santander,411,"549,919.00",166,"390, 929.96",577,"940, 848. 96"
Sardinata,Norte de Santander,456,"642,220.00",150,"240, 155.93",606,"882, 375,93"
Toledo,Norte de Santander,622,552.491.00,234,349.151.03,856,901.642. 03
BUCARAMANGA,Santander,1.725,2.912. 127.82,1.156,5.592. 982.67,2. 881,"8.505.110,49"
Barichara,Santander,203,217.290.00,41,"54.422,50",244,271.712.50
Barrancabermeja,Santander,80,147.848.70,122,"872, 786.06",202,1.020. 634.76
Cimitarra,Santander,47,71.474.61,94,271.763.27,141,343.237.88
Charalá,Santander,857,"812, 713.07",498,917.325.15,1.355,"1,730. 038.22"
Gámbita,Santander,240,243.278.30,253,372.704.25,493,615. 982.55
Málaga,Santander,"2,407",1.827.376. 02,253,786. 174.50,"2, 660","2, 613, 550. 52"
Matanza,Santander,551,457.280.00,269,326. 956.47,820,784.236.47
Onzaga,Santander,619,608.230.38,44,"97,140, 00",663,705.370.38
Piedecuesta,Santander,738,449.654.06,181,321.489.80,919,771.143.86
Puente Nacional,Santander,373,"303.472,74",556,772.894.51,929,1. 076.367.25
Puerto Wilches..,Santander,140,"232, 070,00",200,576. 843.29,340,808. 913.29
Rionegro,Santander,513,801.503.33,327,"615, 215,57",840,1.416.718.90
San Andrés,Santander,1.238,"896.410,87",461,"670, 807,50",1.699,1.567.218.37
San Gil,Santander,1.037,1.077.070.00,278,1.340.639.95,1.315,2. 417. 709.95
San Vicente,Santander,523,739.772.12,199,823. 130. 00,722,1.562.902.12
Socorro,Santander,688,957.852.00,439,"2.630, 778,64",1.127,3.588. 63.0.64
Suaita,Santander,644,"798.080,00",142,"447.783,10",786,1.245.863.10
Sucre.,Santander,368,317.155.00,219,"320, 747.91",587,"637.902, 91"
Suratá,Santander,241,"185,785.00",157,"233, 285,29",398,419.070.29
Vélez,Santander,263,243.930.73,228,"590,690.25",491,834.620.98
Zapatoca,Santander,262,278.570.00,179,"608, 104.56",441,886. 674.56
IBAGUE,Tolima,1.541,2.540.861.06,"1,233",5.814.328.83,2. 774,8.355.189. 89
Ambalema,Tolima,38,85.380.00,39,"122,148.15",77,207.528.15
Anzoátegui,Tolima,68,152.553.20,48,129. 358.82,116,281.912. 02
Armero,Tolima,267,790.171.57,179,"1, 054.309.98",446,1.844.481.55
Ataco,Tolima,66,80. 078.19,6,21.476.85,72,101.555. 04
Cajamarca,Tolima,352,418.929.35,243,844.075.09,595,1.263. 004.44
Cunday,Tolima,290,442. 046.41,91,"343, 671,08",381,785.717.49
Chaparral,Tolima,252,331.415.66,295,812.975.11,547,1.144.390.77
Dolores,Tolima,188,302. 047.10,83,182.738.90,271,484.786. 00
Espinal,Tolima,754,1.067.523.30,194,"1,257, 617, 31",948,"2, 325.140.61"
El Guamo,Tolima,980,831.702.32,313,1.100.269.74,1.293,"1,931.972. 06"
Fresno,Tolima,640,631.359.00,245,596. 084.18,885,"1.227, 443.18"
Herveo,Tolima,246,339.985.00,97,191.378.84,343,531.363.84
Honda,Tolima,118,435.531.45,174,"1,329.966.09",292,"1. 765,497,54"
Icononzo,Tolima,"1,003",1.347. 386.14,420,"664.882,77","1,423","2.012.268,91"
Libano,Tolima,861,1.369. 053.39,709,2.167.574.09,1.570,3.536.627. 48
Mariquita,Tolima,354,319.258.58,146,"490, 341.17",500,809.599.75
Melgar,Tolima,212,592. 915.71,109,784.014.90,321,"1, 376.930.61"
Ortega,Tolima,352,434.189. 74,82,312. 682.60,434,746.872. 34
Purificación,Tolima,994,1.360.237.34,437,1.397.348.07,1.431,2.757.585.41
Roncesvalles,Tolima,61,149.403.92,110,"502. 916,25",171,652.320.17
San Antonio,Tolima,234,468.159.56,91,240.881.48,325,709.041.04
San Luis..,Tolima,427,381.325.50,140,419.067.29,567,800.392. 79
Santa Isabel,Tolima,115,161.691.86,165,394.783.82,280,"556.475, 68"
Venadillo,Tolima,133,263.929.12,119,367.857.46,252,631.786. 58
Villahermosa,Tolima,461,469.347.42,258,459.101.76,719,928.449.18
Villarica,Tolima,307,555.587. 67,96,233. 997. 33,403,789.585. 00
CALI,Valle del Cauca,756,2.137. 729.20,792,6.073. 616.62,1.548,8.211.345.82
Alcalá,Valle del Cauca,281,458.365.00,40,87.146.55,321,545.511.55
Buga,Valle del Cauca,564,"733.729,00",502,2. 372.285.92,1.066,3.106. 014.92
Caicedonia,Valle del Cauca,198,693.819.17,129,533.200. 42,327,"1,227.019.59"
Cartago,Valle del Cauca,600,1.634.883.39,485,3.211.483.74,1.085,4.846.367.13
Cerrito,Valle del Cauca,377,489.738.34,262,890.173.16,639,1.379.911.50
Dagua,Valle del Cauca,267,220.110.00,135,257. 666.88,402,477.776.88
El Aguila,Valle del Cauca,178,413.630. 61,141,"388.735, 09",319,802.365. 70
El Cairo..,Valle del Cauca,501,"1,112.131.40",309,892.828.21,810,2. 004.959.61
Palmira,Valle del Cauca,760,888.140.11,490,"1.982,831.09",1.250,"2,870.971.20"
Restrepo,Valle del Cauca,357,499.125.00,142,638.542.92,499,"1,137.667. 92"
Roldanillo,Valle del Cauca,639,767.989.00,391,1.444.615.06,1030,2.212. 604.06
Sevilla,Valle del Cauca,384,873.935.00,423,1.368.053.01,807,2.241.988. 01
Tuluá,Valle del Cauca,686,"1.128.581, 85",521,2.383.809.67,1.207,3.512.391.52
Trujillo,Valle del Cauca,321,593.739.27,480,"1,472.563,31",801,2. 066.302.58
Versalles,Valle del Cauca,771,1.255.973.89,405,1.263.752.07,1.176,2.519.725.96
Zarzal,Valle del Cauca,122,"221,350.00",120,654.275.36,242,875. 625.36
ARAUCA,Arauca,101,176.007.60,935,"1.675, 915.85",1.036,1.851.923.45
Tame,Arauca,88,166.350.63,882,1.520.128.68,970,"1.686,479. 31"
RIOHACHA,Guajira,231,481.692.47,149,545.011.53,380,"1. 026.704,00"
San Juán del César,Guajira,442,784.943.04,659,2.024.033.07,1.101,2.808.976.11
Villanueva,Guajira,366,979.363.99,265,1.203.288.88,631,2.182.652.87
VILLAVICENCIO,Meta,969,3.493.756.65,942,4.977.128.64,1.911,8.470.885.29
Guamal,Meta,295,539.256.65,1.231,1. 066.585. 77,1.526,1.605.842.42
Puerto López,Meta,323,423.827.48,256,506. 429.08,579,930.256.56
Restrepo,Meta,449,410.110.94,1.252,1.103.928.13,1.701,1.514. 039.07
San Martín,Meta,228,"461.958,66","1,375","1,202. 053, 08",1.603,1. 664.011.74
FLORENCIA,Caqueta,1.099,1.176.218.16,481,1353.525.91,1 580,2.529.744. 07
LETICIA,Amazonas,26,53.740.00,19,35.720.00,45,89.460.00
MITU,Vaupes,86,328.000.00,0,0,86,328.000.00
PUERTO CARREÑO,Vichada,56,130.250.00,17,75.200.00,73,"205.450,00"
SAN ANDRES,San Andres y Providencia,83,50.566.00,22,"17.913,00",105,"68.479,00"
