Oficina,CP - Numero,CP - Valor,MP - Numero,MP - Valor,T - Numero,T - Valor
Medellín,1.792,2.921.664.58,725,3.755.073.15,2.517,6.676.737.73
Abejorral,307,318.038.00,5,11.050.00,312,329.088.00
Andes,426,601.171.00,139,315.200.00,565,916.371.00
Bolivar,300,1.098.300.00,15,87.300.00,315,1.185.600.00
Concordia,366,564.683.33,98,143.186.38,464,707.869.71
Fredonia,398,1.219.751.45,31,221.950.29,429,1.441.701.74
•Frontino,888,660.498.89,83,260.613.36,971,921.112.25
Ituango,480,370.766.32,51,162.466.07,531,533.232.39
Jericó,366,725.790.00,84,249.493.23,450,975.283.23
Rionegro,989,550.749.59,162,473.382.72,1.151,1.024.132.31
Santa Rosa de Osos,99,80.413.05,311,764.877.26,410,845.290.31
Sonsón,929,703.646.33,107,268.756.45,1.036,972.402.78
Támesis,848,851.396.34,281,433.291.25,1.129,1.284.687.59
Turbo,235,104.544.01,41,196.725.25,276,301.269.26
Taramal,753,603.046.02,367,987.924.85,1.120,1.590.970.87
Yolombó,728,544.635.20,140,490.762.77,868,1.035.397.97
Liborina,505,344.130.02,48,82.367.90,553,426.497.92
Sopetrán,582,291.640.38,36,98.461.93,618,390.102.31
Granada,675,297.266.21,62,103.394.62,737,400.660.83
Barranquilla,1.109,2.720.147.95,281,1.716.729.50,1.390,4.436.877.45.
Cartagena,728,940.145.41,318,1.902.964.77,1.046,2.843.110.18
Corozal,164,128.185.78,526,1.507.025.64,690,1.635.211.42
El Carmen,393,253.661.34,357,1.075.762.85,750,1.329.424.19
Magangué,323,183.518.45,651,1.518.163.73,974,1.701.682.18
María La Baja,600,241.249.89,112,362.877.60,712,604.127.49
Mompós,184,193.941.02,394,1.153.815.40,578,1.347.757.42
San Marcos,184,239.556.06,124,584.001.71,308,823.558.67
San Onofre,475,281.823.43,100,353.761.00,575,•635.584.43
Sincelejo,485,378.695.00,322,1.340.739.94,807,1.719.434.94
Calamar,97,116.035.59,50,313.800.00,147,•429.835.59
Tunja,3.471,4.618.868.02,289,1.147.334.46,3.760,5.766.202.48
Chiquinquirá,3.161,2.403.397.44,244,677.381.58,3.405,3.080.779.02
Duitama,2.314,2.268.165.45,124,380.012.71,2.438,2.648.178.16
El Cocuy,"1,556","979.736,06",45,123.770.29,1.601,1.103.506.35
Guateque,902,467.579.70,61,103.300.00,963,570.879.70
•Miraflores,419,234.249.73,162,154.542.72,581,388.792.45
Meniquirá,2.014,1.143.365.22,252,614.543.67,2.266,1.757.908.89
Pauma,849,608.043.37,56,114.291.28,905,722.334.65
Pesca,"1,721",949.253.50,72,183.179.09,1.793,1.132.432.59
: Ramiriquí,1.490,1.245.420.50,196,271.280.90,1.686,1.516.701.40
• Soatá,2.403,1.918.422.82,123,318.213.23,2.526,2.236.636.05
Sogamoso,2.789,1.671.837.99,120,525.666.77,2.909,2.197.504.76
Leiva,1.661,1.387.744.40,141,454.601.79,1.802,1.842.346.19
Puebloviejo,809,332.119.00,7,18.300.00,816,350.419.00
Guayatá,471,244.466.64,28,40.760.00,499,285.226.64
Socha,762,582.752.09,20,54.100.52,782,636.852.61
Garagoa,512,398.060.00,142,217.425.00,654,615.485.00
Manizales,650,1.211.832.70,187,845.901.06,837,2.057.733.76
•Aguadas,710,734.216.03,66,300.713.00,776,1.034.929.03
Anserma,705,967.157.67,164,349.362.47,869,1.316.520.14
Apía,321,720.538.00,166,491.854.00,487,1.212.392.00
•.Armenia,876,1.491.600.53,352,1.152.804.54,"1,228",2.644.405.07
Calarcá,542,1.206.066.00,244,659.558.00,786,1.865.624.00
•La Dorada,132,416.879.48,120,935.858.90,252,1.352.738.38
Manzanares,1.043,1.034.636.27,102,318.178.77,1.145,1.352.815.04
•Pensilvania,1.090,979.501.00,135,248.310.00.,1.225,1.227.811.00
Pereira,459,967.092.60,311,1.159.903.03,770,2.126.995.63
Pijao,137,332.359.57,86,287.764.22,223,620.123.79
Riosucio,1.303,666.580.00,123,345.468.76,1.426,1.012.048.76
* Salamina,929,843.734.66,305,781.980.00,1.234,1.625.714.66
Santa Rosa de C.,520,539.090.15,322,567.156.05,842,1.106.246.20
Santuario,361,818.414.55,160,439.733.63,521,1.258.148.18
Filandia,173,129.906.65,41,40.999.45,214,170.906.10
Marsella,168,225.635.00,104,114.145.00,272,339.780.00
Popayán,2.122,1.944.836.22,417,1.702.393.67,2.539,"3.647,229.89"
Bolivar,354,284.830.30,216,298.905.79,570,583.736.09
Puerto Tejada,550,478.236.97,103,397.266.25,653,875.503.22
Santander,723,617.191.39,199,457.891.35,922,1.075.082.74
El Tambo,540,242.406.00,57,91.988.36,597,334.394.38
Montería,689,1.283.045.66,176,1.117.012.11,865,2.400.057.79
Ayapel,203,303.005.33,164,624.267.01,367,927.212.34
Lorica,1.543,1.213.932.57,178,772.268.82,1.721,1.986.201.39
Sahagún,549,407.377.13,458,"1,296.711.48",1.007,1.704.088.61
Cereté,583,1.000.201.38,264,852.018.68,847,1.852.220.06
Tierralta,92,127.916.85,22,73.875.00,114,201.791.85
Bogotá,1.184,3.601.455.55,736,4.666.905.68,1.920,8.268.361.23
Anolaima,603,710.290.00,18,75.378.57,621,785.668.67
Chocontá,1.095,820.573.65,141,313.531.44,1.236,1.134.105.09
Facatativá,1.182,1.763.400.88,106,539.970.13,1.288,2.303.371.01
Fusagasugá,1.133,1.021.178.30,101,324.368.41,1.234,1.336.546.71
Gachetá,2.017,1.317.484.88,212,356.140.35,2.229,1.673.625.23
Girardot,829,2.031.214.00,151%,870.472.62,980,2.901.686.62
Guatavita,264,339.998.00,13,55.590.00,277,395.588.00
La Mesa,1.348,1•117.481.57,55,224.575.93,1.405,1.342.057.50
La Palma,625,367.598.09,67,166.663.94,692,534.262.03
Pacho,800,698.654.23,74,338.145.56,874,1.036.799.79
Sasaima,310,278.798.26,44,154.711.57,354•,433.509.83
Soacha,451,644.671.00,28,83.319.00,479,727.990.00
Sopó,131,196.525.00,12,72.726.12,143,269.251.12
Ubaté,1.166,1.037.699.90,156,764.550.32,1.322,1.802.250.22
Une,944,710.947.23,154,241.101.35,1.098,952.048.58
Chía,119,144.644.00,26,70.772.86,145,215.416.88
Fómeque,459,324.917.58,112,179.428.99,571,504.346.57
Villeta,269,298.245.00,21,84.535.00,290,382.780.00
La Calera,195,179.792.50,51,212.599.59,246,392.392.09
Guasca,177,198.430.00,4,9.421.00,181,207.851.00
San Juan de Rioseco,563,961.312.00,29,187.448.32,592,1.148.760.32
Arbeláez,575,456.310.00,53,210.070.77,628,666.380.77
La Peña,229,155.865.00,32,76.290.00,261,232.155.00
Vergara,276,291.397.72,3,7.750.00,279,299.147.72
Zipaquirá,395,485.735.63,84,358.620.60,479,844.356.23
Neiva,914,1.537.458.39,251,1.033.543.39,1.165,2.571.001.78
Garzón,915,732.153.92,301,681.303.18,1.216,1.413.457.10
La Plata,389,275.480.07,235,377.353.02,624,652.833.09
Pitalito,915,712.918.40,116,243.540.00,1.031,956.458.40
Yaguará,288,584.732.00,72,197.145.55,360,781.877.55
San Agustin,268,283.965.00,50,183.575.00,318,467:540.00
Baraya,158,218.603.42,50,107.279.88,208,325.883.30
Acevedo,532,254.450.00,38,63.807.27,570,318.257.27
Palermo,217,272.625.00,38,99.395.00,255,372.020.00
Santa Marta,390,783.685.19,155,675.731.53,545,1.459.416.72
Chiriguaná,215,133.721.97,253,445.647.63,468,579.369.60
El Banco,188,361.865.08,504,1.259.921.95,692,1.621.787.03
Fundación,202,659.896.47,333,1.798.359.52,535,2.458.255.99
Plato,315,495.169.29,641,1.944.340.57,956,2.439.509.86
San Juan del César,237,384.234.75,324,823.654.75,561,1.207.789.50
Valledupar,464,926.496.56,530,1.905.752.57,994,2.832.249.13
Villanueva,281,372.912.36,189,463.781.57,470,836.693.93
Riohacha,46,29.798.94,67,153.120.00,113,182.918.94
Pasto,"1,466",1.148.793.28,1.121,2.494.827.96,2.587,3.643.621.24
Ipiales,756,789.459.50,250,463.635.27,1.006,1.253.094.77
La Cruz,818,794.345.00,146,292.630.00,964,1.086.975.00
La Unión,849,705.615.53,297,491.138.85,1.146,1.196.754.38
Túquerres,665,463.140.80,394,558.485.82,1.059,1.021.626.62
Sandoná,215,150.870.00,43.,77.034.00,258,227.904.00
Samaniago,268,157.382.27,90,103.389.64,358,260.771.91
Cúcuta,886,2.036.429.00,276,1.672.434.60,1.162,3.708.863.60
Cáchira,298,204.420.00,85,166.380.00,383,370.800.00
Chinácota,292,338.068.62,82,196.777.63,374,534.846.25
Ocaña,1.156,1.349.768.09,397,1.793.437.89,1.553,3.143.205.98
Pamplona,821,709.839.30,328,688.188.08,1.149,1.398.027.38
Salazar,672,658.125.97,207,208.119.23,879,866.245.20
Sardinata,507,660.517.95,40,96.425.00,547,.756.942.95
Toledo,463,381.710.03,97,180.377.00,560,562.087.03
Bucaramanga,1.338,1.554.794.80,343,1.507.550.39,1.681,3.062.345.19
Charalá,735,688.146.00,171,390.149.74,906,1.078.295.74
Málaga,1.374,883.100.33,29,84.933.00,1.403,968.033.33
Puente Nacional,444,271.911.96,463,581.213.45,907,853.125.41
Rionegro,293,379.561.06,71,136.498.00,364,516.059.06
San Andrés,540,348.275.00,115,235.050.00,655,583.325.00
San Gil,837,912.867.97,128,434.925.76,965,1.347.793.73
San Vicente,355,443.581.28,175,619.244.09,530,1.062.825.37
Socorro,1.007,1.130.173.83,285,1.124.887.26,1.292,2.255.061.09
Vélez,640,468.519.06,170,334.060.90,810,802.579.96
Suratá,139,82.830.00,24,37.720.00,163,120.550.00
Matanza,426,232.874.57,44,86.936.21,470,319.810.78
Ibagué,1.797,3.292.533.86,864,3.320.823.87,2.661,6.613.357.73
Armero,488,1.318.719.23,204,823.410.59,692,2.142.129.82
Chaparral,269,281.885.13,76,301.282.46,345,583.167.59
Espinal,834,885.041.03,120,524.007.42,954,1.409.048.45
Fresno,630,509.853.77,93,315.886.60,723,825.740.37
Guamo,842,732.165.00,132,634.339.75,974,1.366.504.75
Honda,556,705.349.46,140,566.529.21,696,"1,271.878.67"
Icononzo,578,546.686.51,82,202.053.60,660,748.740.11
Libano,676,809.970.00,201,464.339.62,877,1.274.309.62
Ortega,501,569.480.00,131,291.734.96,632,861.214.96
Purificación,883,1.410.475.87,472,1.287.173.34,1.355,2.697.649.01
San Antonio,215,303.660.24,57,158.120.97,272,461.781.21
San Luis,380,314.247.91,55,154.972.59,435,469.270.50
Villahermosa,349,253.451.00,88,138.567.42,437,392.018.42
Herveo,164,140.780.00,22,46.555.00,186,187.335.00
Santa Isabel,101,204.050.00,44,96.340.79,145,300.390.79
Cali,1.184,1.241.425.97,591,2.252.935.31,1.775,3.494.361.28
Buga,735,621.582.39,347,1.090.780.99,1.082,1.712.363.38
Caicedonia,350,852.459.00,164,494.477.00,514,"1,346.938.00"
Cartago,800,1.700.260.88,187,1.051.880.35,987,2.752.141.23
Palmira,622,"785.192,00",260,"1,179.816.93",882,1.965.008.93
Roldanillo,842,1.032.198.76,368,1.204.021.72,1.210,2.236.220.48
