Oficina,Departamento,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
Medellin,Antioquia,2.286,8. 465. 508,"2, 258",18. 369.074,471,"2,457.036",5.015,29.291.618
Abejorral,Antioquia,411,657.053,242,521.870,11,69.950,664,"1,248.873"
"Amalfi.,",Antioquia,350,"821,154",198,832. 186,2,49. 200,550,1. 702.540
Andes,Antioquia,435,"1. 345,209",211,673. 718,110,484.869,756,2. 503.796
Arboletes,Antioquia,397,730.948,176,"1,254.270",0,0,573,"1, 985,218"
Armenia.,Antioquia,125,666. 538,47,373. 335,7,"61, 648",179,"1,101, 521"
Betania..,Antioquia,186,674. 769,45,160.413,10,"61, 758",241,"896, 940"
Betulia..,Antioquia,225,717. 237,71,270.413,13,"118,252",309,"1.105, 902"
Bolivar.,Antioquia,243,1.272. 687,144,846. 598,43,"250, 350",430,2. 369.635
Cañasgordas,Antioquia,355,382. 340,224,347. 572,27,"139,845",606,869.757
Caucasia,Antioquia,365,835. 039,169,1. 700.400,0,0,534,"2. 535,439"
Cisneros,Antioquia,268,203. 639,103,404.009,25,69. 751,396,677. 399
Concordia,Antioquia,163,609.129,59,226.465,21,115. 959,243,"951, 553"
Chigorodo.,Antioquia,173,222. 762,217,"688, 142",1,"2, 034",391,912. 938
Dabeiba.,Antioquia,346,662. 376,239,"775, 355",4,"40,833",589,1.478. 564
Fredonia,Antioquia,1.018,"4,154.934",191,"1, 554. 100",105,376. 771,1.314,6.085.805
Frontino,Antioquia,414,470. 753,239,683. 352,22,155. 502,675,"1, 309.607"
Granada.,Antioquia,664,461.190,354,270.831,7,17. 924,"1,025",749.945
Ituango..,Antioquia,623,"1,097. 984",123,538. 374,10,137. 666,756,"1. 774,024"
Jardín,Antioquia,169,375. 130,214,736. 922,82,"307, 472",465,1.419. 524
Jericó,Antioquia,334,"1,277. 229",156,"842, 814",44,143. 570,534,2.263.613
La Ceja,Antioquia,383,"1. 428,800",378,"925, 088",76,306. 592,837,2. 660. 480
Liborina.,Antioquia,481,460. 346,167,319.076,52,161. 592,700,941.014
Marinilla,Antioquia,535,493. 294,304,"208,217",114,302. 916,953,1.004.427
