Oficina,Departamento,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
Medellin,Antioquia,2.050,6.844.994,2.070,15.997.220,477,2.680.547,4.597,25.522.761
Abejorral.,Antioquia,352,566.715,151,305.497,13,94.810,516,967.022
Amalfi,Antioquia,363,735.265,188,720.770,2,57.600,553,1.513.635
Andes,Antioquia,407,1.082.146,186,652.825,121,575.507,714,2.310.478
Armenia,Antioquia,218,674.150,58,371.992,15,97.181,291,1.143.323
Betulia,Antioquia,198,621.144,78,289.200,12,107.332,288,1.017.676
Bolivar,Antioquia,296,"1.269,939",150,608.239,53,413.245,499,2.291.423
Cañasgordas,Antioquia,441,452.479,234,368.882,32,170.444,707,991.805
Caucasia,Antioquia,163,370.555,127,1.118.395,0,0,290,1.488.950
Cisneros,Antioquia,324,177.566,128,333.574,37,103.777,489,614.917
Concordia,Antioquia,194,593.814,61,211.219,23,131.494,278,936.527
Chigorod6 .,Antioquia,204,260.755,153,533.522,0,0,357,794.277
Dabeiba,Antioquia,346,630.099,224,630.341,4,24.523,574,1.284.963
Fredonia,Antioquia,857,2.966.902,136,818.972,92,245.255,1.085,4.031.129
Frontino,Antioquia,424,460.804,220,"605,819",19,127.516,663,1.194.139
Granada,Antioquia,663,428.526,336,258.971,7,18.719,1.006,706.216
Ituango,Antioquia,573,939.102,112,423.693,7,45.373,692,1.408.168
Jardin,Antioquia,176,410.230,187,561.737,61,235.358,424,"1,207.325"
Jerico,Antioquia,341,1.054.555,131,544.226,49,158.886,521,1.757.667
La Ceja,Antioquia,371,961.590,360,786.594,81,332.525,812,"2.080,709"
Liborina,Antioquia,471,477.413,172,373.514,55,188.382,698,1.039.309
Marinilla,Antioquia,523,454.419,340,279.509,125,351.089,988,1.085.017
"Puerto Berrio,",Antioquia,49,205.440,131,888.591,0,0,180,1.094.031
Remedios,Antioquia,165,269.346,238,876.851,9,74.207,412,1.220.404
Rionegro,Antioquia,383,287.412,474,601.295,55,184.701,912,"1,073.408"
Salgar..,Antioquia,138,680.471,98,516.663,36,347.635,272,1.544.769
San Carlos.,Antioquia,418,522.892,422,649.370,1,2.575,841,1.174.837
San Roque,Antioquia,278,247.426,216,444.168,27,68.607,521,760.201
Santa Barbara.,Antioquia,294,531.358,92,277.267,47,191.967,433,1.000.592
Santa Fé de Antioquia,Antioquia,339,357.368,106,267.635,22,79.519,467,704.522
Santa Rosa de Osos ..,Antioquia,156,344.853,406,I.229.509,13,58.290,575,1.632.652
Santuario,Antioquia,576,511.726,458,504.834,54,130.652,1.088,1.147..212
Sonsón..,Antioquia,627,658.234,87,242.268,125,289.631,839,1.190.133
Sopetrán,Antioquia,527,511.399,164,492.319,91,378.876,782,1.382.594
Tamesis,Antioquia,646,1.039.289,152,445.160,93,325.487,891,1.809.936
Titiribl,Antioquia,207,714.215,70,576.050,19,78.191,296,1.368.456
Turbo,Antioquia,394,500.508,223,897.820,0,0,617,1.398.328
Urrao,Antioquia,354,544.260,294,777.459,88,266.710,736,1.588.429
Yarumal,Antioquia,622,716.385,386,1.699.821,121,622.226,1.129,3.038.432
Yolombo,Antioquia,276,313.545,109,713.102,3,33.080,388,1.059.727
Barranquilla,Atlantico,1.623,5.678.377,592,5.654.429,113,621.181,2.328,11.953.987
Sabanalarga,Atlantico,1.115,780.482,349,1.340.681,22,110.999,1.486,2.232.162
Cartagena ..,Bolivar,"1,321",3.666.024,979,9.082.499,117,1.122.119,2.417,13.870.642
Calamar,Bolivar,721,1.053.125,309,2.202.496,2,47.000,"1,032",3.302.621
Corozal,Bolivar,163,380.770,381,2.233.248,89,391.660,633,3.005.678
El Carmen.,Bolivar,319,476.818,332,1.793.090,128,851.278,779,3.121.186
Magangué,Bolivar,475,1.058.764,563,3.326.536,19,140.923,1.057,4.526.223
Majagual,Bolivar,197,449.742,154,712.628,0,0,351,1.162.370
Maria La Baja,Bolivar,327,509.915,147,641.135,14,92.582,488,1.243.632
Mompbs,Bolivar,333,1.339.692,603,3.785.778,16,83.388,952,5.208.858
Ovejas,Bolivar,201,223.633,203,902.578,28,162.452,432,1.288.663
San Juan Nepomuceno,Bolivar,444,330.138,337,1.297.321,53,266.623,834,1.894.082
San Onofre.,Bolivar,478,623.772,320,1.522.749,1,30.000,799,2.176.521
Since,Bolivar,422,793.988,478,1.836.793,69,311.075,969,2.941.856
Sincelejo,Bolivar,1.024,1.281.011,485,4.101.037,34,340.542,1.543,5.722.590
Sucre,Bolivar,99,385.354,205,1.037.577,1,14.000,305,1.436.931
Tunja,Boyaca,1.733,3.880.073,348,2.564.880,384,1.559.869,"2,465",8.004.822
Chiquinquirá,Boyaca,"1,518",2.643.412,596,1.666.455,121,586.750,2.235,4.896.617
Dultama,Boyaca,977,1.755.114,231,1.213.521,112,440.759,1.320,3.409.394
El Cocuy,Boyaca,546,736.556,256,556.450,41,236.144,843,1.529.150
El Espino..,Boyaca,798,691.207,117,225.759,27,127.233,942,1.044.199
Garagoa,Boyaca,1.020,1.636.693,348,914.879,93,304.955,1.461,2.856.527
Guateque,Boyaca,1.255,1.372.650,147,484.828,70,253.742,1.472,2.111.220
Guayatá,Boyaca,1.036,1.373.800,125,211.955,9,21.345,1.170,1.607.100
La Uvita,Boyaca,1.115,1.272.394,243,437.917,10,46.786,1.368,1.757.097
Leiva,Boyaca,974,1.155.539,135,438.403,115,305.663,1.224,1.899.605
Miraflores,Boyaca,1.431,2.851.676,1.294,1.527.782,151,743.249,2.876,5.122.707
Moniquirá,Boyaca,1.091,1.188.397,192,730.750,95,345.323,1.378,2.264.470
Orocul,Boyaca,56,81.680,143,235.850,0,0,199,317.530
Pauna,Boyaca,"1,000",1.104.928,193,388.532,37,132.913,1.230,1.626.373
Pesca,Boyaca,1.230,1.044.781,104,217.272,58,257.506,1.392,1.519.559
Puebloviejo,Boyaca,1.223,1.079.677,82,169.956,19,43.098,1.324,1.292.731
