Oficina,Departamento,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
Puerto Boyack,Boyaca,183,720.462,79,641.750,3,11.023,265,1.373.235
Ramiriqui..,Boyaca,1.492,1.632.856,148,336.592,156,523.138,1.796,"2. 492,586"
Saboyá,Boyaca,1.433,2.416.725,293,774.413,26,97.288,"1,752",3.288.426
San Luis de Gaceno,Boyaca,613,1.782.455,429,966.924,8,41.643,1.050,"2.791,022"
San Luis de Palenque,Boyaca,70,293.738,380,"1.112,835",0,0,450,1.406.573
Santa Rosa de Viterbo,Boyaca,798,1.040.955,93,288.476,85,320.200,976,1.649.631
Soath,Boyaca,1.183,1.097.183,185,341.303,49,157.023,1.417,1.595.509
Socha,Boyaca,522,591.006,125,206.417,12,44.992,659,842.415
Sogamoso,Boyaca,2.864,2.937.208,296,2.330.495,94,357.202,3.254,5.624.905
Tamara,Boyaca,281,516.114,214,506.145,0,0,495,1.022.259
Toca,Boyaca,381,574.194,61,454.453,153,549.327,595,1.577.974
Ventaquemada,Boyaca,1.026,2.076.390,104,276.691,80,335.797,1.210,2.688.878
Yopal,Boyaca,186,369.220,540,1.139.427,0,0,726,1.508.647
Manizales,Caldas,518,2.708.470,543,5.318.562,187,1.026.773,1.248,9.053.805
Aguadas,Caldas,511,940.898,155,906.669,68,"390, 990",734,2.238.557
Ansorme,Caldas,1094,2.010.563,280,1.058.447,92,600.624,1.466,3.669.634
Apia,Caldas,382,696.164,215,478.527,20,123.856,617,1.298.547
Aranzazu,Caldas,614,945.036,231,640.563,61,239.990,906,"1.825,589"
Armenia,Caldas,980,3.457.283,396,2.696.497,171,825.947,1.547,6.979.727
Belalcazar,Caldas,403,"1.325,408",155,445.550,11,133.880,569,1.904.838
Bolen de Umbria,Caldas,300,533.210,128,340.802,35,313.814,463,"1.187,826"
Calarcá,Caldas,477,1.842.600,I96,1.039.254,61,268.387,734,3.150.241
Chinchina,Caldas,319,607.509,124,328.192,59,402.615,502,1.338.316
Filandia,Caldas,381,384.128,134,189.518,50,137.564,565,711.210
Genova,Caldas,178,632.000,63,409.390,6,64.023,247,"1,105.413"
La Dorada,Caldas,264,1.141.310,344,3.508.624,37,167.379,645,4.817.313
Manzanarea,Caldas,902,1.365.598,352,840.944,29,107.545,1.283,"2.314,087"
Marsella,Caldas,254,452.662,126,307.563,56,388.363,436,1.148.588
Neira,Caldas,171,262.379,56,112.130,18,146.576,245,521.084
Pacora,Caldas,548,874.490,137,562.993,29,117.758,714,1.555.241
Palestina,Caldas,88,317.050,21,63.456,18,167.367,127,"547,873"
Pensilvania,Caldas,813,1.254.822,436,740.736,40,"132,379",1.289,2.127.937
Pereira,Caldas,661,1.878.378,413,3.269.687,160,881.473,1.234,6.029.538
Pijao,Caldas,131,920.825,5I,533.280,14,54.104,196,"I,508.209"
Quinchia,Caldas,540,406.224,65,154.856,9,93.347,614,654.427
Quimbaya,Caldas,281,517.541,84,277.948,37,"141,202",402,936.691
Riosucio,Caldas,"1,030",734.686,165,453.065,182,657.230,1. 377,"1.844,981"
Salamina,Caldas,551,1.053.951,283,953.526,67,290.698,901,"2,298,175"
Samans,Caldas,288,369.000,114,180.927,7,58.054,409,607.981
Santa Rosa de Cabal,Caldas,509,746.320,347,651.278,168,728.100,1.024,2.125.698
Santuario,Caldas,253,523.127,49,197.811,2,15.000,304,735.938
Viterbo,Caldas,121,397.055,24,120.794,26,121.243,171,639.092
Popayán,Cauca,1.008,1.861.050,676,4.941.224,264,968.117,1.948,7.770.391
Bollvar,Cauca,643,824.843,286,577.752,9,15.378,938,1.417.973
Caloto,Cauca,512,529.750,164,657.238,110,335.939,786,1.522.927
Corinto,Cauca,288,368.812,183,508.033,24,85.977,495,"962, 822"
El Bordo,Cauca,271,528.470,202,973.838,29,94.197,502,"1,596.505"
El Tambo.,Cauca,623,626.095,287,784.388,88,269.826,998,1.680.309
Miranda,Cauca,136,214.506,60,349.425,37,134.594,233,698.525
Paez,Cauca,175,150.141,218,504.751,0,0,393,654.892
Piendamo,Cauca,939,857.492,128,355.544,174,520.539,1.241,"1.733,575"
Puerto Tejada.,Cauca,253,393.189,121,628.363,46,175.646,420,1.197.198
Santander,Cauca,670,808.071,205,875.283,108,324.002,983,2.007.356
Timbio,Cauca,914,958.273,181,525.114,229,647.917,1.324,2.131.304
Monteria,Cordoba,603,2.513.366,506,6.322.512,24,252.543,1.133,"9.088,421"
Ayapel,Cordoba,185,548.614,142,1.266.551,4,17.784,331,1.832.949
Cerete,Cordoba,731,2.723.936,550,4.065.058,5,74.304,1.286,6.863.298
Ciénaga de Oro,Cordoba,310,778.275,216,1.032.980,3,26.310,529,1.837.565
China,Cordoba,383,420.235,225,1.031.397,2,29.009,610,1.480.641
Lorica..,Cordoba,976,1.616.699,464,3.280.089,41,222.763,1.481,5.119.551
Montellbano,Cordoba,168,614.850,176,1.472.934,1,11.760,345,2.099.544
Sahagun. ..,Cordoba,560,"739,428",535,"3.904,364",45,326.316,1.140,"4,970.108"
San Andres,Cordoba,328,"438,988",197,997.409,8,36.032,533,"1,472.429"
San Bernardo del Viento,Cordoba,528,934.941,122,950.806,2,28.259,652,1.914.006
San Marcos,Cordoba,274,"666,668",362,2.845.052,2,43.050,638,"3,554.770"
Tierralta,Cordoba,725,1.411.970,418,2.179.420,1,2.985,1.144,3.594.375
Bogotá,Cundinamarca,1.930,13.048.438,2.844,31.497.684,1.485,14.736.947,6.259,59.283.069
Anolaima,Cundinamarca,695,970.843,177,417.152,161,638.909,1.033,2.026.904
Arbelaez,Cundinamarca,463,596.020,102,261.144,87,416.675,652,1.273.839
Cabrera,Cundinamarca,359,511.933,1.009,1.585.675,42,287.835,1.410,"2,385.443"
Cachipay,Cundinamarca,295,531.817,60,230.555,63,293.910,418,1.056.282
Caqueza,Cundinamarca,1374,1.795.340,116,334.904,76,269.078,1.566,"2,399.322"
Chia,Cundinamarca,287,911.766,111,691.718,54,179.045,452,1.782.529
Chocontá,Cundinamarca,1.317,1.718.862,177,713.057,50,205.240,1.544,2.637.159
El Colegio.,Cundinamarca,475,559.100,44,106.967,86,247.421,605,913.488
Facatativa,Cundinamarca,784,2.035.472,195,1.110.374,196,1.000.632,1.175,4.146.478
Fomeque,Cundinamarca,470,887.633,194,344.873,98,347.382,762,1.579.888
Fusagasuga.,Cundinamarca,748,"1.275,043",445,913.286,511,1.673.685,1.704,"3.862,014"
Gachalá,Cundinamarca,649,1.000.845,224,419.876,25,89.717,898,1.510.440
Gacheta,Cundinamarca,863,1.070.694,664,830.093,86,231.806,1.613,"2,132. 593"
Girardot,Cundinamarca,294,1.193.218,241,2.785.930,55,1.263.408,590,5.242.556
Guaduas,Cundinamarca,340,505.682,101,384.566,76,400.068,517,"1,290,316"
Guasca,Cundinamarca,300,470.809,90,165.124,33,111.122,423,747.055
Guatavita,Cundinamarca,205,316.796,33,55.043,20,70.306,258,442.145
La Calera,Cundinamarca,411,889.405,147,434.234,118,445.203,676,1.768.842
La Mesa,Cundinamarca,840,1.345.618,83,507.464,105,488.705,1.028,2.341.787
La Palma,Cundinamarca,598,930.900,186,766.282,75,"306,189",859,"2.003,371"
La Peña,Cundinamarca,364,370.936,30,67.963,17,98.302,411,"537,201"
La Vega,Cundinamarca,337,678.317,62,248.297,47,260.808,446,1.187.422
Medina,Cundinamarca,269,510.935,552,641.276,2,8.463,823,1.160.674
Nocaima,Cundinamarca,185,225.472,44,139.864,33,242.889,262,608.225
Pacho,Cundinamarca,732,1.021.671,410,1.361.969,132,813.233,1.274,3.196.873
Pasca,Cundinamarca,635,1.294.160,351,497.689,46,223.437,1.032,2.015.286
San Bernardo..,Cundinamarca,320,472.360,I02,118.525,35,154.200,457,"745,085"
San Francisco.,Cundinamarca,435,886.110,142,530.986,80,361.702,657,"1,778.798"
San Juan de Rioseco.,Cundinamarca,726,1.344.087,125,484.425,76,477.456,927,"2;305, 968"
Sasaima,Cundinamarca,367,536.246,130,"391,769",94,392.749,591,1.320.764
Soacha,Cundinamarca,387,736.927,86,322.716,73,188.703,546,1.248.346
Sopo,Cundinamarca,85,210.831,70,298.634,42,252.836,197,762.301
Subachoque,Cundinamarca,325,1.145.629,77,435.389,12,36.816,414,1.617.834
Tocaima.,Cundinamarca,315,683.740,93,646.548,19,133.639,427,1.463.927
Ubate,Cundinamarca,835,1.548.178,200,"1,399.505",121,380.946,1.156,3.328.629
Une,Cundinamarca,344,612.220,57,113.922,53,237.175,454,963.317
Utica..,Cundinamarca,173,"283,215",91,329.485,9,"150,539",273,763.239
Vergara,Cundinamarca,640,974.779,62,172.449,41,267.295,743,"1,414.523"
Villeta,Cundinamarca,360,545.853,94,317.517,103,585.247,557,"1,448.617"
Viota,Cundinamarca,603,1.459.119,66,244.474,161,541.253,830,"2,244,846"
Zipaquira.,Cundinamarca,395,1.051.839,149,1.340.945,70,"210,221",614,2.603.005
Quibdo,Choco,324,92.737,12,21.214,0,0,336,113.951
El Carmen,Choco,166,214.098,78,135.297,29,88.569,273,437.964
Nelva,Huila,"1,247","4,942.616",1.502,8.799.368,212,927.731,2. 961,"14.669,715"
Acevedo,Huila,466,469.114,243,321.240,29,113.458,738,903.812
Algeciras.,Huila,301,514.260,230,566.346,26,"94,045",557,1.174.651
Baraya,Huila,229,482.687,576,1.523.723,25,"155,552",830,"2.161,962"
Campoalegre,Huila,269,803.716,141,989.098,42,150.258,452,1.943.072
Garzón,Huila,617,"1.463,925",804,3.162.512,107,638.874,1.528,"5.265,311"
Gigante,Huila,470,717.591,285,1.045.208,51,255.332,806,2.018.131
Guadalupe,Huila,240,212.091,215,551.024,16,53.105,471,816.220
La Plata..,Huila,418,"752,100",271,1.049.060,40,183.766,729,1. 984.926
Palermo ..,Huila,338,708.352,460,1.478.825,36,134.731,834,"2321,908"
Pitalito,Huila,667,935.385,376,1.012.408,24,111.358,1.067,2.059.151
San Agustio.,Huila,321,394.695,145,330.706,10,45.078,476,770.479
Tello,Huila,266,694.639,328,856.262,30,155.959,624,1.706.860
Tesalia,Huila,258,"448,590",209,622.877,8,31.674,475,1.103.141
Timaná,Huila,652,850.556,230,466.626,9,44.718,891,1.361.900
Yaguará.,Huila,341,970.419,235,1.259.705,24,115.459,600,2.345.583
"Santa Marta.,",Magdalena,564,2.114.454,329,3.465.180,52,259.929,945,"5.839,563"
Aguachica.,Magdalena,580,1.516.123,296,1.591.696,133,563.851,1.009,"3,671.670"
Ciénaga,Magdalena,279,720.993,156,910.342,9,47.628,444,1.678.963
Codazzi,Magdalena,227,1.332.636,147,2.015.486,13,77.508,387,3.425.630
Chiriguana,Magdalena,133,279.053,167,916.772,1,4.125,301,"1,199.950"
El Banco,Magdalena,167,585.888,390,2.218.108,52,222.463,609,3.026.459
Fundacion,Magdalena,434,1.757.158,391,"3.912,371",51,243.551,876,5.913.080
Guamal,Magdalena,292,582.450,438,"1.408,540",20,76.833,750,2.067.823
Pivijay,Magdalena,318,890.215,249,1.946.368,14,54.123,581,2.890.706
Plato,Magdalena,423,1.109.561,585,3.216.269,32,172.227,1.040,4.498.057
Valledupar,Magdalena,869,3.359.615,660,4.770.861,50,282.032,1.579,8.412.508
Villavicencio,Meta,897,"2.924,356",1.049,6.827.668,101,856.586,2.047,10.608.610
Acacias,Meta,274,622.490,502,1.005.502,53,187.486,829,1.815.478
Granada,Meta,254,395.815,789,1.370.578,21,94.935,1.064,1.861.328
Guamal,Meta,330,555.645,830,905.793,51,257.683,1.211,1.719.121
Puerto López,Meta,319,446.726,217,842.674,0,0,536,1.289.400
Restrepo..,Meta,604,1.004.248,1.009,1.473.062,22,82.683,1.635,2.559.993
San Martin,Meta,239,596.782,883,2.081.517,27,85.146,1.149,2.763.445
Pasto,Nariño,1.847,3.069.289,951,3.445.074,222,1.064.416,3.020,7.578.779
Contadero.,Nariño,630,949.893,132,197.338,24,120.171,786,1.267.402
El Tambo,Nariño,312,369.090,345,644.921,25,69.471,682,1.083.482
Ipiales.,Nariño,1.009,2.724.273,287,"1.446,488",51,"313,178",1.347,4.483.939
La Cruz..,Nariño,895,1.511.524,158,509.508,11,62.222,"1,064",2.083.254
La union,Nariño,1.014,1.459.955,361,1.010.420,87,238.631,1.462,2.709.006
Samaniego,Nariño,952,1.151.849,324,599.782,17,65.340,1.293,1.816.971
Sandoná,Nariño,802,907.011,242,402.635,32,117.054,I.076,1.426.700
Tumaco,Nariño,1.153,543.152,239,447. 747,2,5.231,1.394,996.130
Tâquerres,Nariño,1.121,"1,893,854",438,"1,048. 974",62,336.213,1.621,"3.279,041"
Cucuta,Norte de Santander,593,"2.694,273",496,5.015.011,72,664.914,1.161,"8.374,198"
Arbolodas,Norte de Santander,326,400.120,100,179.899,46,123.760,472,703.779
Cáchira,Norte de Santander,738,864.265,184,"283,733",19,75.554,941,"1.223,552"
Convención,Norte de Santander,291,398.573,131,613.080,58,307.085,480,1.318.738
Chinacota.,Norte de Santander,253,443.204,160,645.824,39,"203,761",452,1.292.789
Durania,Norte de Santander,368,1.370.689,72,305.580,33,137.249,473,1.813.518
Gramalote,Norte de Santander,468,717.107,140,336.584,50,337.718,658,"1.391,409"
Ocaña,Norte de Santander,760,1.574.454,197,"1.649,893",27,85.650,984,3.309.997
Pamplona.,Norte de Santander,1.089,2.433.473,499,1.803.467,55,201.721,1.643,4.438.661
Salazar,Norte de Santander,328,528.459,113,365.155,30,206.371,471,1.099.985
Sardinata,Norte de Santander,606,919.780,152,349.692,12,44.338,770,1.313.810
Toledo,Norte de Santander,854,883.735,228,487.533,24,98.666,"1,106",1.469.934
Bucaramanga,Santander,"3,253",8.154.852,1.374,9.352.350,137,1.238.228,"4,764",18.745.430
Barichara.,Santander,503,549.735,91,"292,239",35,"183,090",62 9,"1,025,064"
Barrancabormeja,Santander,379,610.873,277,1.832.666,3,20.000,659,"2.463,539"
Cimitarra.,Santander,257,444.397,371,1.249.072,20,96.741,648,"1,790. 210"
Concepción,Santander,964,1.086.692,235,756.164,35,314.262,1.234,"2,157,118"
Charala,Santander,912,1.367.313,237,815.440,26,151.159,1.175,2.333.917
Gambita,Santander,466,"684,380",213,529.048,2,5.431,681,"1.218,859"
Güepsa,Santander,624,828.543,119,464.981,76,302.451,819,1.595.975
Malaga,Santander,1.923,"1.846,249",190,419.000,68,351.541,2.181,2.616.790
Matanza,Santander,489,443.767,88,166.531,16,81.513,593,691.811
Oiba,Santander,267,489.075,121,528.715,23,"99,498",411,1.117.288
Onzaga,Santander,466,493.138,127,188.255,4,27.000,597,708.393
Piedecuesta,Santander,580,535.012,88,333.266,16,95.142,684,963.420
Puente Nacional.,Santander,706,724.578,479,749.369,90,282.984,1.275,1.756.931
Puerto Wilches,Santander,612,1.586.235,247,1.104.966,2,11.838,861,2.703.039
Rionegro,Santander,581,1.383.400,299,897.604,39,277.147,919,2.558.151
San Audréa,Santander,1.069,I.122.841,545,625.739,16,102.757,"1,630","1,851.337"
San Gil,Santander,1.415,"2,110.599",237,1.095.173,42,328.228,1.694,3.534.000
San Vicente..,Santander,401,790.440,253,1.167.490,38,234.494,692,2.192.424
SOCorro,Santander,591,"1,521,750",328,"3.042,861",57,461.447,976,"5.026,058"
Suaita,Santander,565,"911,869",153,536.499,7,"47,388",725,"1.495,756"
Sucre,Santander,617,845.550,706,1.311.353,5,13.970,1.328,"2,170,873"
Suratá,Santander,180,"192,444",108,156.692,8,51.606,296,"400,742"
Volez,Santander,320,"461,199",297,840.177,44,238.704,661,1.540.080
Zapatoca,Santander,300,"504,635",101,"434,130",42,283.014,443,1.221.779
Ibagué,Tolima,888,1.867.485,1.184,9.315.623,337,2.587.959,2.409,13.771.067
Alpujarra.,Tolima,186,393.905,82,312.066,2,19.670,270,725.641
Anzoategui,Tolima,256,557.260,209,961.694,7,56.757,472,1.575.711
Armero,Tolima,278,"1.398,826",226,1.619.491,41,549.299,545,"3.567,616"
Ataco,Tolima,287,625.401,382,1.348.864,6,33.083,675,2.007.348
Cajamarca,Tolima,319,466.112,173,"587,395",47,240.759,539,1.294.266
Casabianca,Tolima,275,289.748,105,"149,480",9,52.507,389,491.735
Cunday,Tolima,274,608.748,401,1.111.573,43,299.560,718,2.019.881
Chaparral,Tolima,2.061,4.115.975,3.750,10.848.888,51,293.293,5.862,15.258.156
Dolores,Tolima,207,"334,741",172,"393,749",6,19.624,385,748.114
Espinal,Tolima,939,"3,139,762",254,2.420.344,221,2.243.243,1.414,7.803.349
El Guamo,Tolima,1.602,"2.302, 608",303,1.324.375,167,1.692.613,2.072,5.319.596
Falan,Tolima,177,158.387,92,130.882,20,86.107,289,375.376
Fresno,Tolima,392,464.221,90,292.065,57,216.617,539,972.903
Herveo,Tolima,269,393.436,151,214.379,21,108.899,441,716.714
Honda,Tolima,127,659.210,105,965.075,25,195.708,257,"1.819,993"
Icononzo..,Tolima,665,1.550.843,231,749.516,59,298.243,955,2.598.602
Libano,Tolima,1.133,2.160.795,764,2.194.570,164,914.601,2.061,5.269.966
Mariquita.,Tolima,95,118.196,36,214.427,15,85.190,146,417.813
Melgar,Tolima,190,850.550,167,1.495.888,17,172.933,374,2.519.371
Natagaima,Tolima,370,902.351,269,1.343.148,15,85.747,654,2.331.246
Ortega,Tolima,582,1.084.494,348,1.167.798,6,28.491,936,2.280.783
Purificación,Tolima,738,1.722.674,885,3.997.130,123,1.214.745,1.746,6.934.549
Roncesvalles.,Tolima,131,318.067,267,989.130,6,58.768,404,1.365.965
Rovira,Tolima,819,1.395.941,995,2.756.784,47,288.445,1.861,4.441.170
San Antonio.,Tolima,337,705.306,229,925.650,12,179.878,578,1.810.834
"San Luis.,",Tolima,666,729.357,208,907.633,12,55.444,886,1.692.434
Santa Isabel,Tolima,153,342.020,128,446.541,13,97.690,294,886.251
Venadillo,Tolima,203,629.962,158,784.867,7,41.461,368,"1.456,290"
Villahermosa,Tolima,260,351.985,55,"131,402",21,115.979,336,599.366
Villarica.,Tolima,477,1.224.519,507,1.381.675,64,135.699,1.048,2.741.893
Cali,Valle del Cauca,839,2.553.660,901,9.916.726,273,1.675.239,2.013,"14.145,625"
Alcala.,Valle del Cauca,225,433.927,68,259.622,3,15.450,296,708.999
Bollvar,Valle del Cauca,261,380.648,122,343.759,34,144.199,417,868.606
Buga,Valle del Cauca,596,1.221.356,706,4.373.580,186,1.008.878,1.488,6.603.814
Buenaventura,Valle del Cauca,30,98.382,20,112.897,1,4.305,51,215.584
Caicedonia,Valle del Cauca,272,1.138.356,109,404. 902,16,102.599,397,1.645.857
Cartago,Valle del Cauca,668,2.490.124,716,3.850.252,119,929.659,1.503,7.270.035
Cerrito,Valle del Cauca,320,453.242,156,972.573,147,455.322,623,1.881.137
Dagua,Valle del Cauca,313,317.566,241,689.655,55,390.874,609,1.398.095
El Aguila.,Valle del Cauca,131,302.117,44,112.110,8,60.050,183,474.277
El Cairo,Valle del Cauca,402,874.642,310,887.734,31,268.053,743,2.030.429
Palmira,Valle del Cauca,665,1.792.830,445,3.761.160,316,917.235,1.426,6.471.225
Restrepo,Valle del Cauca,324,414.481,139,450.943,31,137.541,494,1.002.965
Roldanillo,Valle del Cauca,395,587.600,188,1.007.715,67,170.337,650,1.765.652
Sevilla,Valle del Cauca,505,1.443.836,357,"1.556,516",77,554.507,939,3.554.859
Tulua,Valle del Cauca,535,1.069.857,468,3.329.090,240,1.224.327,1.243,5.623.274
Trujillo,Valle del Cauca,173,554.118,145,520.885,93,437.541,411,1.512.543
Versalles.,Valle del Cauca,572,865.863,201,"502,836",50,386.584,823,1.755.284
Zarzal,Valle del Cauca,141,340.570,171,1.501.991,41,180.316,353,2.022.877
Arauca,Arauca,76,181.944,693,3.801.493,45,194.420,1.810,5.505.143
Tame,Arauca,200,761.994,736,814.073,48,185.988,510,1.541.151
Riohacha..,Guajira,311,621.693,112,631.858,75,358.741,498,1.612.292
Barrancas,Guajira,264,498.858,126,417.235,20,80.648,410,996.741
Fonseca,Guajira,259,776.530,142,721.406,18,"68,750",419,1.566.686
San Juan del Cesar,Guajira,267,1.012.727,286,1.867.628,4,"43,880",557,2.924.235
Villanueva,Guajira,454,1.384.047,262,1.453.071,38,225.659,754,3.062.777
San Andres,San Andres y Providencia,89,164.761,12,41.385,0,0,101,206.146
Leticia,Amazonas,71,133.358,52,182.176,0,0,123,315.534
Mocoa,Putumayo,297,"233,039",544,596.299,7,21.448,848,850.786
Sibundoy,Putumayo,67,177.160,216,510.410,55,198.319,338,885.889
Mitu,Vaupes,180,928.683,1,"3,749",0,0,181,932.432
Puerto Carreño.,Vichada,26,66.360,11,36.658,0,0,37,103.018
