Oficina,CP - Numero,CP - Valor,MP - Numero,MP - Valor,T - Numero,T - Valor
Medellin,2.003,3.312.508.42,959,2.618.141.41,2.962,7.980.649.83
Abejorral,347,372.985.00,21,30.276.50,368,403.261.50
Andes,470,748.688.00,288,654.031.62,758,1.402.719.62
Bolivar,378,1.203.500.00,89,163.092.38,417,1356.592.38
Concordia,342,555.973.93,28,67.308.51,370,623.282.44
Fredonia,411,1.227.876.96,46,219.873.53,457,1.447.749.49
Frontino,583,534.269.78,94,404.717.08,677,938.986.86
Granada,858,417.607.11,68,96.684.03,916,514.291.14
Ituango,598,501.995.81,211,252.748.91,809,754.744.72
Jericó,317,675.217.91,75,221.029.76,392,896.247.67
Liborina,641,430.647.45,93,144.888.00,734,576.435.45
Marinilla,431,221.121.49,71,101.437.00,502,322.558.49
Rionegro,417,340.076.40,122,403.047.45,539,743.123.85
Santa Rosa de Osos,122,104.378.46,385,828.451.05,507,932.829.51
Sonsón,830,561.602.61,119,175.320.67,949,726.923.28
Sopetrán,652,414.262.23,62,189.765.70,714,604.027.93
Támesis,721,721.251.00,280,406.665.90,1.001,1.127.916.90
Turbo,239,132.235.84,63,241.866.42,302,374.102.26
Yarumal,772,636.634.23,444,1.178.611.39,1.216,1.815.245.62
Yolombó,722,476.482.23,189,654.102.89,911,1.130.585.12
Urrao,155,216.557.38,83,70.787.37,188,287.344.75
Barranquilla,1.270,2.307.128.82,328,1.680.481.60,1.598,3.987.610.42
Cartagena,740,909.594.35,363,2.052.730.81,1.103,2.962.325.16
Calamar,185,231.488.61,166,705.756.00,851,937.244.51
Corozal,380,413.150.00,691,1.949.492.88,1.071,2.362.642.88
El Carmen,222,214.382.87,371,1.224.771.94,593,1.439.154.81
Magangué,443,457.034.11,527,1.446.309.70,970,1.903.343.81
María La Baja,474,219.377.51,123,354.700.77,597,574.078.28
Mompós,235,348.964.83,374,1.114.222.18,609,1.463.187.01
San Marcos,229,305.901.58,99,459.621.85,328,765.523.43
San Onofre,472,323.766.14,109,380.950.00,581,704.716.14
Sincelejo,489,408.146.63,844,1.641.992.89,833,2.050.139.42
Tunja,3.464,4.490.322.84,670,1.668.284.51,4.134,6.158.607.35
Chiquinquirá,2.838,2.607.366.97,246,731.037.13,3.084,3.338.404.10
Duitama.,2.159,2.191.287.15,118,382.294.91,2.277,2.573.582.06
El Cocuy,1.410,954.172.82,123,178.432.07,1.533,1.132.604.89
Garagoa,1.312,1.053.275.00,228,370.630.00,1.540,1.423.905.00
Guateque,1.041,625.390.66,85,128.999.47,1.126,754.390.13
Guayatá,555,336.965.00,26,42.595.00,581,379.560.00
Leiva,1.176,822.716.60,163,505.619.98,1.339,1.328.336.58
Miraflores,120,129.500.00,83,129.210.76,203,258.710.76
Moniquirá,1.832,1.226.648.46,282,604.670.03,2.114,1.831.318.49
Pauna,844,674.868.83,120,182.242.27,964,867.111.10
Pesca,1.564,921.009.65,96,203.185.71,1.660,1.124.195.26
Puebloviejo,827,382.698.00,11,19.492.50,838,402.190.50
Ramiriqui,1.124,842.843.58,632,591.617.40,1.756,1.434.460.98
Soatá,2.388,2.022.600.01,142,321.478.62,2.530,2.344.078.63
Socha,890,698.162.33,67,143.124.00,957,841.286.33
Sogamoso,2.525,1.929.473.99,147,558.130.86,2.672,2.487.604.85
Manizales,652,1.179.591.07,208,1.023.936.11,860,2.203.527.18
Aguadas,711,895.608.03,85,301.524.81,796,1.197.132.84
Anserma,621,669.130.88,166,251.914.50,787,921.045.38
Apía,440,775.507.00,267,530.972.50,707,1.806.479.60
Armenia,977,1.780.255.00,376,1.051.760.66,1.353,2.832.015.66
Belalcázar,171,335.819.00,30,97.766.00,201,433.585.00
Calarcá,529,1.185.813.00,227,600.258.00,756,1.686.071.00
Filandia,362,350.685.00,102,116.202.00,464,466.887.00
La Dorada,198,687.598.12,220,1.464.983.07,418,2.152.581.19
Manzanares,1.033,1.045.639.42,128,280.838.37,1.161,1.326.477.79
Marsella,243,311.450.00,101,119.075.00,344,430.525.00
Pensilvania,936,876.067.99,215,267.114.02,1.151,1.133.172.01
Pereira,511,882.505.00,819,1.450.446.45,830,2.832.951.45
Pijao,176,551.360.00,77,268.847.50,253,810.207.50
Riosucio,1.267,680.301.56,130,312.776.70,1.397,993.078.26
Salamina,950,857.195.62,368,831.980.39,1.318,1.689.176.01
Santa Rosa de Cabal,617,650.874.07,388,691.253.34,1.005,1842.127.41
Santuario,438,816.823.29,146,307.741.59,584,1.123.564.88
Popayán,2.460,2.384.379.80,391,1.843.002.35,2.851,4.227.382.15
Bolivar,646,686.059.17,242,319.932.63,888,1.005.991.80
Caloto,456,430.794.31,144,387.060.38,600,817.854.69
El Tambo,797,416.924.00,132,193.173.00,929,610.097.00
Puerto Tejada,402,351.025.21,74,361.840.03,476,712.865.24
Santander,693,570.616.39,156,403.060.52,849,973.676.91
Montería,624,1.213.701.37,188,1.298.078.99,812,2.511.780.36
Ayapel,273,427.446.90,210,703.734.04,463,1.181.180.94
Cereté,525,968.529.22,277,900.413.15,802,1.868.942.37
Lorica,1.303,1.327.415.34,212,986.042.07,1.515,2.313.457.41
Sahagún,431,378.872.52,426,1.261.154.92,857,1.640.027.44
Tierra Alta,199,257.306.30,28,111.360.00,227,368.666.30
Bogotá,1.161,3.473.418.20,768,5.577.670.00,1.929,9.050.988.20
Anolaima,749,854.957.00,140,336.179.46,889,1.191.136.46
Arbeláez,628,549.970.74,86,299.830.22,714,849.800.96
Cáqueza,685,549.782.85,49,78.830.23,734,628.613.08
Chía,176,244.285.00,65,143.401.32,241,387.686.32
Chocontá,1.562,1.369.137.92,131,277.202.90,1.693,1.046.340.82
Facatativá,956,1.396.659.53,160,699.161.53,1.116,2.095.821.06
Fómeque,472,398.252.00,268,423.075.03,740,821.227.03
Fusagasugá,1.010,1.012.281.12,148,444.320.42,1.158,1.456.601.54
Gachetá,2.056,1.632.760.69,141,297.113.88,2.197,1.929.874.57
Girardot,439,775.547.54,1:18,719.957.57,557,1.495.505.11
Guasca,202,218.635.00,34,59.675.15,236,278.310.15
Guatavita,391,432.582.09,70,144.661.27,461,677.243.36
La Calera,305,332.926.32,88,315.696.13,393,648.622.45
La Mesa,1.309,1.122.723.88,149,623.534.61,1.458,1.746.258.49
La Palma,709,400.965.31,65,172.175.11,774,673.140.42
La Peña,354,231.825.00,50,136.065.00,404,367.890.00
Pacho,913,982.720.00,99,424.077.82,1.012,1.406.797.82
San Juan de Rioseco,887,1.313.900.49,85,327.414.10,972,1.641.314.59
Sasaima,284,230.735.00,118,256.075.42,402,486.810.42
Soacha,574,826.354.00,106,253.234.54,680,1.079.588.54
Sopó,123,169.992.50,40,168.113.06,163,338.105.56
Ubaté,847,853.936.11,196,687.451.57,1.043,1.541.387.68
Une,740,644.197.37,165,269.507.35,905,913.704.72
Vergara,647,693.970.00,70,56.160.00,717,750.130.00
Villeta,340,424.568.88,51,196.308.26,391,620.877.14
Zipaquirá,372,526.728.67,104,397.841.59,476,924.570.26
Quibdó,147,42.884.28,15,28.995.41,162,71.879.69
