Oficina,CP - Numero,CP - Valor,MP - Numero,MP - Valor,T - Numero,T - Valor
Neiva,1.147,1.988.717.52,389,1.451.623.29,1.536,3.440.340.81
Acevedo,522,293.558.00,69,112.288.50,591,405.846.50
Baraya,173,271.720.00,88,204.158.62,261,475.878.62
Garzón,888,889.926.38,382,1.021.004.17,1.270,1.910.930.55
La Plata,380,255.093.47,207,408.494.21,587,663.588.28
Palermo,392,441.364.45,85,195.880.64,477,637.245.09
Pitalito,900,750.563.98,155,320.203.97,1.055,1.070.767.95
San Agustin,293,286.705.00,51,"160.015,50",344,446.720.50
Yaguará,311,704.110.00,79,374.324.53,390,"1.078,434.53"
Carnicerías,138,90.650.00,94,146.598.32,232,237.248.32
Santa Marta,456,898.904.01,189,766.437.42,645,1.665.341.43
Chiriguaná,287,325.101.79,260,544.963.35,547,870.066.14
El Banco,212,392.730.03,407,1.236.898.09,619,1.629.628.12
Fundación,354,849.468.64,402,2.063.599.50,756,2.913.068.44
Plato,277,500.085.47,584,1.687.107.37,861,2.187.192.84
Riohacha,200,271.839.07,95,228.678.10,295,500.517.17
San Juan del César,877,1.400.605.58,372,1.043.884.56,1.249,2.444.490.14
Valledupar,1.201,2.447.767.26,660,2.516.183.47,1.861,4.963.950.73
Villanueva,638,1.333.714.36,190,624.118.62,828,1.957.832.98
Pasto,1.589,1.390.786.77,1.091,2.386.463.77,2.680,3.777.250.54
Ipiales,763,900.250.74,249,533.626.63,1.012,1.433.877.37
La Cruz,993,1.208.280.00,131,294.726.00,1.124,1.503.006.00
La Unión,891,847.201.95,324,519.463.20,1.215,1.366.665.15
Samaniego,395,267.240.00,112,128.933.73,507,395.273.73
Sandoná,463,379.345.60,116,164.691.92,579,544.037.52
Túquerres,366,257.190.41,313,458.992.78,679,716.183.19
Mocoa,156,97.561.23,334,470.953.02,490,568.514.25
Cúcuta,970,2.519.960.29,319,1.909.246.19,1.289,4.429.207.08
Cáchira,381,264.600.00,160,263.440.00,541,528.040.00
Chinácota,337,362.544.33,114,271.094.43,451,633.638.76
Ocaña,1.105,1.602.210.42,562,2.835.761.09,1.667,4.437.971.51
Pamplona,842,839.479.00,350,884.362.75,1.192,1.723.841.75
Salazar,847,775.295.47,209,264.777.29,1.056,1.040.072.76
Sardinata,479,592.865.00,89,131.637.50,568,724.502.50
Toledo,666,572.515.00,214,237.456.40,880,809.971.40
Bucaramanga,1.359,1.342.935.88,436,1.467.032.52,1.795,2.809.968.40
Charalá,868,746.411.36,405,750.715.63,1.273,1.497.126.99
Málaga,1.496,1.040.383.68,29,89.400.00,1.525,1.129.783.68
Matanza,499,299.889.25,107,149.110.78,606,449.000.03
Puente Nacional,485,331.746.40,499,614.875.84,984,946.622.24
Ríonegro,240,361.180.00,91,142.117.00,331,503.297.00
San Andrés,754,540.283.00,278,391.225.50,1.032,931.508.50
San Gil,1.046,992.787.33,242,665.102.50,1.288,1.557.889.83
San Vicente,344,381.604.41,189,613.153.15,633,994.757.56
Socorro,996,1.197.200.33,329,1.159.583.18,1.325,2.356.783.51
Suratá,215,133.195.00,91,126.782.50,306,259.977.50
Vélez,573,473.492.71,233,451.746.69,806,925.239.40
Ibagué,1.324,2.457.676.12,664,2.962.487.39,1.988,5.420.163.51
Armero,441,1.133.033.36,205,1.130.648.60,646,2.263.681.96
Chaparral,181,210.867.94,55,161.756.85,236,372.624.79
Espinal,859,883.481.04,178,802.071.73,1.037,1.685.552.77
El Guamo,771,642.491.50,135,630.841.87,906,1.273.333.37
Fresno,979,871.514.32,198,419.127.11,1.177,1.290.641.43
Herveo,180,132.690.00,42,81.447.50,222,214.137.50
Honda,465,724.815.35,210,893.830.97,675,1.618.646.32
Icononzo,578,691.459.57,110,255.828.29,688,847.287.86
Libano,766,1.024.208.86,349,820.236.21,1.115,1.844.445.07
Ortega,547,626.844.36,133,311.504.08,680,938.348.44
Purificación,869,975.477.18,311,1.016.050.98,1.180,1.991.528.16
San Antonio,273,358.943.54,41,111.563.66,314,470.507.10
San Luis,542,438.097.27,75,191.775.43,617,629.872.70
Santa Isabel,170,277.360.60,79,217.945.67,249,495.306.27
San Miguel de Perdomo,300,405.343.07,126,543.951.67,426,949.294.74
Villahermosa,452,335.017.74,130,179.965.72,582,614.983.46
Melgar,333,749.130.47,99,435.353.35,432,1.184.483.82
Dolores,127,194.478.63,72,166.567.86,199,361.046.49
Rovira,487,837.737.28,135,435.109.67,622,1.272.846.95
Cali,1.202,1.505.854.47,664,2.855.491.91,•1.866,4.361.346.38
Buga,829,783.632.80,414,1.505.135.90,1.243,2.288.768.70
Caicedonia,337,905.026.00,193,577.027.50,530,1.482.053.50
Cartago,939,2.140.187.34,248,1.281.227.07,1.187,3.421.414.41
Cerrito,165,264.827.84,81,296.546.75,246,661.374.59
El Aguila,188,383.087.00,71,155.322.50,259,538.409.50
El Cairo,370,684.800.00,215,317.176.16,585,1.001.976.16
Palmira,830,1.020.808.71,319,1.187.014.89,1.149,2.207.823.60
Roldanillo,1.053,1.090.151.48,587,1.094.785.60,1.640,2.184.937.08
Sevilla,344,855.474.00,362,1.086.163.00,706,1.940.037.00
Tuluá,1.184,1.619.974.12,354,1.252.012.27,1.538,2.871.986.39
Trujillo,438,623.203.80,194,443.234.09,632,1.066.437.89
Arauca,127,191.407.65,81,242.577.77,208,433.985.42
Florencia,1.004,829.474.08,407,1.029.344.56,1.411,1.858.818.64
San Andrés,94,38.634.00,13,12.160.00,107,60.794.00
Villavicencio,977,2.270.415.83,2.463,2.603.400.66,3.440,4.873.816.49
