Oficina,Departamento,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
Medellin,Antioquia,1.541,8.009.701,2.217,21.642.219,444,2.808.082,4.202,32.460.002
Abejorral,Antioquia,397,617.441,294,673.041,13,63.610,704,"1,354.092"
Amagá.,Antioquia,439,"1.101,259",111,644.678,66,300.637,616,2.046.574
Amalfi,Antioquia,205,431.416,140,637.140,4,129.552,349,"1.198,108"
Andes,Antioquia,431,1.269.783,241,843.418,111,438.465,783,2.551.666
Anori,Antioquia,82,208.989,39,104.521,0,0,121,313.510
Antioquia,Antioquia,391,447.580,125,343.188,24,182.057,540,"972,825"
Arboletes,Antioquia,670,"1,085.347",207,1.451.056,0,0,877,2.536.403
Armenia,Antioquia,175,751.838,71,456.741,7,58.036,253,"1,266,615"
Barbosa.,Antioquia,614,448.619,235,347.743,56,225.997,905,1.022.359
Betania,Antioquia,227,704.150,65,234.758,9,"51,641",301,990.549
Betulia,Antioquia,253,830.738,74,401.412,15,176.336,342,1.408.486
Bolivar,Antioquia,225,1.157.700,149,872.921,41,163.072,415,"2.193,693"
Cañasgordas,Antioquia,390,420.509,245,375.377,32,149.984,667,945.870
Caucasia,Antioquia,602,1.470.995,203,2.481.890,0,0,805,3.952.885
Cisneros,Antioquia,238,169.672,114,432.777,20,35.839,372,"638,288"
Concordia,Antioquia,195,723.110,45,231.987,20,103.902,260,"1,058.999"
Chigorod6,Antioquia,285,350.845,356,"1,024.671",4,15.942,645,1.391.458
Dabeiba,Antioquia,397,797.059,245,856.289,5,38.697,647,1.692.045
Fredonia,Antioquia,720,4.494.201,209,1.913.074,83,464.276,1.012,6.871.551
Frontino,Antioquia,372,446.334,295,1.003.645,28,245.772,695,1.695.751
Granada,Antioquia,667,522.698,345,333.408,9,22.009,1.021,878.115
Ituango,Antioquia,590,1.050.536,141,582.269,12,186.180,743,1.818.985
Jardin,Antioquia,155,"380,020",256,869.505,93,407.944,504,1.657.469
Jericó,Antioquia,347,1.472.320,205,1.336.541,50,225.683,602,3.034.544
La Ceja,Antioquia,412,1.846.200,417,1.183.531,83,395.163,912,3.424.894
Liborina,Antioquia,457,440.469,167,475.407,53,152.942,677,1.068.818
Marinilla,Antioquia,553,540.136,243,268.445,97,250.503,893,1.059.084
Nariño.:,Antioquia,360,"429,280",57,196.807,40,"58,050",457,684.137
.Puerto Berrfo,Antioquia,120,447.333,181,"1.501,072",1,720,302,1.949.125
Remedios,Antioquia,210,481.015,261,"1,067.491",9,66.813,480,1.615.319
Rionegro,Antioquia,506,560.459,709,1.050.106,137,560.667,1.352,2.171.232
Salgar,Antioquia,145,775.448,154,"1,006.398",27,202.422,326,1.984.268
