Oficina,Departamento,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
San Carlos,Antioquia,392,551.760,466,612.674,1,1.648,859,1.166.082
San Roque ..,Antioquia,313,292.118,295,853.571,34,300.953,642,1.446.642
Santa Bárbara,Antioquia,358,701.809,113,307.694,42,166.954,513,1.176.457
Santa Rosa de osos,Antioquia,202,506.884,417,1.775.478,9,29.151,628,2.311.513
Santuario,Antioquia,841,833.392,423,464.846,52,175.003,1.316,1.473.241
Sonsón,Antioquia,512,643.602,74,194.426,68,155.613,654,993.641
Sopetrán,Antioquia,469,614.688,182,"868,181",105,399.295,756,1.882.164
Támesis,Antioquia,669,1.141.195,214,"698,622",80,255.465,963,2.095.282
Titiribl,Antioquia,136,"793,309",63,793.560,13,76.886,212,1.663.755
Turbo,Antioquia,503,790.322,244,1.153.635,0,0,747,"1,943.957"
Urrao,Antioquia,393,915.583,390,"1.270,122",79,231.568,862,2.417.273
Yarumal,Antioquia,616,"810,006",369,2.129.935,108,468.208,"1,093",3.408.149
Yolombo,Antioquia,204,282.775,117,719.440,6,39.701,327,1.041.916
Barranquilla,Atlantico,"1,216",4.492.971,749,8.902.455,100,"470,191",2.065,13.865.617
Sabanalarga,Atlantico,996,756.007,346,1.525.483,19,66.404,1.361,2.347.894
Santo Tomás,Atlantico,746,824.385,108,573.630,1,14.000,855,1.412.015
Cartagena,Bolivar,"1,418","4,157,449","1,025",10.126.326,114,1.215.739,2.557,15.499.514
Calamar,Bolivar,"1,289",2.545.064,568,4.474.530,8,284.700,1.865,7.304.294
Corozal.,Bolivar,186,1.086.131,416,4.373.082,93,506.247,695,5.965.460
El Carmen,Bolivar,480,1.003.290,362,"2.680,290",94,500.343,936,"4.183,923"
Magangué,Bolivar,495,1.262.899,379,3.120.233,11,86.600,885,4.469.732
María La Baja,Bolivar,484,728.128,203,1.198.408,16,147.038,703,2.073.574
Majagual,Bolivar,684,1.415.218,163,837.437,0,0,847,2.252.655
Mompos,Bolivar,695,"2,811,938",685,"5.513,036",18,82.405,"1,398","8.407,379"
Ovejae,Bolivar,398,734.400,256,1.719.681,27,140.475,681,2.594.556
San Jacinto,Bolivar,247,255.833,91,655.866,38,188.317,376,1.100.016
San Juan Ne pomuceno,Bolivar,650,735.135,406,2.327.363,59,514.194,1.115,3.576.692
San Marcoe,Bolivar,637,"1,600.498",746,4.451.330,2,61.250,1.385,"6.113,078"
San Onofre..,Bolivar,798,973.859,390,2.026.445,1,17.150,1.189,3.017.454
San Pedro,Bolivar,258,"296,090",156,1.295.571,10,30.422,424,1.622.083
Simit,Bolivar,153,411.995,99,373.349,0,0,252,785.344
Since,Bolivar,631,"1,407.047",466,"2.768,092",62,250.382,1.159,4.425.521
Sincelejo,Bolivar,"1,351",2.307.003,517,"5.252,158",31,334.965,"1,899",7.894.126
Sucre,Bolivar,734,1.438.581,254,"1.414,372",1,10.000,989,2.862.953
Tunja,Boyaca,1.962,5.046.955,457,2.963.352,374,2.065.543,2.793,10.075.850
Chiquinquirá,Boyaca,1.557,3.386.674,551,2.516.168,131,860.789,2.239,6.763.631
Duitama.,Boyaca,666,1.688.350,219,1.405.171,65,302.594,950,3.396.115
El Cocuy,Boyaca,595,917.340,283,845.335,52,342.957,930,2.105.632
El Espino,Boyaca,1.066,"1,009.161",342,654.459,30,120.103,1.438,1.783.723
Garagoa.,Boyaca,1.374,2.294.191,349,1.061.361,93,320.830,1.816,3.676.382
Guateque,Boyaca,1.231,1.626.630,158,523.105,73,"230,229",1.462,2.379.964
Guayatá..,Boyaca,1.232,2.027.524,100,262.957,15,75.649,1.347,2.366.130
La Uvita,Boyaca,1.394,"1,544.821",264,452.917,12,51.829,1.670,2.049.567
Leiva,Boyaca,1.234,"1,960,384",346,742.159,108,362.223,1.688,3.064.766
Yopal,Boyaca,491,1.441.834,578,2.169.106,1,4.567,1.070,3.615.507
Miraflores..,Boyaca,1.347,3.263.641,1.149,"1.720,394",130,541.719,2.626,5.525.754
Moniquirá,Boyaca,"1,247",1.514.475,286,1.196.957,105,633.865,1.638,3.345.297
Monterrey .,Boyaca,196,1.018.163,404,1.083.786,1,2.900,601,2.104.849
Muso,Boyaca,193,"473,724",95,"288,228",1,2.904,289,764.856
Nunchía,Boyaca,98,135.850,80,64.071,0,0,178,199.921
Orocal,Boyaca,47,"79,736",130,339.660,0,0,177,419.396
Paipa,Boyaca,502,1.142.010,167,671.887,65,277.201,734,2.091.098
Pauna,Boyaca,1.104,1.544.417,294,"811,657",36,144.991,1.434,2.501.065
Paz de Ariporo,Boyaca,122,454.250,211,1.303.658,0,0,333,1.757.908
Pesca,Boyaca,1.346,"1,406.099",131,293.033,72,301.992,1.549,"2.001,124"
Puebloviejo.,Boyaca,1.032,1.043.820,180,302.141,17,36.602,1.229,"1,382.563"
Puorto Boya ca,Boyaca,373,1.436.448,178,2.187.113,3,9.695,554,3.633.256
Ramiriquf,Boyaca,1.174,1.807.018,83,262.887,82,"274,158",1.339,2.344.063
Saboyá,Boyaca,1.143,2.359.632,793,1.957.771,18,60.030,1.954,4.377.433
San Luis de Gaceno,Boyaca,719,2.273.984,211,746.505,7,107.154,937,3.127.643
San Luis de Palenque,Boyaca,135,411.980,432,1.465.566,0,0,567,1.877.546
Santa Rosa de Viterbo,Boyaca,728,1.196.762,159,711.593,79,280.700,966,2.189.055
Soata,Boyaca,1.134,1.140.527,236,397.311,53,208.208,"1,423",1.746.046
Socha,Boyaca,693,901.632,119,240.142,10,44.291,822,1.186.065
Sogamoso,Boyaca,"2,993",3.651.705,383,3.088.795,85,304.113,3.461,7.044.613
Tamara,Boyaca,274,469.490,61,207.204,0,0,335,676.694
Tiband,Boyaca,"1,302",2.314.326,83,206.247,69,291.995,1.454,2.812.568
Toca,Boyaca,786,1.374.778,96,751.164,125,487.935,1.007,"2.613,877"
Ventaquemada..,Boyaca,825,2.178.055,91,375.622,40,155.129,956,2.708.806
Manizales,Caldas,531,3.844.253,662,7.801.113,185,"1,373.476",1.378,13.018.842
Aguadas.,Caldas,460,"928,259",215,1.513.535,78,550.502,753,2.992.296
Anserma,Caldas,774,1.394.645,224,"1,027.150",88,486.520,086,2.908.315
A pla,Caldas,308,599.339,290,955.365,48,503.685,646,2.058.389
Aranzazu,Caldas,577,927.640,187,654.261,43,135.545,807,1.717.446
Armonia,Caldas,865,3.534.003,480,3.263.095,123,"775,629",I.468,7.572.727
Bolalcazar...,Caldas,413,1.292.664,162,502.402,18,202.259,593,1.997.325
Belén de Umbrfa,Caldas,326,656.150,231,582.911,67,716.960,624,1.956.021
Calarcá,Caldas,468,2.119.531,225,1.250.088,47,189.867,740,"3.559,486"
Chinchind,Caldas,346,839.818,144,608.545,70,528.737,560,"1.977,100"
Filandia,Caldas,347,402.605,154,381.452,90,298.336,591,1.082.393
Génova,Caldas,124,416.682,95,431.261,10,204.146,229,"1.052,089"
La Dorada .,Caldas,370,"2,145.744",549,4.937.460,54,329.550,973,7.412.754
La Virginia,Caldas,189,611.352,83,259.227,3,19.811,275,"890,390"
Manzanares,Caldas,930,"1,632.677",430,"1,327,292",51,358.920,"1,411","3,318.889"
"Marsella,",Caldas,255,561.152,128,"280,203",49,242.717,432,"1.084,072"
Montenegro.,Caldas,212,674.850,103,549.347,50,452.076,365,1.676.273
Neira,Caldas,163,227.943,102,232.115,23,212.139,288,672.197
Pácora..,Caldas,551,862.522,248,882.086,44,225.941,843,"1,970.549"
Pensilvania,Caldas,804,"1,354,011",466,939.572,46,296.013,1.316,2.589.596
Pereira,Caldas,653,2.345.235,532,5.104.447,166,980.308,1.351,"8,429.990"
Pijao.,Caldas,139,1.250.000,82,575.630,21,121.357,242,1.946.987
Quimbaya,Caldas,458,1.132.078,117,"507,273",63,"421,041",638,"2,060,392"
Quinchfa,Caldas,434,351.783,134,195.351,25,235.906,593,783.040
"Riosucio,",Caldas,733,553.605,223,"660,695",191,867.153,1•.147.,2.081.453
Salamina,Caldas,515,"1,247,241",255,999.424,65,239.141,835,"2,485,806"
Samana . . . . .,Caldas,447,689.583,133,321.103,16,83.145,596,1.093.831
Santa Rosa de Cabal,Caldas,450,742.482,428,892.599,167,639.730,1.045,"2.274,811"
Santuario,Caldas,90,176.208,26,101.639,4,20.500,120,298.347
Viterbo..,Caldas,134,"406,270",29,"230,905",30,244.926,193,882.101
Popayán.,Cauca,1.001,1.902.973,923,6.747.275,344,"2,036.146",2.268,10.686.394
Almaguer,Cauca,315,491.789,161,445.880,0,0,476,937.669
Bolivar..,Cauca,606,"814,716",194,527.510,7,11.638,807,1.353.864
Caloto,Cauca,739,890.385,176,884.250,103 ,354.884,1.018,2.129.519
Corinto..,Cauca,318,439.514,207,585.436,39,212.404,564,1.237.354
El Tambo,Cauca,886,906.842,426,1.146.889,87,261.533,1.399,2.315.264
Gua pf,Cauca,21,17.505,0,0,0,0,21,"17,505"
Mercaderes,Cauca,288,548.746,184,726.599,10,36.524,482,1.311.869
Miranda,Cauca,196,404.517,77,"444,389",50,"208,210",323,"1,057.116"
Pãez,Cauca,333,290.298,313,566.350,3,"7,100",649,863.748
Patía.,Cauca,465,972.026,314,1.533.436,22,70.162,801,"2.575,624"
Piendamo,Cauca,"1,135","1.028,815",262,745.941,194,657.506,1.591,2.432.262
Puerto Tejada.,Cauca,262,434.088,90,530.844,44,153.910,396,"1,118.842"
Santander,Cauca,803,1.097.778,262,"1.173,578",106,316.253,1.171,2.587.609
Timbio.,Cauca,777,826.308,246,614.870,207,751.310,1.230,2.192.488
Monteria,Cordoba,707,"3,429.157",605,"9.158,761",24,448.478,"1,336",13.036.396
Ayapel,Cordoba,395,1.445.442,171,"1.830,524",0,0,566,3.275.966
Cerete,Cordoba,697,2.910.420,443,4.000.525,10,258.888,1.150,7.169.833
Cienaga de Oro,Cordoba,424,973.429,261,1.585.211,0,0,685,"2.558,640"
ChinG,Cordoba,746,"1,109.622",275,1.600.969,3,"78,935","1,024",2.789.526
Lorica,Cordoba,1.452,3.034.737,586,"5,152.519",42,271.028,"2,080",8.458.284
"Montelibano,",Cordoba,387,1.596.368,185,2.202.566,4,17.061,576,"3,815.995"
Planeta Rica,Cordoba,618,1.307.528,322,3.012.013,4,"46,654",944,4.366.195
Pueblonuevo,Cordoba,471,1.068.207,233,"1,803.146",25,89.096,729,2.960.449
Sahagún,Cordoba,964,1.706.703,464,"4.829,581",19,332.216,"1,447",6.868.500
San Andres,Cordoba,698,808.692,149,"1,009.143",7,20.501,854,1.838.336
San Bernardo,Cordoba,"1,087","1,948.364",184,1.343.986,2,48.000,"1,273",3.340.350
"San Pelayo.,",Cordoba,438,1.265.066,266,"2,031.870",2,66.640,706,3.363.576
Tierralta,Cordoba,"1,435",2.899.683,413,2.450.990,1,2.766,"1,849",5.353.439
Bogota,Cundinamarca,0,0,0,0,0,0,0,0
Anolaima,Cundinamarca,458,623.187,128,199.796,120,501.773,706,1.324.756
Arbelãez,Cundinamarca,425,700.060,68,173.734,73,289.662,566,"1.163,456"
Cabrera.,Cundinamarca,370,532.536,1.026,1.457.150,48,277.607,1 .444,2.267.293
Cachipay,Cundinamarca,250,519.476,74,212.196,58,247.812,382,. 979.484
Cáqueza.,Cundinamarca,1.436,• 2.366.254,160,"517,727",78,354.218,1.674,3.238.199
Chía,Cundinamarca,437,2.259.226,135,"947,229",57,248.696,629,3.455.151
Chocontá,Cundinamarca,"1,209",2.575.440,225,699.496,96,373.634,1.530,"3,648.570"
El Colegio,Cundinamarca,428,596.023,95,217.713,65,"163,207",588,976.943
"Facatativa,",Cundinamarca,693,2.263.006,242,1.580.637,163,955.385,1.098,"4.799,028"
Fomeque..,Cundinamarca,535,1.332.207,207,624.146,125,665.733,867,2.622.086
Fusagasugá,Cundinamarca,924,"1.877,190",554,1.606.742,509,1.741.991,1.987,5.225.923
Gachals,Cundinamarca,1.051,2.035.435,428,947.307,19,93.044,1.498,3.075.786
Gacheta,Cundinamarca,"1,249",1.738.279,651,918.104,84,"198,834",1.984,2.855.217
Girardot.,Cundinamarca,335,"1,918.841",294,3.570.673,60,2.586.478,689,"8.075,992"
Guaduas,Cundinamarca,391,568.710,135,509.544,82,401.410,608,"1,479.664"
Guasca,Cundinamarca,498,994.914,101,269.591,32,"116,088",631,1.380.593
Guayabal de Síqui1,Cundinamarca,170,334.255,28,56.614,48,169.697,246,560.566
La Calera.,Cundinamarca,730,2.867.704,108,539.847,116,609.720,954,"4.017,271"
La Mesa,Cundinamarca,928,1.676.450,120,770.542,101,487.758,1.149,2.934.750
La Palma,Cundinamarca,675,"1,048.720",304,1 436.087,73,487.197,1.052,2.972.004
La Peña,Cundinamarca,398,435.230,71,221.841,19,114.014,488,771.085
La Vega,Cundinamarca,430,1.013.489,112,"331,797",42,227.776,584,1.573.062
Machota,Cundinamarca,798,1.483.050,96,314.740,8,28.912,902,1.826.702
Medina,Cundinamarca,351,1.026.530,593,1.059.995,2,6.447,946,"2,092.972"
Nocaima,Cundinamarca,177,269.643,75,227.641,34,188.626,286,685.910
Pacho,Cundinamarca,772,"955,246",641,2.366.523,140,1.043.525,1.553,4.365.294
Pasca,Cundinamarca,472,"1,350.473",323,528.253,51,398.157,846,"2,276.883"
Quipile,Cundinamarca,370,651.948,67,112.860,42,185.361,479,950.169
San Bernardo,Cundinamarca,425,1.037.598,171,257.480,34,157.462,630,"1.452,540"
San Francisco,Cundinamarca,383,871.451,178,741.045,87,333.865,648,1.946.361
"San Juan de Rioseco,",Cundinamarca,834,1.651.655,121,606.494,68,384.506,1.023,2.642.655
Sasaima,Cundinamarca,350,552.959,154,"341,189",90,367.743,594,1.261.891
Soa cha,Cundinamarca,465,"1,059.162",137,492.330,60,164.916,662,1.716.408
Sop,Cundinamarca,82,203.161,74,320.669,42,179.780,198,703.610
Suba choque,Cundinamarca,422,"1,600,390",84,440.722,13,50.309,519,"2,091.421"
Tocaima,Cundinamarca,298,905.277,83,628.890,15,148.463,396,1.682.630
Ubaté,Cundinamarca,776,"1,497,199",233,2.223.391,98,367.980,1.107,4.088.570
Une,Cundinamarca,322,713.250,44,210.785,56,236.792,422,1.160.827
Utica.,Cundinamarca,151,288.151,84,374.903,7,78.503,242,741.557
Vergara,Cundinamarca,534,1.137.553,92,344.552,35,168.845,661,1.650.950
Villeta,Cundinamarca,317,"531,348",99,444.635,89,397.219,505,1.373.202
Viota.,Cundinamarca,625,"1,818,303",106,520.322,111,687.807,842,3.026.432
"Zipaquira,",Cundinamarca,513,"1,925.634",142,1.164.741,78,334.218,733,3.424.593
Quibdo,Choco,240,77.775,12,17.250,0,0,252,95.025
Carmen de Atrato,Choco,189,"302,799",120,252.355,31,171.456,340,726.610
Neiva..,Huila,1.610,8.143.359,"1,845",10.722.933,361,2.941.684,3.816,21.807.976
Acevedo,Huila,632,"720,741",223,300.174,33,125.353,888,1.146.268
Algeciras,Huila,389,"704,962",227,632.575,25,155.343,641,"1,492,880"
Baraya,Huila,363,773.768,665,"1,931.740",27,236.978,1.055,2.942.486
Campo Alegre,Huila,301,"1.656,340",158,1.248.981,47,175.309,506,"3.080,630"
Carnicerías..,Huila,426,906.716,245,856.087,16,159.434,687,1.922.237
Garzón,Huila,625,1.054.099,791,3.036.959,113,865.408,1.529,4.956.466
Gigante,Huila,524,860.333,358,1.131.799,50,227.752,932,2.219.884
Guadalupe.,Huila,401,496.769,271,766.401,16,121.390,688,1.384.560
Lo Plata ..,Huila,458,1.208.980,376,"1.430,284",37,182.914,871,2.822.178
Palermo.,Huila,303,791.778,454,1.533.626,57,355.652,814,2.681.056
Pitalito,Huila,666,1.105.160,461,1.371.663,37,160.873,1.164,2.637.696
San Agustin,Huila,319,574.599,116,271.602,10,39.755,445,885.956
San José de Isnoa,Huila,193,341.605,86,172.423,1,4.000,280,518.028
Tarqui,Huila,472,978.287,162,585.983,6,37.205,640,1.601.475
Tello,Huila,298,822.999,334,810.127,29,199.790,661,1.832.916
Teruel,Huila,213,"526,145",88,316.937,22,82.356,323,925.438
Timana,Huila,567,1.043.764,263,670.591,16,75.667,846,1.790.022
Yaguara,Huila,134,723.455,178,1.490.953,6,57.214,318,2.271.622
Santa Marta.,Magdalena,583,"2.920,982",389,4.727.955,48,240.872,"1,020","7.889,809"
A guachi ca,Magdalena,961,3.077.961,374,2.496.227,135,567.476,1.470,6.141.664
Ciénaga,Magdalena,383,981.777,157,"1,219,348",10,108.087,550,2.309.212
Codazzi,Magdalena,316,"2.997,707",243,4.205.982,14,135.246,573,7.338.935
Chiriguaná,Magdalena,398,844.147,257,1.570.529,2,8.760,657,2.423.436
El Banco..,Magdalena,394,1.692.299,598,4.626.637,22,78.176,1.014,6.397.112
Fundación,Magdalena,711,"3,543.659",573,"7.932,793",51,310.307,1.335,"11,786.759"
Guamal,Magdalena,746,1.592.150,519,2.136.118,19,"57,513",1.284,3.785.781
Pivijay,Magdalena,883,2.300.260,316,3.099.212,12,42.047,1.211,5.441.519
Plato ..,Magdalena,341,1.085.667,623,5.040.465,32,146.967,996,"6.273,099"
Robles,Magdalena,429,1.603.494,370,"2.846,015",29,213.007,828,4.662.516
Santa Ana .,Magdalena,493,1.188.145,382,2.596.572,1,10.000,876,3.794.717
Tamalameque,Magdalena,262,911.570,238,"1.842,403",30,139.599,530,2.893.572
Velledupar,Magdalena,1.176,7.646.795,828,10.014.883,24,"320,922","2,028",17.982.600
Villavicencio.,Meta,1.211,4.667.778,1.263,8.995.745,133,1.421.748,2.607,15.085.271
Avichure,Meta,127,"227,250",237,1.076.161,73,218.076,437,1.521.487
Canaguaro,Meta,342,626.799,358,914.569,0,0,700,1.541.368
Acacías,Meta,416,991.620,561,"1,989.057",43,138.823,1.020,3.119.500
Cumaral..,Meta,382,1.336.006,326,1.364.392,7,30.276,715,2.730.674
Granada,Meta,293,745.703,533,890.625,20,85.255,846,1.721.583
Guamal,Meta,457,979.611,849,978.797,55,276.493,1.361,2.234.901
Puerto L6pez,Meta,723,1.796.250,237,"1,129,253",0,0,960,2.925.503
"Restrepo.,",Meta,496,"1,157.492",840,"2.078,746",18,132.289,"1,354",3.368.527
San Martin,Meta,267,1.012.184,743,"2.307,486",11,95.257,"1,021",3.414.927
Pasto,Nariño,1.918,3.642.083,1.165,3.811.986,289,"1,245.932",3.372,"8.700,001"
Contadero,Nariño,930,"2,187,247",186,"315,599",26,184.901,1.142,"2,687,747"
El Tambo.,Nariño,461,559.405,429,"889,865",39,149.626,929,"1,598.896"
Guaitarilla,Nariño,832,1.436.140,197,268.011,9,50.280,"1,038",1.754.431
Ipialea.,Nariño,1.277,"3,787.269",492,2.134.534,45,201.690,1.814,6.123.493
La Cruz,Nariño,825,1.466.130,230,610.767,11,"58,759",1.066,2.135.656
La Unión,Nariño,541,787.151,248,602.720,80,194.253,869,1.584.124
Samaniego,Nariño,1.278,"1,802.907",485,878.212,15,58.119,1.778,2.739.238
Sandoná,Nariño,916,1.525.742,307,594.876,52,"191,454",1.275,2.312.072
San Lorenzo.,Nariño,301,367.412,212,484.959,23,85.900,536,938.271
Tumaco,Nariño,1.160,551.690,240,475.368,3,5.656,1.403,"1.032,714"
Túquerres,Nariño,1.039,2.173.673,432,1.298.160,65,451.205,1.536,3.923.038
Cucuta,Norte de Santander,942,4.648.659,839,"8.276,917",81,1.135.133,"1,862","14,060.709"
"Arboledas,",Norte de Santander,571,852.738,179,"393,801",45,101.976,795,1.348.515
Cáchira,Norte de Santander,948,1.442.669,200,369.090,18,75.663,1.166,1.887.422
Convención,Norte de Santander,348,589.455,200,875.795,67,335.374,615,1.800.624
Chinácota,Norte de Santander,307,674.292,170,746.782,29,261.152,506,1.682.226
Chitagá,Norte de Santander,462,"1,058.123",81,339.248,10,22.838,553,"1,420,209"
Durania,Norte de Santander,414,1.653.009,137,623.207,31,234.585,582,2.510.801
Gramalote,Norte de Santander,581,984.067,201,626.324,45,241.284,827,1.851.675
Ocaña,Norte de Santander,1.447,3.958.811,355,3.362.253,26,102.527,1.828,7.423.591
Pamplona.,Norte de Santander,1.237,2.994.298,331,"1.859,202",47,179.417,1.615,5.032.917
Salazar de las Palmat,Norte de Santander,307,507.677,101,411.800,27,125.584,435,1.045.061
Sardinata,Norte de Santander,626,1.227.150,161,377.380,15,84.522,802,1.689.052
Toledo,Norte de Santander,966,1.097.413,278,"630,603",16,67.844,1.260,1.795.860
Tunebia,Norte de Santander,160,314.545,315,1.119.467,5,23.744,480,1.457.756
Bucaramanga,Santander,"1,825",9.520.301,1.291,14.067.134,127,1.435.606,"3,243","25.023,041"
Barichara,Santander,294,401.665,82,219.141,31,128.577,407,749.383
Barrancabermeja,Santander,823,1.798.967,466,3.695.928,8,46.900,"1,297",5.541.795
Bolivar,Santander,667,1.176.388,346,656.392,9,28.780,1.022,1.861.560
"Cimitarra,",Santander,580,"1,000,308",586,1.967.321,73,327.554,1.239,"3.295,183"
Concepción,Santander,1.414,2.096.337,254,896.355,36,263.365,1.704,3.256.057
Charala,Santander,953,1.547.337,288,1.159.241,30,199.657,1.271,2.906.235
Gambita,Santander,482,813.390,221,564.833,5,88.580,708,1.466.803
Guopsa,Santander,699,1.294.696,154,839.606,63,418.678,916,2.552.980
Lebrija,Santander,576,"1,441.287",228,751.442,18,103.616,822,2.296.345
Málaga,Santander,"1,889",2.043.866,331,836.311,80,525.693,2.300,3.405.870
Matanza,Santander,577,632.460,160,315.584,17,104.810,754,1.052.854
Oiba,Santander,380,760.615,137,1.110.133,29,265.489,546,2.136.237
Onzaga,Santander,575,744.480,145,374.561,4,34.000,724,1.153.041
Piedecuesta.,Santander,981,"1,441.697",123,424.554,22,206.282,1.126,2.072.533
Puente Nacional,Santander,773,1.006.353,511,1.059.337,173,876.054,1.457,2.941.744
Puerto Wilches,Santander,676,"2,009.806",203,1.155.348,4,22.108,883,3.187.262
Rionegro..,Santander,819,1.931.126,393,1.736.176,46,418.765,1.258,4.086.067
Sabana de Torres,Santander,298,853.666,81,407.159,10,58.446,389,1.319.271
San Andrés,Santander,1.061,1.286.430,754,1.142.387,13,97.114,1.828,2.525.931
San Gil,Santander,1.339,2.400.554,288,1.351.557,64,498.894,1.691,4.251.005
San Vicente,Santander,894,2.180.342,577,2.520.841,82,"1,001.220",1.553,5.702.403
Socorro,Santander,673,1.837.850,404,4.609.355,65,711.915,1.142,7.159.120
Suaita,Santander,996,1.696.790,459,2.174.553,66,632.885,1.521,4.504.228
Sucre,Santander,529,"861,036",734,1.687.474,7,14.865,1.270,2.563.375
Surata,Santander,205,244.150,159,258.608,9,62.390,373,565.148
Tona,Santander,795,1.304.140,288,797.362,27,213.599,1.110,2.315.101
Véloz,Santander,461,893.516,500,1.349.825,41,194.558,1.002,2.437.899
Zapatoca..,Santander,189,418.652,149,837.145,35,"160,920",373,"1,416.717"
Ibagué,Tolima,826,2.240.180,1.108,8.280.694,322,2.268.007,2.256,12.788.881
Alpujarra.,Tolima,150,447.225,118,"480,384",1,8.338,269,935.947
Anzoategui,Tolima,222,533.140,207,797.918,12,97.441,441,1.428.499
Armero,Tolima,230,1.561.033,169,1.744.384,52,1.033.362,451,4.338.779
Ataco,Tolima,240,797.501,375,"1,023.459",3,10.268,618,1.831.228
Cajamarca,Tolima,297,472.319,173,831.194,57,473.397,527,1.776.910
Casabianca,Tolima,347,393.271,140,172.874,20,73.197,507,639.342
Cunday,Tolima,233,581.099,417,1.112.080,47,394.158,697,2.087.337
Chaparral,Tolima,"1,605",3.405.280,"3,021","7.861,744",74,517.858,4.700,"11.784,882"
Dolores,Tolima,182,396.700,146,373.370,6,14.210,334,784.280
Es pinal,Tolima,967,3.401.505,314,2.589.058,350,"4,805.102",1.631,10.795.665
Falan,Tolima,160,164.729,71,134.601,26,109.935,257,409.265
Fresno,Tolima,401,581.951,182,490.157,65,281.639,648,1.353.747
Guamo,Tolima,"1,861",3.579.117,335,1.903.702,200,1.813.611,2.396,7.296.430
Herveo,Tolima,235,379.350,173,246.795,25,119.148,433,745.293
Honda,Tolima,124,758.899,104,1.243.103,22,239.651,250,2.241.653
Icononzo.,Tolima,668,1.631.202,288,878.855,58,278.257,1.014,2.788.314
Lerida,Tolima,104,"659,811",66,419.692,8,89.200,178,1.168.703
Libano,Tolima,913,1.709.646,749,"2,300.549",198,"1.430,321","1,860",5.440.516
Mariquita,Tolima,126,314.188,26,122.157,12,76.874,164,513.219
Melgar,Tolima,194,643.832,195,1.465.434,17,196.530,406,2.305.796
Natagaima,Tolima,648,"1.843,330",221,1.148.187,12,"60,041",881,3.051 .558
"Ortega,",Tolima,570,1.107.597,408,1.781.174,8,42.694,986,2.931.465
Planadas..,Tolima,356,981.959,765,1.566.234,50,348.811,1.171,2.897.004
"Purificación,,",Tolima,1.012,2.908.997,921,"3.903,265",162,4.151.629,2.095,10.963.891
Roncesvalles,Tolima,88,225.332,225,740.740,10,140.012,323,"1.106,084"
Rovira,Tolima,706,1.280.921,923,2.362.105,46,281.265,1.675,3.924.291
San Antonio,Tolima,393,"762,099",263,992.059,16,"218,035",672,"1,972.193"
