Oficina,Departamento,CP - Numero,CP - Valor,MP - Numero,MP - Valor,T - Numero,T - Valor
MEDELLIN.,Antioquia,"1, 798",2. 900. 272,2. 066,"12, 126. 714",3. 864,15. 026. 986
Abejorral,Antioquia,302,423. 190,82,182. 655,384,605. 845
Amalfi.,Antioquia,660,1:061.974,273,851. 167,933,"•1,913. 141"
Andes,Antioquia,349,967. 070,298,1.474. 859,647,"2,441, 929"
Antioquia,Antioquia,336,294515,41,138. 789,377,433. 304
Betulia,Antioquia,194,452.610,61,362. 751,255,815. 361
Bolívar,Antioquia,289,"1,149. 741",238,2. 018.681,527,3.168.422
Cañasgordas,Antioquia,654,"642, 547",357,822. 044,1.011,1.464..591
Cisneros,Antioquia,303,168. 168,108,372. 080,411,540.248
Concordia,Antioquia,180,466. 030,59,"391, 253",239,857. 283
Fredonia,Antioquia,727,2. 161.813,138.,"1,029. 825",865,3.191.638
Frontino,Antioquia,544,•688. 118,484,1. 360. 893,1. 028,2. 049.011
Granada,Antioquia,820,510.601,336,471. 596,1.156,982. 197
Ituango,Antioquia,687,879. 870,164,477.681,851,"1.357, 551"
Jardin,Antioquia,140,225.640,194,693. 324,334,918. 964
Jerico,Antioquia,282,861.035,151,635. 163,433,1.496. 198
La Ceja,Antioquia,282,389. 980,387,1.133.591,669,1.523. 571
Liborina,Antioquia,435,430. 091,181,545. 346,616,975. 437
Marinilla,Antioquia,475,"336, 806",232,308. 105,707,644.911
Remedios,Antioquia,96,155. 931,113,349.853,209,505. 784
Rionegro,Antioquia,369,214 989,291,563. 073,660,778. 062
Salgar,Antioquia,129,510.250,127•,1. 075.912,256,1586. 162
San Roque,Antioquia,210,106.320,134,369. 499,344,475.819
Santa Bárbara,Antioquia,188,"372, 067",83,307.635,271,679.702
Santa Rosa de Osos,Antioquia,142,150. 463,427,"1.048, 770",569,1. 199.233
Santuario,Antioquia,580,391. 860,324,262. 754,904,654.614
Sonsón,Antioquia,627,"542, 377",81,164.599,708,706.976
Sopetrán.,Antioquia,580,457. 407,193,782. 760,773,"1.240, 167"
Támesis,Antioquia,617,950.474,199,585.846,816,1 436. 320
Turbo,Antioquia,230,181.488,185,536.408,415,717.896
Urrao,Antioquia,316,431570,202,680.632,518,1.112. 202
Yarumal,Antioquia,781,772. 543,492,1.815.188,1.273,2. 587. 731
Yolombo,Antioquia,331,543. 373,104,816.239,435,1. 359.612
BARRANQUILLA,Atlantico,1. 161,2. 239.378,553,3.840. 378,1.714,"6, 079.756"
Sabanalarga..,Atlantico,1. 086,604. 356,290,891. 535,1. 376,"1, 495.891"
CARTAGENA,Bolivar,1. 025,1.432.907,757,4. 865. 088,"1, 782","6, 297. 995"
Calamar,Bolivar,397,552. 052,276,1. 288.447,673,"1, 840. 499"
Corozal,Bolivar,154,264. 460,452,"1, 994.694",606,2.259. 154
El Carmen,Bolivar,142,267 017,339,1.853. 729,481,2. 110.746
Magangué,Bolivar,422,574.694,502,2. 171.863,924,"2. 750,557"
María La Baja,Bolivar,295,235. 230,185,767. 788,480,1.004. 018
Mompós..,Bolivar,209,741.607,588,"2. 282, 132",797,3. 023. 739
Ovejas,Bolivar,81,173.730,158,646.608,239,826. 338
San Juan Nepomuceno.,Bolivar,•209,187.745,263,1. 057.636,472,"1,245.381"
San Marcos..,Bolivar,190,314.593,258,1.604. 354,448,1.918. 947
San Onofre,Bolivar,304,290.295,235,893. 938,539,1. 184.233
Sincé,Bolivar,381,549. 132,509,1.498. 966,890,2. 048. 098
Sincelejo,Bolivar,701,1.516.890,559,3. 846.455,1.260,"5. 363, 345"
Sucre,Bolivar,90,183.117,252,844.014,342.,1.027.131
TUNJA,Boyaca,"1, 561",2. 134. 246,581,"2. 898,940",2. 142,5. 033. 186
Chiquinquira,Boyaca,"1, 527",1.933. 878,484,1. 342. 147,2. 011,3. 276. 025
Duitama..,Boyaca,925,1. 106. 750,193,803. 155,"1, 118","1, 909.905"
El Cocuy,Boyaca,990,944. 516,366,l. 004. 578,1. 356,1. 949. 094
El Espino,Boyaca,676,503. 259,84,197. 542,760,700. 801
Garagoa,Boyaca,"1, 203",1. 302. 766,370,804. 078,1.573,2. 106. 844
Guateque,Boyaca,1. 061,844. 320,135,277.453,1. 196,"1, 121. 773"
Guayatá,Boyaca,962,916.105,67,124.951,1. 029,1.041. 056
La Uvita,Boyaca,944,919. 437,162,305.819,1.106,1. 225. 256
Leiva,Boyaca,735,"631,691",183,437. 058,918,1. 068. 749
Miraflores,Boyaca,825,1. 124. 965,1.652,2. 125.203,"2, 477","3, 250. 168"
Moniquirá,Boyaca,1. 059,969. 023,219,640. 025,1.278,1.609. 048
Orocué,Boyaca,57,75.073,158,229.716,215,304.789
