Oficina,Departamento,CP - Numero,CP - Valor,MP - Numero,MP - Valor,T - Numero,T - Valor
Chinchina,Caldas,139,190.550.58,30,81.012.90,169,271.563.48
Filandia..,Caldas,431,391.960.00,172,216.930.53,603,608.890.53
La Dorada,Caldas,224,665.786.47,430,2.752.560.66,654,3.418.347.13
Manzanares,Caldas,1.428,"2,188.812.82",308,691.056.87,1.736,2.879.869.69
Marsella,Caldas,345,595.922.10,141,271.020.72,486,866.942.82
Pácora,Caldas,325,521.410.00,80,253.958.64,405,775.368.64
Palestina,Caldas,55,150.760.00,15,"100.683,22",70,251.443.22
Pensilvania.,Caldas,966,1.126.456.96,472,619.141.59,1.438,1.745.598.55
Pereira,Caldas,661,1.354.334.67,569,3.400.322.08,1230,4.754.656.75
Pijao,Caldas,117,434.260.00,48,286.406.67,165,720.666.67
Riosucio,Caldas,1.704,866.693.19,133,285.030.04,1.837,1.151.723.23
Salamina,Caldas,589,668.940.07,347,861.357.13,936,1.530.297.20
Santa Rosa de Cabal,Caldas,609,740.183.00,529,1.203.656.09,1.138,1.943.839.09
Santuario,Caldas,459,918.820.00,185,501.547.62,644,1.420.367.62
"POPAYAN.,",Cauca,1.448,"1,590.713.00",466,2.717.680.01,1.914,4.308.393.01
Bolivar,Cauca,1.219,1.492.532.43,518,776.840.08,1.737,2.269.372.51
Caloto,Cauca,493,613.099.08,284,798.705.56,777,1.411.804.64
El Tambo,Cauca,915,478.460.00,184,298.249.34,1.099,776.709.34
Puerto Tejada,Cauca,223,330.965.77,106,490.283.54,• 329,821.249.31
Santander,Cauca,649,739.043.89,211,528.123.68,860,1.267.167.57
Timbio,Cauca,706,481.942.59,148,247.483.59,854,729.426.18
MONTERIA,Cordoba,537,1.375.674.54,278,2.316.900.21,815,3.692.574.75
Ayapel,Cordoba,422,792.578.83,322,1.720.760.84,744,2.513.339.67
Cereté,Cordoba,351,1.107.550.00,283,1.746.540.50,634,2.854.090.50
Ciénaga de Oro,Cordoba,139,207.325.00,119,467.668.70,258,674.993.70
Lorica,Cordoba,1.057,1.142.954.28,526,2.284.710.61,1.583,3.427.664.89
Sahagún.,Cordoba,525,557.340.00,494,"2.161.807,55",1.019,2.719.147.55
Tierralta,Cordoba,279,353.452.31,156,"688.517,00",435,1.041.969.31
BOGOTA,Cundinamarca,1.052,4.795.378.66,1.736,16.812.312.22,2.788,21.607.690.88
Anolaima,Cundinamarca,802,972.365.00,392,933.515.08,1.194,1.905.880.08
Arbelaez,Cundinamarca,714,747.555.53,216,475.799.55,930,1.223.355.08
Cáqueza,Cundinamarca,748,844.257.56,133,214.357.83,881,1.058.615.39
Chía,Cundinamarca,220,415.075.00,102,344.162.81,322,759.237.81
Chocontá,Cundinamarca,2.012,2.024.155.00,145,478.551.33,2.157,2.502.706.33
El Colegio,Cundinamarca,652,551.755.00,150,465.453.21,802,1.017.208.21
Facatativa,Cundinamarca,792,1.270.658.54,188,947.824.59,980,2.218.483.13
Fomeque,Cundinamarca,560,650.385.50,310,530.508.58,870,1.180.894.08
Fusagasugá,Cundinamarca,776,836.427.17,676,1.175.663.77,1.452•,2.012.090.94
Gachalá,Cundinamarca,676,628.014.67,103,200.532.87,779,828.547.54
Gacheta,Cundinamarca,1.555,"1.326.432,76",274,467.854.62,1.829,1.794.287.38
Girardot,Cundinamarca,424,811.828.05,251,1.672.373.36,675,2.484.201.41
Guaduas,Cundinamarca,295,305.920.00,106,348.906.47,401,654.826.47
Guasca,Cundinamarca,263,292.337.00,67,193.034.82,330,485.371.82
Guatavita,Cundinamarca,495,549.345.62,68,136.920.72,563,686.266.34
La Calera,Cundinamarca,275,419.709.00,189,520.418.03,464,940.127.03
La Mesa,Cundinamarca,792,914.452.68,174,781.348.92,966,1.695.801.60
La Palma,Cundinamarca,733,543.234.20,206,596.818.47,939,1.140.052.67
La Peña,Cundinamarca,279,215.674.52,46,"145.072,85",325,360.747.37
Medina,Cundinamarca,478,"699.608, 11",771,477.001.18,1.249,1.176.609.29
Nocaima,Cundinamarca,248,254.352.12,51,182.227.72,299,436.579.84
Pacho,Cundinamarca,1.077,1.111.356.65,236,886.560.35,1.313,1.997.917.00
