Oficina,Departamento,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
"Medellin.,",Antioquia,1760,"3,846.063",1.816,12.795.958,505,3.099.169,4.081,19.741.190
Abejorral.,Antioquia,379,520.490,127,257,13,114400,519,891.659
Amalfi,Antioquia,346,644.155,177,628.578,1,8400,524,"1,281.133"
Andes,Antioquia,351,940.028,184,817,130,"718,07",665,2.474.745
Betulla,Antioquia,215,563.937,67,307.762,14,"139,031",296,1.010.730
Bolivar,Antioquia,273,"1,136.331",159,775,63,569.915,495,2.480.867
Caßasgordas.,Antioquia,418,463.913,246,415.359,35,211.708,699,1.090.980
"Caucasia,.",Antioquia,155,387.030,100,"1.109,62",1,4.048,256,"1,500,698"
Cisneros,Antioquia,343,"200,6",121,344.738,37,"122,085",501,667.423
Concordia.,Antioquia,181,573.985,58,237.474,25,146.799,264,958.258
"Chigorodb,",Antioquia,62,71.280,46,201,0,0,108,272.604
Dabeiba,Antioquia,310,547.133,200,665.222,3,"25,734",513,"1,238.089"
Fredonia,Antioquia,892,"2,854.075",212,"1,238,551",120,406.594,1.224,4.499.220
Frontino.,Antioquia,367,390.825,215,507.431,24,167.238,606,"1.065,49"
Granada,Antioquia,565,364.282,280,230.035,6,16.691,851,"611,008"
Ituango,Antioquia,624,955.385,132,533.852,4,30.900,760,"1.520,14"
Jardin.,Antioquia,158,303.115,203,659.400,57,"250,726",418,"1.213,24"
Jerico.,Antioquia,334,"1,059.260",137,514.293,57,196.825,528,1.770.378
La Ceja,Antioquia,309,662.659,356,732,79,369.527,744,1.764.502
Liborina.,Antioquia,466,"482,747",164,414.614,59,"227,449",689,1.124.810
Marinilla,Antioquia,510,390.477,359,363,130,386.681,999,1.140.385
Puerto Berrio,Antioquia,44,177,129,798.763,0,0,173,975.763
Remedios.,Antioquia,193,301.715,222,857.680,5,25.593,420,1.184.988
Rionegro..,Antioquia,392,256.478,384,483.724,61,212.180,837,952.382
Salgar..,Antioquia,108,"543,59",106,547.843,41,"413,868",255,1.505.301
San Carlos,Antioquia,308,421.990,307,586.232,1,3.228,616,"1,011.450"
San Roque,Antioquia,307,190.734,186,455.785,29,77.260,522,723.779
Santa Barbara,Antioquia,308,604.034,83,247.705,50,"212,973",441,1.064.712
Santa Fe de Antioquia,Antioquia,371,332.885,88,213.302,24,85.405,483,631.592
Santa Rosa de Osos,Antioquia,98,129.231,431,1.376.696,12,55.877,541,1.561.804
"Santuario,.",Antioquia,560,"542,788",371,350.864,55,122.914,986,"1.016,57"
Sonsón,Antioquia,672,651.585,72,169.502,128,311.768,872,"1.132,86"
"Sopetrán,.",Antioquia,613,530.060,175,"509,905",85,"423,151",873,1.463.116
"Tamesis,,",Antioquia,552,798.404,149,"489,004",105,"409,97",806,"1.697,38"
Turbo,Antioquia,284,357.630,183,887.296,0,0,467,1.244.926
Urrao,Antioquia,376,471.623,300,759.312,94,318.065,770,1.549.000
Yarumal,Antioquia,808,"860,523",433,1.759.761,129,718.644,1.370,3.338.928
Yolombo,Antioquia,281,"325,195",112,706.115,6,16.547,399,1.047.857
Barranquilla,Atlantico,1.424,"5.089.457,00",533,5.315.625,122,728.465,2.079,11.133.547
Sabanalarga,Atlantico,1.287,778.207,351,"1,361.254",22,"124,924",1.660,2.264.385
Cartagena,Bolivar,1.423,"3,229.664",897,"7.655,57",112,"1.158,02","2,432","12,043,252"
Calamar.,Bolivar,881,"1,174,668",246,"1,355,707",3,32.000,1.130,"2.562,38"
Corozal,Bolivar,141,249520,359,1.764.710,90,414.278,590,2.428.508
El Carmen,Bolivar,242,"352,664",298,"1,622, 342",129,943.064,669,2.918.070
Magangue.,Bolivar,489,966.690,546,3.360.754,22,169.844,"1,057","4.497,29"
Maja gual..,Bolivar,122,304.047,143,685.999,0,0,265,"990,046"
Marla La Baja,Bolivar,254,258.444,179,"664,542",12,101.705,445,1.024.691
Momp6s,Bolivar,219,"891,904",564,"2.994,28",16,90.192,799,3.976.373
Ovejas,Bolivar,144,278.415,190,"724,619",28,181.030,362,1.184.064
San Juan Nepomuceno,Bolivar,411,330.140,330,"1,238,468",55,299.138,796,1.867.746
San Onofre,Bolivar,758,864.440,296,1.270.306,1,35.000,1.055,2.169.746
Since..,Bolivar,403,"895,29",482,"1,801,489",71,311.822,956,"3,008,601"
Sinceléjo,Bolivar,906,1.754.075,452,4.037.070,40,499.721,1.398,"6.290,87"
Sucre,Bolivar,77,387650,190,755.665,1,16.000,268,"1159,315"
Tunja,Boyaca,1.944,3.456.994,349,2.061.058,560,2.314.314,2.853,7.832.366
Chiquinquira,Boyaca,1.417,2.287.425,523,1.317.684,117,571.997,2.057,4.177.106
Duitama,Boyaca,824,"1.217,33",191,9.689.371,116,475.280,"1,131",2.661.545
El Cocuy,Boyaca,493,569.171,257,595.522,42,273.008,792,1.437.701
El Espino,Boyaca,849,654.134,123,218.760,28,124.709,1.000,997.603
Garagoa,Boyaca,1.313,1.699.716,294,771.845,102,367.856,"1,709",2.839.417
Guateque,Boyaca,1.305,1.189.425,159,459.828,61,225.477,"1,525","1,874.730"
Guayatá,Boyaca,955,"1,145,285",123,240.945,11,"32,201",1.089,1.418.431
La Uvita.,Boyaca,1.047,1.133.126,219,402.908,10,"53,149","1,276",1.589.183
Leiva,Boyaca,1.089,"1.115,15",110,280.288,129,366.966,1.328,1.762.405
Miraflores,Boyaca,"1,288",2.274.212,"1,394",1.706.015,158,893.142,2.840,4.873.369
"Moniquirá,",Boyaca,1.221,1.377.200,218,899.494,139,572.833,1.578,2.849.527
Orocue,Boyaca,57,86.447,152,255.332,0,0,209,341.779
Pauna,Boyaca,837,904.970,188,333.096,38,142.896,1.063,"1,380.962"
Pesca,Boyaca,1.348,"1.072,51",74,166.780,55,272.972,1.477,1.512.266
Puebloviejo,Boyaca,1.189,956.700,85,"122,328",20,39.949,1.294,"1,118. 977"
