,Oficina,Departamento,Anio,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
76,fredonia,antioquia,1952,398,121975145,31,22195029,0,0,429,144170174
77,fredonia,antioquia,1953,411,122787696,46,21987353,0,0,457,144774949
78,fredonia,antioquia,1954,574,179780484,54,22269444,0,0,628,202049928
79,fredonia,antioquia,1955,649,192960328,72,56174098,0,0,721,249134426
80,fredonia,antioquia,1956,696,206619967,90,72041140,0,0,786,278661107
81,fredonia,antioquia,1957,727,2161813,138,1029825,0,0,865,3191638
82,fredonia,antioquia,1958,807,2688738,157,977137,119,396193,1083,4062068
83,fredonia,antioquia,1959,892,2854075,212,1238551,120,406594,1224,4499220
84,fredonia,antioquia,1960,857,2966902,136,818972,92,245255,1085,4031129
85,frontino,antioquia,1952,888,66049889,83,26061336,0,0,971,92111225
86,frontino,antioquia,1953,583,53426978,94,40471708,0,0,677,93898686
87,frontino,antioquia,1954,958,107383662,687,150770739,0,0,1645,258154401
88,frontino,antioquia,1955,644,86350309,512,152146199,0,0,1156,238496508
89,frontino,antioquia,1956,772,100240470,562,155951535,0,0,1334,256192005
90,frontino,antioquia,1957,544,688118,484,1360893,0,0,1028,2049011
91,frontino,antioquia,1958,542,818638,373,1003153,27,162398,942,1984189
92,frontino,antioquia,1959,367,390825,215,507431,24,167238,606,1065494
93,frontino,antioquia,1960,424,460804,220,605819,19,127516,663,1194139
94,granada,antioquia,1952,675,29726621,62,10339462,0,0,737,40066083
95,granada,antioquia,1953,858,41760711,58,9668403,0,0,916,51429114
96,granada,antioquia,1954,913,56309452,82,12550315,0,0,995,68859767
97,granada,antioquia,1955,920,56923101,98,13569543,0,0,1018,70492644
98,granada,antioquia,1956,902,52008712,216,29860835,0,0,1118,81869647
99,granada,antioquia,1957,820,510601,336,471596,0,0,1156,982197
100,granada,antioquia,1958,877,657325,377,510242,8,24091,1262,1191658
101,granada,antioquia,1959,565,364282,280,230035,6,16691,851,611008
102,granada,antioquia,1960,663,428526,336,258971,7,18719,1006,706216
103,ituango,antioquia,1952,480,37076632,51,16246607,0,0,531,53323239
104,ituango,antioquia,1953,598,50199581,211,25274891,0,0,809,75474472
105,ituango,antioquia,1954,817,86859900,184,33132946,0,0,1001,119992846
106,ituango,antioquia,1955,841,87862396,193,46206165,0,0,1034,134068561
107,ituango,antioquia,1956,764,87654523,201,55242002,0,0,965,142896525
108,ituango,antioquia,1957,687,879870,164,477681,0,0,851,1357551
109,ituango,antioquia,1958,631,827657,134,421619,3,23300,768,1272576
