,Unnamed: 0,Oficina,Departamento,Anio,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
0,0,medellin,antioquia,1960,2050,3674680.9894736847,2070,8587981.263157895,477,1439030.4947368423,4597,13701692.747368423
1,1,abejorral,antioquia,1960,352,304236.47368421056,151,164003.65263157897,13,50898.00000000001,516,519138.12631578953
2,2,amalfi,antioquia,1960,363,394721.21052631584,188,386939.68421052635,2,30922.105263157897,553,812583.0000000001
3,3,andes,antioquia,1960,407,580941.5368421053,186,350463.94736842107,121,308956.38947368425,714,1240361.8736842107
4,4,armenia,antioquia,1960,218,361912.1052631579,58,199700.96842105265,15,52170.85263157895,291,613783.9263157896
5,5,betulia,antioquia,1960,198,333456.252631579,78,155254.73684210528,12,57620.336842105266,288,546331.3263157895
6,6,bolivar,antioquia,1960,296,681756.7263157895,150,326528.30526315793,53,221847.3157894737,499,1230132.3473684213
7,7,cañasgordas,antioquia,1960,441,242909.77894736844,234,198031.38947368422,32,91501.51578947369,707,532442.6842105264
8,8,caucasia,antioquia,1960,163,198929.5263157895,127,600401.5263157896,0,0.0,290,799331.052631579
9,9,cisneros,antioquia,1960,324,95324.90526315791,128,179076.56842105265,37,55711.86315789474,489,330113.3368421053
10,10,concordia,antioquia,1960,194,318784.35789473687,61,113391.25263157896,23,70591.51578947369,278,502767.12631578953
11,11,chigorodo,antioquia,1960,204,139984.26315789475,153,286417.07368421054,0,0.0,357,426401.3368421053
12,12,dabeiba,antioquia,1960,346,338263.6736842106,224,338393.58947368426,4,13164.978947368423,574,689822.2421052632
13,13,fredonia,antioquia,1960,857,1592757.9157894738,136,439658.65263157897,92,131663.21052631582,1085,2164079.7789473687
14,14,frontino,antioquia,1960,424,247378.98947368423,220,325229.1473684211,19,68455.95789473684,663,641064.0947368422
15,15,granada,antioquia,1960,663,230050.80000000002,336,139026.53684210527,7,10049.147368421054,1006,379126.48421052634
16,16,ituango,antioquia,1960,573,504149.49473684217,112,227456.24210526317,7,24358.136842105265,692,755963.8736842106
17,17,jardin,antioquia,1960,176,220228.73684210528,187,301564.07368421054,61,126350.08421052633,424,648142.8947368421
18,18,jerico,antioquia,1960,341,566129.5263157896,131,292163.4315789474,49,85296.69473684211,521,943589.6526315791
19,19,la ceja,antioquia,1960,371,516222.00000000006,360,422276.77894736844,81,178513.4210526316,812,1117012.2000000002
20,20,liborina,antioquia,1960,471,256295.40000000002,172,200518.0421052632,55,101131.38947368422,698,557944.8315789474
21,21,marinilla,antioquia,1960,523,243951.25263157897,340,150052.2,125,188479.35789473687,988,582482.8105263158
22,22,puerto berrio,antioquia,1960,49,110288.84210526317,131,477033.06315789477,0,0.0,180,587321.9052631579
23,23,remedios,antioquia,1960,165,144596.27368421055,238,470730.5368421053,9,39837.44210526316,412,655164.2526315791
24,24,rionegro,antioquia,1960,383,154294.86315789475,474,322800.47368421056,55,99155.27368421054,912,576250.6105263159
25,25,salgar,antioquia,1960,138,365305.48421052634,98,277366.45263157896,36,186625.10526315792,272,829297.0421052632
26,26,san carlos,antioquia,1960,418,280710.4421052632,422,348609.15789473685,1,1382.3684210526317,841,630701.9684210527
27,27,san roque,antioquia,1960,278,132828.69473684212,216,238448.08421052634,27,36831.12631578948,521,408107.9052631579
28,28,santa barbara,antioquia,1960,294,285255.3473684211,92,148848.6,47,103055.96842105265,433,537159.9157894737
29,29,santafe de antioquia,antioquia,1960,339,191850.18947368424,106,143677.73684210528,22,42689.14736842106,467,378217.07368421054
30,30,santa rosa de osos,antioquia,1960,156,185131.6105263158,406,660052.2000000001,13,31292.526315789477,575,876476.3368421054
31,31,santuario,antioquia,1960,576,274716.06315789477,458,271016.1473684211,54,70139.49473684211,1088,615871.705263158
32,32,sonson,antioquia,1960,627,353367.7263157895,87,130059.66315789476,125,155486.1157894737,839,638913.505263158
33,33,sopetran,antioquia,1960,527,274540.5157894737,164,264297.56842105265,91,203396.58947368423,782,742234.6736842106
34,34,tamesis,antioquia,1960,646,557934.0947368422,152,238980.6315789474,93,174735.1263157895,891,971649.852631579
35,35,titiribl,antioquia,1960,207,383420.68421052635,70,309247.89473684214,19,41976.22105263158,296,734644.8
36,36,turbo,antioquia,1960,394,268693.76842105266,223,481987.5789473685,0,0.0,617,750681.3473684211
37,37,urrao,antioquia,1960,354,292181.68421052635,294,417372.7263157895,88,143181.15789473685,736,852735.5684210528
38,38,yarumal,antioquia,1960,622,384585.6315789474,386,912535.4842105265,121,334037.1157894737,1129,1631158.2315789475
39,39,yolombo,antioquia,1960,276,168324.15789473685,109,382823.17894736846,3,17758.736842105263,388,568906.0736842105
40,40,barranquilla,atlantico,1960,1623,3048391.863157895,592,3035535.568421053,113,333476.1157894737,2328,6417403.547368421
41,41,sabanalarga,atlantico,1960,1115,418995.60000000003,349,719734.0105263159,22,59588.93684210527,1486,1198318.5473684212
42,42,cartagena,bolivar,1960,1321,1968076.0421052633,979,4875867.884210527,117,602400.7263157895,2417,7446344.65263158
43,43,calamar,bolivar,1960,721,565361.8421052633,309,1182392.5894736843,2,25231.578947368424,1032,1772986.010526316
44,44,corozal,bolivar,1960,163,204413.36842105264,381,1198901.557894737,89,210259.57894736843,633,1613574.5052631581
45,45,el carmen,bolivar,1960,319,255975.97894736845,332,962606.2105263158,128,457001.8736842106,779,1675584.0631578949
46,46,magangue,bolivar,1960,475,568389.0947368422,563,1785824.5894736843,19,75653.40000000001,1057,2429867.0842105267
47,47,majagual,bolivar,1960,197,241440.44210526318,154,382568.71578947373,0,0.0,351,624009.1578947369
48,48,maria la baja,bolivar,1960,327,273743.8421052632,147,344188.2631578948,14,49701.915789473685,488,667634.0210526317
49,49,mompos,bolivar,1960,333,719203.0736842105,603,2032365.0315789476,16,44766.189473684215,952,2796334.294736842
50,50,ovejas,bolivar,1960,201,120055.6105263158,203,484541.8736842106,28,87211.07368421054,432,691808.5578947369
51,51,san juan nepomuceno,bolivar,1960,444,177231.97894736845,337,696456.5368421053,53,143134.45263157896,834,1016822.9684210527
52,52,san onofre,bolivar,1960,478,334867.07368421054,320,817475.7789473685,1,16105.263157894738,799,1168448.1157894738
53,53,since,bolivar,1960,422,426246.18947368424,478,986067.8210526317,69,166998.15789473685,969,1579312.1684210529
54,54,sincelejo,bolivar,1960,1024,687700.6421052632,485,2201609.3368421053,34,182817.28421052633,1543,3072127.263157895
55,55,sucre,bolivar,1960,99,206874.25263157897,205,557015.0210526317,1,7515.789473684211,305,771405.0631578948
56,56,tunja,boyaca,1960,1733,2082986.557894737,348,1376935.5789473685,384,837403.3578947369,2465,4297325.494736843
57,57,chiquinquira,boyaca,1960,1518,1419094.863157895,596,894623.2105263158,121,314992.1052631579,2235,2628710.1789473686
58,58,duitama,boyaca,1960,977,942219.0947368422,231,651469.1684210527,112,236617.98947368423,1320,1830306.252631579
59,59,el cocuy,boyaca,1960,546,395414.27368421055,256,298725.7894736842,41,126772.04210526317,843,820912.105263158
60,60,el espino,boyaca,1960,798,371069.0210526316,117,121196.93684210528,27,68304.03157894737,942,560569.9894736842
61,61,garagoa,boyaca,1960,1020,878645.7157894737,348,491145.56842105265,93,163712.68421052632,1461,1533503.9684210527
62,62,guateque,boyaca,1960,1255,736896.3157894737,147,260276.08421052634,70,136219.38947368422,1472,1133391.7894736843
63,63,guayata,boyaca,1960,1036,737513.6842105264,125,113786.36842105264,9,11458.894736842107,1170,862758.9473684211
64,64,la uvita,boyaca,1960,1115,683074.6736842106,243,235092.28421052633,10,25116.694736842106,1368,943283.6526315791
65,65,leiva,boyaca,1960,974,620341.9894736842,135,235353.18947368424,115,164092.76842105263,1224,1019787.9473684211
66,66,miraflores,boyaca,1960,1431,1530899.7473684212,1294,820177.705263158,151,399007.35789473687,2876,2750084.810526316
67,67,moniquira,boyaca,1960,1091,637981.5473684211,192,392297.36842105264,95,185383.9263157895,1378,1215662.8421052634
68,68,orocue,boyaca,1960,56,43849.26315789474,143,126614.2105263158,0,0.0,199,170463.47368421053
69,69,pauna,boyaca,1960,1000,593171.8736842106,193,208580.3368421053,37,71353.29473684212,1230,873105.505263158
70,70,pesca,boyaca,1960,1230,560882.4315789475,104,116640.75789473686,58,138240.06315789474,1392,815763.2526315791
71,71,puebloviejo,boyaca,1960,1223,579616.0736842105,82,91239.53684210527,19,23136.82105263158,1324,693992.4315789475
72,72,puerto boyaca,boyaca,1960,183,386774.3368421053,79,344518.42105263163,3,5917.61052631579,265,737210.3684210527
73,73,ramiriqui,boyaca,1960,1492,876585.852631579,148,180696.75789473686,156,280842.50526315795,1796,1338125.1157894738
74,74,saboya,boyaca,1960,1433,1297399.7368421054,293,415737.50526315795,26,52228.29473684211,1752,1765365.5368421054
75,75,san luis de gaceno,boyaca,1960,613,956896.8947368423,429,519085.5157894737,8,22355.715789473685,1050,1498338.1263157895
76,76,san luis de palenque,boyaca,1960,70,157690.9263157895,380,597416.6842105264,0,0.0,450,755107.6105263159
77,77,santa rosa de viterbo,boyaca,1960,798,558828.4736842106,93,154866.06315789477,85,171896.84210526317,976,885591.3789473685
78,78,soata,boyaca,1960,1183,589014.0315789474,185,183225.8210526316,49,84296.55789473685,1417,856536.4105263159
79,79,socha,boyaca,1960,522,317276.9052631579,125,110813.33684210527,12,24153.600000000002,659,452243.8421052632
80,80,sogamoso,boyaca,1960,2864,1576816.9263157896,296,1251107.8421052634,94,191761.07368421054,3254,3019685.8421052634
81,81,tamara,boyaca,1960,281,277071.7263157895,214,271719.94736842107,0,0.0,495,548791.6736842106
82,82,toca,boyaca,1960,381,308251.5157894737,61,243969.50526315792,153,294901.86315789475,595,847122.8842105264
83,83,ventaquemada,boyaca,1960,1026,1114693.5789473685,104,148539.37894736844,80,180269.96842105265,1210,1443502.9263157896
84,84,yopal,boyaca,1960,186,198212.84210526317,540,611692.3894736842,0,0.0,726,809905.2315789474
85,85,manizales,caldas,1960,518,1454020.7368421054,543,2855228.021052632,187,551214.9789473685,1248,4860463.736842106
86,86,aguadas,caldas,1960,511,505113.6631578948,155,486738.09473684215,68,209899.89473684214,734,1201751.652631579
87,87,anserma,caldas,1960,1094,1079354.8736842107,280,568218.9157894737,92,322440.252631579,1466,1970014.0421052633
88,88,apia,caldas,1960,382,373730.1473684211,215,256893.44210526318,20,66491.1157894737,617,697114.705263158
89,89,aranzazu,caldas,1960,614,507335.11578947376,231,343881.18947368424,61,128836.73684210528,906,980053.0421052632
90,90,armenia,caldas,1960,980,1856015.0842105264,396,1447593.1263157895,171,443403.12631578953,1547,3747011.3368421057
91,91,belalcazar,caldas,1960,403,711534.8210526316,155,239190.00000000003,11,71872.42105263159,569,1022597.2421052633
92,92,belen de umbria,caldas,1960,300,286249.5789473684,128,182956.86315789475,35,168468.56842105265,463,637675.0105263159
93,93,calarca,caldas,1960,477,989185.2631578948,196,557915.3052631579,61,144081.44210526318,734,1691182.010526316
94,94,chinchina,caldas,1960,319,326136.4105263158,124,176187.28421052633,59,216140.68421052635,502,718464.3789473685
95,95,filandia,caldas,1960,381,206216.08421052634,134,101741.24210526317,50,73850.14736842107,565,381807.47368421056
96,96,genova,caldas,1960,178,339284.21052631584,63,219777.78947368424,6,34370.24210526316,247,593432.2421052632
97,97,la dorada,caldas,1960,264,612703.2631578948,344,1883577.0947368422,37,89856.09473684212,645,2586136.4526315792
98,98,manzanares,caldas,1960,902,733110.505263158,352,451454.1473684211,29,57734.68421052632,1283,1242299.3368421055
99,99,marsella,caldas,1960,254,243008.0210526316,126,165112.76842105263,56,208489.6105263158,436,616610.4
100,100,neira,caldas,1960,171,140856.09473684212,56,60196.1052631579,18,78688.16842105264,245,279739.83157894737
101,101,pacora,caldas,1960,548,469463.052631579,137,302238.3473684211,29,63217.452631578955,714,834918.852631579
102,102,palestina,caldas,1960,88,170205.7894736842,21,34065.85263157895,18,89849.65263157895,127,294121.29473684216
103,103,pensilvania,caldas,1960,813,673641.2842105264,436,397658.27368421055,40,71066.62105263158,1289,1142366.1789473686
104,104,pereira,caldas,1960,661,1008392.4000000001,413,1755305.6526315792,160,473211.8210526316,1234,3236909.8736842107
105,105,pijao,caldas,1960,131,494337.6315789474,51,286287.15789473685,14,29045.305263157898,196,809670.0947368422
106,106,quinchia,caldas,1960,540,218078.14736842108,65,83133.22105263159,9,50112.600000000006,614,351323.9684210527
107,107,quimbaya,caldas,1960,281,277837.80000000005,84,149214.18947368424,37,75803.17894736843,402,502855.1684210527
108,108,riosucio,caldas,1960,1030,394410.3789473685,165,243224.36842105264,182,352828.7368421053,1377,990463.4842105265
109,109,salamina,caldas,1960,551,565805.2736842106,283,511892.90526315797,67,156058.9263157895,901,1233757.105263158
110,110,samana,caldas,1960,288,198094.73684210528,114,97129.23157894738,7,31165.83157894737,409,326389.80000000005
111,111,santa rosa de cabal,caldas,1960,509,400656.00000000006,347,349633.45263157896,168,390874.7368421053,1024,1141164.1894736844
112,112,santuario,caldas,1960,253,280836.60000000003,49,106193.27368421054,2,8052.631578947369,304,395082.50526315795
113,113,viterbo,caldas,1960,121,213155.84210526317,24,64847.3052631579,26,65088.34736842106,171,343091.4947368421
114,114,popayan,cauca,1960,1008,999090.0000000001,676,2652657.0947368424,264,519725.9684210527,1948,4171473.063157895
115,115,bolivar,cauca,1960,643,442810.452631579,286,310161.60000000003,9,8255.557894736843,938,761227.6105263159
116,116,caloto,cauca,1960,512,284392.1052631579,164,352833.0315789474,110,180346.2,786,817571.3368421054
117,117,corinto,cauca,1960,288,197993.81052631582,183,272733.50526315795,24,46156.07368421053,495,516883.38947368425
118,118,el bordo,cauca,1960,271,283704.94736842107,202,522797.2421052632,29,50568.915789473685,502,857071.105263158
119,119,el tambo,cauca,1960,623,336114.15789473685,287,421092.50526315795,88,144853.95789473684,998,902060.6210526316
120,120,miranda,cauca,1960,136,115155.85263157896,60,187586.05263157896,37,72255.72631578948,233,374997.6315789474
121,121,paez,cauca,1960,175,80602.0105263158,218,270971.58947368426,0,0.0,393,351573.60000000003
122,122,piendamo,cauca,1960,939,460337.8105263158,128,190870.98947368423,174,279447.252631579,1241,930656.052631579
123,123,puerto tejada,cauca,1960,253,211080.4105263158,121,337331.71578947373,46,94294.16842105264,420,642706.2947368422
124,124,santander,cauca,1960,670,433806.5368421053,205,469888.76842105266,108,173937.9157894737,983,1077633.2210526317
125,125,timbio,cauca,1960,914,514441.29473684216,181,281903.30526315793,229,347829.12631578953,1324,1144173.7263157896
126,126,monteria,cordoba,1960,603,1349280.6947368423,506,3394190.6526315794,24,135575.7157894737,1133,4879047.063157896
127,127,ayapel,cordoba,1960,185,294519.09473684215,142,679937.9052631579,4,9547.2,331,984004.2000000001
128,128,cerete,cordoba,1960,731,1462323.5368421054,550,2182294.294736842,5,39889.51578947369,1286,3684507.3473684215
129,129,cienaga de oro,cordoba,1960,310,417810.7894736843,216,554547.1578947369,3,14124.315789473685,529,986482.2631578948
130,130,chinu,cordoba,1960,383,225599.84210526317,225,553697.3368421053,2,15573.25263157895,610,794870.4315789475
131,131,lorica,cordoba,1960,976,867912.0947368422,464,1760889.8842105265,41,119588.55789473685,1481,2748390.5368421054
132,132,montelibano,cordoba,1960,168,330077.36842105264,176,790732.9894736843,1,6313.263157894738,345,1127123.6210526316
133,133,sahagun,cordoba,1960,560,396956.0842105264,535,2096026.9894736845,45,175180.16842105266,1140,2668163.2421052633
134,134,san andres,cordoba,1960,328,235667.24210526317,197,535451.1473684211,8,19343.494736842105,533,790461.8842105264
135,135,san bernardo del viento,cordoba,1960,528,501915.6947368422,122,510432.6947368422,2,15170.62105263158,652,1027519.0105263159
136,136,san marcos,cordoba,1960,274,357895.45263157896,362,1527343.705263158,2,23111.05263157895,638,1908350.210526316
137,137,tierralta,cordoba,1960,725,758004.9473684211,418,1170004.4210526317,1,1602.4736842105265,1144,1929611.8421052634
138,138,bogota,cundinamarca,1960,1930,7004950.92631579,2844,16909282.989473686,1485,7911413.65263158,6259,31825647.568421055
139,139,anolaima,cundinamarca,1960,695,521189.4,177,223944.75789473686,161,342993.252631579,1033,1088127.410526316
140,140,arbelaez,cundinamarca,1960,463,319968.6315789474,102,140193.09473684212,87,223688.68421052635,652,683850.4105263158
141,141,cabrera,cundinamarca,1960,359,274827.18947368424,1009,851257.105263158,42,154521.94736842107,1410,1280606.2421052633
142,142,cachipay,cundinamarca,1960,295,285501.7578947369,60,123771.63157894737,63,157783.26315789475,418,567056.652631579
143,143,caqueza,cundinamarca,1960,1374,963814.105263158,116,179790.56842105265,76,144452.40000000002,1566,1288057.0736842107
