,Unnamed: 0,Oficina,Departamento,Anio,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
0,0,medellin,antioquia,1961,2286,4274662.455445545,2258,9275473.009900989,471,1240681.5445544554,5015,14790817.009900989
1,1,abejorral,antioquia,1961,411,331779.23762376234,242,263518.51485148515,11,35321.28712871287,664,630619.0396039604
2,2,amalfi,antioquia,1961,350,414642.11881188117,198,420212.7326732673,2,24843.564356435643,550,859698.4158415841
3,3,andes,antioquia,1961,435,679263.9504950495,211,340194.23762376234,110,244834.84158415842,756,1264293.0297029703
4,4,arboletes,antioquia,1961,397,369092.55445544556,176,633344.2574257426,0,0.0,573,1002436.8118811881
5,5,armenia,antioquia,1961,125,336568.6930693069,47,188515.69306930693,7,31129.18811881188,179,556213.5742574257
6,6,betania,antioquia,1961,186,340724.9405940594,45,81000.62376237623,10,31184.732673267325,241,452910.297029703
7,7,betulia,antioquia,1961,225,362169.17821782175,71,136545.17821782178,13,59711.40594059406,309,558425.7623762377
8,8,bolivar,antioquia,1961,243,642643.9306930692,144,427490.07920792076,43,126414.35643564355,430,1196548.3663366337
9,9,cañasgordas,antioquia,1961,355,193062.77227722772,224,175506.65346534652,27,70614.80198019801,606,439184.2277227723
10,10,caucasia,antioquia,1961,365,421653.35643564357,169,858617.8217821782,0,0.0,534,1280271.1782178218
11,11,cisneros,antioquia,1961,268,102827.61386138614,103,204004.54455445544,25,35220.80198019802,396,342052.9603960396
12,12,concordia,antioquia,1961,163,307579.9900990099,59,114353.61386138614,21,58553.55445544554,243,480487.1584158416
13,13,chigorodo,antioquia,1961,173,112483.78217821782,217,347477.64356435643,1,1027.069306930693,391,460988.4950495049
14,14,dabeiba,antioquia,1961,346,334467.0891089109,239,391515.8910891089,4,20618.643564356436,589,746601.6237623763
15,15,fredonia,antioquia,1961,1018,2098035.9801980196,191,784743.5643564357,105,190250.70297029702,1314,3073030.2475247523
16,16,frontino,antioquia,1961,414,237706.9603960396,239,345058.9306930693,22,78520.81188118811,675,661286.702970297
17,17,granada,antioquia,1961,664,232878.11881188117,354,136756.24752475246,7,9050.732673267326,1025,378685.099009901
18,18,ituango,antioquia,1961,623,554427.5643564357,123,271852.21782178216,10,69514.51485148515,756,895794.2970297029
19,19,jardin,antioquia,1961,169,189422.0792079208,214,372109.1287128713,82,155258.13861386137,465,716789.3465346535
20,20,jerico,antioquia,1961,334,644937.4158415841,156,425579.34653465345,44,72495.74257425743,534,1143012.504950495
21,21,la ceja,antioquia,1961,383,721473.2673267326,378,467123.64356435643,76,154813.7821782178,837,1343410.693069307
22,22,liborina,antioquia,1961,481,232451.9405940594,167,161117.58415841585,52,81595.9603960396,700,475165.48514851485
23,23,marinilla,antioquia,1961,535,249089.0495049505,304,105139.27722772276,114,152957.58415841585,953,507185.91089108906
24,24,puerto berrio,antioquia,1961,72,172163.37623762374,148,518548.8118811881,1,409.00990099009897,221,691121.198019802
25,25,remedios,antioquia,1961,193,239474.28712871287,240,422640.5346534653,10,38711.0198019802,443,700825.8415841584
26,26,rionegro,antioquia,1961,471,220278.59405940594,546,356987.37623762374,66,138089.31683168316,1083,715355.2871287129
27,27,salgar,antioquia,1961,119,376167.41584158415,122,319851.297029703,32,152081.49504950494,273,848100.207920792
28,28,san carlos,antioquia,1961,380,259923.77227722772,436,328475.8514851485,1,1300.247524752475,817,589699.8712871287
29,29,san roque,antioquia,1961,246,115605.8910891089,236,277705.603960396,26,32665.247524752474,508,425976.7425742574
30,30,santa barbara,antioquia,1961,286,256598.16831683167,99,167203.75247524751,45,95911.30693069307,430,519713.2277227723
31,31,santafe de antioquia,antioquia,1961,347,188107.18811881187,97,132435.89108910892,22,67940.58415841583,466,388483.6633663366
32,32,santa rosa de osos,antioquia,1961,207,239339.9702970297,439,725824.4257425743,13,23535.237623762376,659,988699.6336633663
33,33,santuario,antioquia,1961,711,342462.98019801977,402,210701.70297029702,52,74636.22772277228,1165,627800.9108910891
