,Oficina,Departamento,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
91,popayan,cauca,1448,159071300,466,271768001,0,0,1914,430839301
92,bolivar,cauca,1219,149253243,518,77684008,0,0,1737,226937251
93,caloto,cauca,493,61309908,284,79870556,0,0,777,141180464
94,el tambo,cauca,915,47846000,184,29824934,0,0,1099,77670934
95,puerto tejada,cauca,223,33096577,106,49028354,0,0,329,82124931
96,santander,cauca,649,73904389,211,52812368,0,0,860,126716757
97,timbio,cauca,706,48194259,148,24748359,0,0,854,72942618
98,monteria,cordoba,537,137567454,278,231690021,0,0,815,369257475
99,ayapel,cordoba,422,79257883,322,172076084,0,0,744,251333967
100,cerete,cordoba,351,110755000,283,174654050,0,0,634,285409050
101,cienaga de oro,cordoba,139,20732500,119,46766870,0,0,258,67499370
102,lorica,cordoba,1057,114295428,526,228471061,0,0,1583,342766489
103,sahagun,cordoba,525,55734000,494,216180755,0,0,1019,271914755
104,tierralta,cordoba,279,35345231,156,68851700,0,0,435,104196931
105,bogota,cundinamarca,1052,479537866,1736,1681231222,0,0,2788,2160769088
106,anolaima,cundinamarca,802,97236500,392,93351508,0,0,1194,190588008
107,arbelaez,cundinamarca,714,74755553,216,47579955,0,0,930,122335508
108,caqueza,cundinamarca,748,84425756,133,21435783,0,0,881,105861539
109,chia,cundinamarca,220,41507500,102,34416281,0,0,322,75923781
110,choconta,cundinamarca,2012,202415500,145,47855133,0,0,2157,250270633
111,el colegio,cundinamarca,652,55175500,150,46545321,0,0,802,101720821
112,facatativa,cundinamarca,792,127065854,188,94782459,0,0,980,221848313
113,fomeque,cundinamarca,560,65038550,310,53050858,0,0,870,118089408
114,fusagasuga,cundinamarca,776,83642717,676,117566377,0,0,1452,201209094
115,gachala,cundinamarca,676,62801467,103,20053287,0,0,779,82854754
116,gacheta,cundinamarca,1555,132643276,274,46785462,0,0,1829,179428738
117,girardot,cundinamarca,424,81182805,251,167237336,0,0,675,248420141
118,guaduas,cundinamarca,295,30592000,106,34890647,0,0,401,65482647
119,guasca,cundinamarca,263,29233700,67,19303482,0,0,330,48537182
120,guatavita,cundinamarca,495,54934562,68,13692072,0,0,563,68626634
121,la calera,cundinamarca,275,41970900,189,52041803,0,0,464,94012703
122,la mesa,cundinamarca,792,91445268,174,78134892,0,0,966,169580160
123,la palma,cundinamarca,733,54323420,206,59681847,0,0,939,114005267
124,la peña,cundinamarca,279,21567452,46,14507285,0,0,325,36074737
125,medina,cundinamarca,478,69960811,771,47700118,0,0,1249,117660929
126,nocaima,cundinamarca,248,25435212,51,18222772,0,0,299,43657984
127,pacho,cundinamarca,1077,111135665,236,88656035,0,0,1313,199791700
128,san francisco,cundinamarca,472,66989810,83,32094348,0,0,555,99084158
129,san juan de rioseco,cundinamarca,873,143906984,120,52285793,0,0,993,196192777
130,sasaima,cundinamarca,357,49317692,148,36992769,0,0,505,86310461
131,soacha,cundinamarca,359,58239196,101,29517184,0,0,460,87756380
132,sopo,cundinamarca,120,24243553,50,13771110,0,0,170,38014663
133,subachoque,cundinamarca,241,56097547,71,28682373,0,0,312,84779920
134,ubate,cundinamarca,1185,136957233,256,103164856,0,0,1441,240122089
135,une,cundinamarca,887,89264000,112,29256572,0,0,999,118520572
136,vergara,cundinamarca,592,74937335,116,19479416,0,0,708,94416751
137,villeta,cundinamarca,373,46316638,136,57999999,0,0,509,104316637
138,viota,cundinamarca,387,60122000,31,22896902,0,0,418,83018902
139,zipaquira,cundinamarca,375,63089000,119,57008776,0,0,494,120097776
140,quibdo,choco,480,10677675,49,6362433,0,0,529,17040108
141,neiva,huila,950,186069517,774,250564203,0,0,1724,436633720
142,acevedo,huila,502,39601300,96,16120711,0,0,598,55722011
143,baraya,huila,162,31841095,208,33004682,0,0,370,64845777
144,carnecerias,huila,182,12775500,154,26169226,0,0,336,38944726
145,garzon,huila,636,75197885,660,204555374,0,0,1296,279753259
146,la plata,huila,668,57408386,401,67160073,0,0,1069,124568459
147,palermo,huila,394,52164998,176,42990826,0,0,570,95155824
148,pitalito,huila,771,78230237,225,47065706,0,0,996,125295943
149,san agustin,huila,297,33834000,92,28150961,0,0,389,61984961
150,timana,huila,403,36298500,105,28163228,0,0,508,64461728
151,yaguara,huila,552,88238667,169,66115661,0,0,721,154354328
152,santa marta,magdalena,422,125387862,220,140384284,0,0,642,265772146
153,cienaga,magdalena,198,31360500,73,34059838,0,0,271,65420338
154,chiriguana,magdalena,347,53867182,356,108813509,0,0,703,162680691
155,el banco,magdalena,195,44111109,495,168446876,0,0,690,212557985
156,fundacion,magdalena,456,150121746,554,368335404,0,0,1010,518457150
157,plato,magdalena,233,54602823,586,238846026,0,0,819,293448849
158,valledupar,magdalena,957,203877827,886,343629458,0,0,1843,547507285
159,pasto,nariño,1744,159878103,1461,339950396,0,0,3205,499828499
160,contadero,nariño,431,45558500,67,14720784,0,0,498,60279284
161,ipiales,nariño,585,104108191,239,72498943,0,0,824,176607134
162,la cruz,nariño,1374,190413989,154,44840000,0,0,1528,235253989
163,la union,nariño,1147,138974887,372,78483117,0,0,1519,217458004
164,mocoa,nariño,172,7279468,482,48377802,0,0,654,55657270
165,samaniego,nariño,685,56071014,243,38334834,0,0,928,94405848
166,sandona,nariño,731,66745340,199,25757592,0,0,930,92502932
167,tuquerres,nariño,643,68305694,162,48326377,0,0,805,116632071
168,cucuta,norte de santander,994,287615555,445,309271064,0,0,1439,596886619
