,codmpio,municipio,depto,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor,tratamiento,alf_A1938,alf_A1951,alf_A1964,alf_A1973,alf_A2018,numero_prestamos,CP - Promedio,MP - Promedio,LP - Promedio,T - Promedio
37,5237.0,Don Matías,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,6397,6927.0,10321,9363,99.6,0,0.0,0.0,0.0,0.0
38,5240.0,Ebéjico,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,2316,2279.0,2880,3822,97.1,0,0.0,0.0,0.0,0.0
39,5250.0,El Bagre,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,4248,0.0,7293,9377,97.6,0,0.0,0.0,0.0,0.0
40,5264.0,Entrerrios,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,6385,5907.0,7269,8292,99.3,0,0.0,0.0,0.0,0.0
41,5266.0,Envigado,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,1610,0.0,2284,0,99.2,0,0.0,0.0,0.0,0.0
42,5306.0,Giraldo,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,3450,4391.0,5510,6795,99.7,0,0.0,0.0,0.0,0.0
43,5308.0,Girardota,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,4302,4721.0,7188,7998,99.6,0,0.0,0.0,0.0,0.0
44,5310.0,Gómez Plata,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,2310,2268.0,2724,3284,99.8,0,0.0,0.0,0.0,0.0
45,5315.0,Guadalupe,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,5221,0.0,6709,0,98.6,0,0.0,0.0,0.0,0.0
46,5318.0,Guarne,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,13167,9500.0,14960,13911,99.6,0,0.0,0.0,0.0,0.0
47,5321.0,Guatapé,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,5545,4413.0,8345,14058,99.7,0,0.0,0.0,0.0,0.0
48,5347.0,Heliconia,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,1277,1606.0,1824,2073,99.4,0,0.0,0.0,0.0,0.0
49,5353.0,Hispania,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,99.9,0,0.0,0.0,0.0,0.0
50,5360.0,Itagui,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,4835,5540.0,13064,11067,99.2,0,0.0,0.0,0.0,0.0
51,5364.0,Jardín,Antioquia,900,1857.16,1182,5314.42,262,59.86,2344,7231.44,1,6537,6636.0,9689,10155,99.5,6,309.5266667,885.7366667,9.976666667,1205.24
52,5376.0,La Ceja,Antioquia,2178,6086.35,2274,10765.36,317,76.99,4769,16928.69,1,2377,2493.0,3363,3372,99.5,7,869.4785714,1537.908571,10.99857143,2418.384286
53,5380.0,La Estrella,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,2926,3120.0,4051,4323,99.7,0,0.0,0.0,0.0,0.0
54,5390.0,La Pintada,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,4844,0,99.8,0,0.0,0.0,0.0,0.0
55,5400.0,La Unión,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,2498,12188.0,42641,0,99.2,0,0.0,0.0,0.0,0.0
56,5425.0,Maceo,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,99.6,0,0.0,0.0,0.0,0.0
57,5440.0,Marinilla,Antioquia,5355,12614.78,2476,6814.56,488,65.45,8319,19494.81,1,6306,6354.0,8790,8520,99.3,9,1401.642222,757.1733333,7.272222222,2166.09
58,5467.0,Montebello,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,10142,8530.0,11689,10348,99.3,0,0.0,0.0,0.0,0.0
59,5475.0,Murindó,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,6621,7069.0,10733,15206,97.4,0,0.0,0.0,0.0,0.0
60,5480.0,Mutatá,Antioquia,0,0.0,0,0.0,0,0.0,0,0.0,0,4135,4869.0,10040,15818,93.7,0,0.0,0.0,0.0,0.0
