,Cod Dep,cod_mpio,Oficina,Departamento,Anio,Poblacion,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
0,91,91001,leticia,amazonas,1955,2405.67,11,584.76,18,2894.64,0,0.0,29,3479.4
1,5,5002,abejorral,antioquia,1955,26780.93,361,1312.53,64,387.02,0,0.0,425,1699.56
2,5,5031,amalfi,antioquia,1955,8823.08,534,6337.68,277,8106.91,0,0.0,811,14444.6
3,5,5034,andes,antioquia,1955,29098.27,457,3006.87,384,3241.32,0,0.0,841,6248.19
4,5,5093,betulia,antioquia,1955,7868.98,209,4464.76,50,1923.92,0,0.0,259,6388.68
5,5,5101,bolivar,antioquia,1955,15308.09,409,8282.26,69,1912.07,0,0.0,478,10194.33
6,5,5138,cañasgordas,antioquia,1955,8367.16,905,7203.93,376,7030.83,0,0.0,1281,14234.76
7,5,5209,concordia,antioquia,1955,11458.06,357,8128.77,60,2684.46,0,0.0,417,10813.23
8,5,5282,fredonia,antioquia,1955,16672.66,649,9837.44,72,2863.85,0,0.0,721,12701.29
9,5,5284,frontino,antioquia,1955,9775.18,644,7508.58,512,13229.86,0,0.0,1156,20738.44
10,5,5313,granada,antioquia,1955,9695.83,920,4990.25,98,1189.6,0,0.0,1018,6179.85
11,5,5361,ituango,antioquia,1955,15417.51,841,4844.04,193,2547.44,0,0.0,1034,7391.48
12,5,5368,jerico,antioquia,1955,13532.81,290,4688.04,130,2920.9,0,0.0,420,7608.93
13,5,5376,la ceja,antioquia,1955,9233.43,226,2991.97,131,3415.32,0,0.0,357,6407.3
14,5,5411,liborina,antioquia,1955,7737.89,502,4748.49,129,3129.38,0,0.0,631,7877.88
15,5,5440,marinilla,antioquia,1955,11361.63,840,3950.22,283,1707.32,0,0.0,1123,5657.54
16,5,5001,medellin,antioquia,1955,333598.58,1935,925.59,1592,2487.64,0,0.0,3527,3413.23
17,5,5604,remedios,antioquia,1955,5504.09,100,2184.47,123,7697.86,0,0.0,223,9882.33
18,5,5615,rionegro,antioquia,1955,18336.51,299,1075.36,243,2372.11,0,0.0,542,3447.47
19,5,5686,santa rosa de osos,antioquia,1955,16087.47,140,696.52,450,6654.83,0,0.0,590,7351.35
20,5,5756,sonson,antioquia,1955,28103.72,770,1681.9,112,573.24,0,0.0,882,2255.14
21,5,5761,sopetran,antioquia,1955,11201.37,829,5280.47,137,4778.04,0,0.0,966,10058.51
22,5,5789,tamesis,antioquia,1955,13752.22,888,4713.61,238,2967.05,0,0.0,1126,7680.66
23,5,5837,turbo,antioquia,1955,5389.61,289,2779.69,169,8826.4,0,0.0,458,11606.09
24,5,5847,urrao,antioquia,1955,15375.98,486,2503.55,190,3360.2,0,0.0,676,5863.75
25,5,5887,yarumal,antioquia,1955,20108.96,888,3382.37,559,6465.93,0,0.0,1447,9848.3
26,5,5890,yolombo,antioquia,1955,17761.43,795,4272.06,210,4912.22,0,0.0,1005,9184.28
27,81,81001,arauca,arauca,1955,6101.39,159,5997.68,1133,28289.48,0,0.0,1292,34287.16
28,81,81794,tame,arauca,1955,33973.17,84,387.96,556,2251.65,0,0.0,640,2639.61
29,8,8001,barranquilla,atlantico,1955,264622.78,846,584.41,438,1059.49,0,0.0,1284,1643.9
30,8,8638,sabanalarga,atlantico,1955,17709.6,711,2279.55,147,2450.59,0,0.0,858,4730.14
31,13,13140,calamar,bolivar,1955,11098.94,336,3863.74,217,7024.27,0,0.0,553,10888.01
32,13,13001,cartagena,bolivar,1955,122571.27,834,974.61,619,2987.82,0,0.0,1453,3962.43
33,13,70215,corozal,bolivar,1955,14595.92,124,1171.64,362,9968.75,0,0.0,486,11140.39
34,13,13244,el carmen,bolivar,1955,22217.91,121,721.28,263,5175.9,0,0.0,384,5897.18
35,13,13430,magangue,bolivar,1955,35063.83,545,1566.21,437,4667.48,0,0.0,982,6233.68
36,13,13442,maria la baja,bolivar,1955,6263.63,506,4586.56,177,10441.13,0,0.0,683,15027.7
37,13,13468,mompos,bolivar,1955,12733.55,244,5199.52,482,14172.33,0,0.0,726,19371.84
38,13,70508,ovejas,bolivar,1955,8823.19,58,919.05,95,4095.83,0,0.0,153,5014.87
39,13,13657,san juan nepomuceno,bolivar,1955,9978.69,162,1028.69,236,7727.23,0,0.0,398,8755.92
40,13,70708,san marcos,bolivar,1955,10536.53,207,3427.53,179,11440.96,0,0.0,386,14868.5
41,13,70713,san onofre,bolivar,1955,15587.27,337,2073.04,139,4141.53,0,0.0,476,6214.57
42,13,70742,since,bolivar,1955,9417.51,205,2542.01,369,10921.4,0,0.0,574,13463.41
43,13,70001,sincelejo,bolivar,1955,29878.87,653,2887.14,460,8758.08,0,0.0,1113,11645.23
44,13,70771,sucre,bolivar,1955,13006.96,35,570.76,242,5097.94,0,0.0,277,5668.69
45,15,15176,chiquinquira,boyaca,1955,18516.87,1734,8855.21,412,5620.66,0,0.0,2146,14475.87
46,15,15238,duitama,boyaca,1955,19770.01,1137,6411.92,236,4582.75,0,0.0,1373,10994.67
47,15,15244,el cocuy,boyaca,1955,8289.13,922,7659.62,355,5964.42,0,0.0,1277,13624.04
48,15,15248,el espino,boyaca,1955,4310.64,475,7099.17,80,3133.57,0,0.0,555,10232.74
49,15,15299,garagoa,boyaca,1955,8265.61,1403,13794.55,309,5733.69,0,0.0,1712,19528.24
50,15,15322,guateque,boyaca,1955,6895.08,1077,9330.72,160,3043.12,0,0.0,1237,12373.84
51,15,15325,guayata,boyaca,1955,6756.99,833,8907.79,72,1576.69,0,0.0,905,10484.48
52,15,15403,la uvita,boyaca,1955,7474.78,975,11248.51,133,2042.03,0,0.0,1108,13290.54
53,15,15407,leiva,boyaca,1955,3527.75,1017,17197.03,234,13955.08,0,0.0,1251,31152.11
54,15,15455,miraflores,boyaca,1955,6804.46,710,10879.1,1504,18338.34,0,0.0,2214,29217.44
55,15,15469,moniquira,boyaca,1955,13262.08,1634,7826.59,196,3226.3,0,0.0,1830,11052.89
56,15,15531,pauna,boyaca,1955,3035.88,844,18468.49,249,10055.03,0,0.0,1093,28523.51
57,15,15542,pesca,boyaca,1955,12639.83,1512,6619.17,97,1334.29,0,0.0,1609,7953.46
58,15,15755,puebloviejo,boyaca,1955,10270.84,1119,5810.32,51,606.3,0,0.0,1170,6416.62
59,15,15599,ramiriqui,boyaca,1955,6659.68,1371,14018.42,336,5243.97,0,0.0,1707,19262.39
60,15,15632,saboya,boyaca,1955,11517.39,1007,7287.58,168,1715.37,0,0.0,1175,9002.95
61,15,15667,san luis de gaceno,boyaca,1955,2066.43,374,25494.4,647,26698.64,0,0.0,1021,52193.04
62,15,85325,san luis de palenque,boyaca,1955,,34,,428,,0,,462,
63,15,15693,santa rosa de viterbo,boyaca,1955,5633.74,976,15596.24,84,3746.96,0,0.0,1060,19343.21
64,15,15753,soata,boyaca,1955,8072.66,856,8222.04,84,2813.83,0,0.0,940,11035.88
65,15,15757,socha,boyaca,1955,6219.63,942,10214.6,399,8021.22,0,0.0,1341,18235.82
66,15,15759,sogamoso,boyaca,1955,26968.71,3527,10557.07,282,4090.24,0,0.0,3809,14647.3
67,15,85400,tamara,boyaca,1955,4040.34,263,7735.35,294,15042.03,0,0.0,557,22777.39
68,15,15001,tunja,boyaca,1955,29114.73,2212,9175.25,670,9327.12,0,0.0,2882,18502.37
69,15,15861,ventaquemada,boyaca,1955,7569.77,598,6278.46,99,2476.19,0,0.0,697,8754.66
70,15,85001,yopal,boyaca,1955,4498.52,190,9091.69,628,23329.16,0,0.0,818,32420.85
71,17,17013,aguadas,caldas,1955,18745.87,669,4961.35,141,2244.4,0,0.0,810,7205.75
72,17,17042,anserma,caldas,1955,22863.9,719,3647.64,159,1900.18,0,0.0,878,5547.82
73,17,66045,apia,caldas,1955,16732.11,528,4642.51,221,1505.76,0,0.0,749,6147.26
74,17,17050,aranzazu,caldas,1955,14561.95,532,3913.01,176,2229.55,0,0.0,708,6142.55
75,17,63001,armenia,caldas,1955,70469.66,1142,2926.85,659,3621.49,0,0.0,1801,6548.34
76,17,17088,belalcazar,caldas,1955,8035.42,387,10423.83,35,945.74,0,0.0,422,11369.57
77,17,66088,belen de umbria,caldas,1955,19762.82,320,2196.95,78,1217.06,0,0.0,398,3414.01
78,17,63130,calarca,caldas,1955,56042.48,526,2094.66,216,1306.0,0,0.0,742,3400.67
79,17,17174,chinchina,caldas,1955,15016.53,139,1078.6,30,458.57,0,0.0,169,1537.17
80,17,63272,filandia,caldas,1955,12682.56,431,2626.96,172,1453.89,0,0.0,603,4080.86
81,17,17380,la dorada,caldas,1955,4311.26,224,13126.52,430,54268.97,0,0.0,654,67395.5
82,17,17001,manizales,caldas,1955,118740.68,573,1123.93,413,2169.29,0,0.0,986,3293.22
83,17,17433,manzanares,caldas,1955,15385.71,1428,12092.33,308,3817.82,0,0.0,1736,15910.15
84,17,66440,marsella,caldas,1955,13763.53,345,3680.26,141,1673.75,0,0.0,486,5354.01
85,17,17513,pacora,caldas,1955,16619.07,325,2666.81,80,1298.9,0,0.0,405,3965.71
86,17,17524,palestina,caldas,1955,8258.29,55,1551.73,15,1036.3,0,0.0,70,2588.03
87,17,17541,pensilvania,caldas,1955,24602.85,966,3891.78,472,2139.06,0,0.0,1438,6030.84
88,17,66001,pereira,caldas,1955,105900.61,661,1087.04,569,2729.23,0,0.0,1230,3816.27
89,17,63548,pijao,caldas,1955,2005.88,117,18401.95,48,12136.6,0,0.0,165,30538.55
90,17,17614,riosucio,caldas,1955,29090.58,1704,2532.4,133,832.83,0,0.0,1837,3365.23
91,17,17653,salamina,caldas,1955,19816.14,589,2869.37,347,3694.73,0,0.0,936,6564.11
92,17,66682,santa rosa de cabal,caldas,1955,21286.46,609,2955.66,529,4806.38,0,0.0,1138,7762.04
93,17,66687,santuario,caldas,1955,13606.78,459,5739.76,185,3133.11,0,0.0,644,8872.87
94,18,18001,florencia,caqueta,1955,17426.81,1357,7406.57,491,7078.19,0,0.0,1848,14484.76
95,19,19100,bolivar,cauca,1955,23036.84,1219,5507.06,518,2866.34,0,0.0,1737,8373.4
96,19,19142,caloto,cauca,1955,14608.21,493,3567.41,284,4647.38,0,0.0,777,8214.79
97,19,19256,el tambo,cauca,1955,15672.41,915,2594.95,184,1617.57,0,0.0,1099,4212.52
