,Cod Dep,cod_mpio,Oficina,Departamento,Anio,Poblacion,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
0,91,91001,leticia,amazonas,1959,2448.34,90,39.36,53,51.28,0,0.0,143,90.63
1,5,5002,abejorral,antioquia,1959,25021.57,379,11.92,127,5.88,13,2.62,519,20.42
2,5,5031,amalfi,antioquia,1959,9603.58,346,38.44,177,37.51,1,0.5,524,76.44
3,5,5034,andes,antioquia,1959,27590.89,351,19.52,184,16.96,130,14.91,665,51.4
4,5,5093,betulia,antioquia,1959,8892.85,215,36.34,67,19.83,14,8.96,296,65.13
5,5,5101,bolivar,antioquia,1959,19094.82,273,34.1,159,23.25,63,17.1,495,74.45
6,5,5154,caucasia,antioquia,1959,4833.89,155,45.88,100,131.54,1,0.48,256,177.9
7,5,5138,cañasgordas,antioquia,1959,10022.0,418,26.53,246,23.75,35,12.1,699,62.38
8,5,5172,chigorodo,antioquia,1959,1540.75,62,26.51,46,74.88,0,0.0,108,101.39
9,5,5190,cisneros,antioquia,1959,4729.61,343,24.3,121,41.77,37,14.79,501,80.86
10,5,5209,concordia,antioquia,1959,11756.72,181,27.98,58,11.57,25,7.16,264,46.71
11,5,5234,dabeiba,antioquia,1959,9459.2,310,33.15,200,40.3,3,1.56,513,75.0
12,5,5282,fredonia,antioquia,1959,18064.58,892,90.54,212,39.29,120,12.9,1224,142.72
13,5,5284,frontino,antioquia,1959,12772.31,367,17.53,215,22.77,24,7.5,606,47.8
14,5,5313,granada,antioquia,1959,10542.68,565,19.8,280,12.5,6,0.91,851,33.21
15,5,5361,ituango,antioquia,1959,16104.31,624,34.0,132,19.0,4,1.1,760,54.09
16,5,5364,jardin,antioquia,1959,9649.34,158,18.0,203,39.16,57,14.89,418,72.05
17,5,5368,jerico,antioquia,1959,14861.38,334,40.84,137,19.83,57,7.59,528,68.26
18,5,5376,la ceja,antioquia,1959,10584.26,309,35.88,356,39.65,79,20.01,744,95.53
19,5,5411,liborina,antioquia,1959,7937.81,466,34.85,164,29.93,59,16.42,689,81.2
20,5,5440,marinilla,antioquia,1959,12004.72,510,18.64,359,17.34,130,18.46,999,54.44
21,5,5001,medellin,antioquia,1959,418104.6,1760,5.27,1816,17.54,505,4.25,4081,27.06
22,5,5579,puerto berrio,antioquia,1959,16530.36,44,6.14,129,27.69,0,0.0,173,33.83
23,5,5604,remedios,antioquia,1959,5904.34,193,29.28,222,83.24,5,2.48,420,115.01
24,5,5615,rionegro,antioquia,1959,20231.51,392,7.26,384,13.7,61,6.01,837,26.98
25,5,5642,salgar,antioquia,1959,13668.15,108,22.79,106,22.97,41,17.35,255,63.11
26,5,5649,san carlos,antioquia,1959,10680.81,308,22.64,307,31.45,1,0.17,616,54.27
27,5,5670,san roque,antioquia,1959,13195.21,307,8.28,186,19.79,29,3.36,522,31.43
28,5,5679,santa barbara,antioquia,1959,16769.57,308,20.64,83,8.46,50,7.28,441,36.38
29,5,5686,santa rosa de osos,antioquia,1959,16463.54,98,4.5,431,47.92,12,1.94,541,54.36
30,5,5042,santafe de antioquia,antioquia,1959,13708.5,371,13.92,88,8.92,24,3.57,483,26.4
31,5,5697,santuario,antioquia,1959,11973.03,560,25.98,371,16.79,55,5.88,986,48.65
32,5,5756,sonson,antioquia,1959,32312.65,672,11.56,72,3.01,128,5.53,872,20.09
33,5,5761,sopetran,antioquia,1959,12668.68,613,23.98,175,23.06,85,19.14,873,66.18
34,5,5789,tamesis,antioquia,1959,14387.49,552,31.8,149,19.48,105,16.33,806,67.6
35,5,5837,turbo,antioquia,1959,8630.79,284,23.74,183,58.91,0,0.0,467,82.66
36,5,5847,urrao,antioquia,1959,16931.11,376,15.96,300,25.7,94,10.76,770,52.43
37,5,5887,yarumal,antioquia,1959,21743.44,808,22.68,433,46.38,129,18.94,1370,88.0
38,5,5890,yolombo,antioquia,1959,21150.79,281,8.81,112,19.13,6,0.45,399,28.39
39,81,81001,arauca,arauca,1959,5899.8,64,15.52,698,100.68,0,0.0,762,116.2
40,81,81794,tame,arauca,1959,45555.91,169,6.29,765,20.8,4,0.18,938,27.27
41,8,8001,barranquilla,atlantico,1959,313707.75,1424,9.3,533,9.71,122,1.33,2079,20.34
42,8,8638,sabanalarga,atlantico,1959,19697.98,1287,22.64,351,39.6,22,3.63,1660,65.87
43,13,13140,calamar,bolivar,1959,11851.69,881,56.8,246,65.55,3,1.55,1130,123.89
44,13,13001,cartagena,bolivar,1959,147746.16,1423,12.53,897,29.69,112,4.49,2432,46.71
45,13,70215,corozal,bolivar,1959,16509.34,141,8.66,359,61.25,90,14.38,590,84.29
46,13,13244,el carmen,bolivar,1959,25163.66,242,8.03,298,36.94,129,21.48,669,66.45
47,13,13430,magangue,bolivar,1959,41746.37,489,13.27,546,46.13,22,2.33,1057,61.73
48,13,70429,majagual,bolivar,1959,7592.7,122,22.95,143,51.77,0,0.0,265,74.72
49,13,13442,maria la baja,bolivar,1959,7185.25,254,20.61,179,53.0,12,8.11,445,81.72
50,13,13468,mompos,bolivar,1959,14801.42,219,34.53,564,115.92,16,3.49,799,153.94
51,13,70508,ovejas,bolivar,1959,9925.87,144,16.07,190,41.83,28,10.45,362,68.36
52,13,13657,san juan nepomuceno,bolivar,1959,10977.2,411,17.23,330,64.65,55,15.62,796,97.5
53,13,70713,san onofre,bolivar,1959,17281.68,758,28.66,296,42.12,1,1.16,1055,71.95
54,13,70742,since,bolivar,1959,10383.52,403,49.41,482,99.42,71,17.21,956,166.04
55,13,70001,sincelejo,bolivar,1959,34994.59,906,28.72,452,66.11,40,8.18,1398,103.01
56,13,70771,sucre,bolivar,1959,13408.97,77,16.57,190,32.29,1,0.68,268,49.54
57,15,15176,chiquinquira,boyaca,1959,19308.16,1417,67.89,523,39.11,117,16.98,2057,123.97
58,15,15238,duitama,boyaca,1959,27101.19,824,25.74,191,20.49,116,10.05,1131,56.28
59,15,15244,el cocuy,boyaca,1959,8239.55,493,39.58,257,41.42,42,18.99,792,99.99
60,15,15248,el espino,boyaca,1959,4406.36,849,85.07,123,28.45,28,16.22,1000,129.74
61,15,15299,garagoa,boyaca,1959,8614.33,1313,113.07,294,51.34,102,24.47,1709,188.88
62,15,15322,guateque,boyaca,1959,7147.05,1305,95.37,159,36.87,61,18.08,1525,150.31
