,Cod Dep,cod_mpio,Oficina,Departamento,Anio,Poblacion,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
59,17,17013,aguadas,caldas,1954,17991.87,796,5172.21,136,1944.32,0,0.0,932,7116.53
60,17,17042,anserma,caldas,1954,22056.12,722,3942.93,142,1179.32,0,0.0,864,5122.25
61,17,66045,apia,caldas,1954,16735.83,526,4885.93,265,1805.87,0,0.0,791,6691.8
62,17,17050,aranzazu,caldas,1954,13860.66,441,3027.95,145,1813.31,0,0.0,586,4841.26
63,17,63001,armenia,caldas,1954,66596.41,1053,3054.27,425,2104.27,0,0.0,1478,5158.54
64,17,17088,belalcazar,caldas,1954,7238.1,264,7953.73,38,1759.63,0,0.0,302,9713.37
65,17,63130,calarca,caldas,1954,56227.39,463,1898.62,214,856.41,0,0.0,677,2755.03
66,17,63272,filandia,caldas,1954,11732.69,355,2903.89,138,1189.25,0,0.0,493,4093.14
67,17,17380,la dorada,caldas,1954,4267.63,293,20780.68,333,42778.77,0,0.0,626,63559.45
68,17,17001,manizales,caldas,1954,114108.99,754,1469.63,258,1542.38,0,0.0,1012,3012.01
69,17,17433,manzanares,caldas,1954,14720.64,1016,7687.0,185,2278.02,0,0.0,1201,9965.02
70,17,66440,marsella,caldas,1954,13549.45,314,3409.35,123,966.61,0,0.0,437,4375.96
71,17,17541,pensilvania,caldas,1954,24657.21,932,3949.25,304,1208.84,0,0.0,1235,5158.08
72,17,66001,pereira,caldas,1954,102061.71,574,1122.72,334,1757.28,0,0.0,908,2880.0
73,17,63548,pijao,caldas,1954,1995.71,120,17000.67,61,12062.39,0,0.0,181,29063.06
74,17,17614,riosucio,caldas,1954,28770.44,1549,2486.63,139,1061.97,0,0.0,1688,3548.6
75,17,17653,salamina,caldas,1954,19440.01,526,2438.54,329,3160.7,0,0.0,855,5599.24
76,17,66682,santa rosa de cabal,caldas,1954,20677.5,563,2778.59,427,3741.06,0,0.0,990,6519.65
77,17,66687,santuario,caldas,1954,12627.82,393,5150.99,171,2632.88,0,0.0,564,7783.87
78,18,18001,florencia,caqueta,1954,16896.49,1267,6550.77,480,7049.21,0,0.0,1747,13599.98
79,19,19100,bolivar,cauca,1954,22544.64,926,4301.49,281,1643.92,0,0.0,1207,5945.41
80,19,19142,caloto,cauca,1954,14295.78,467,4042.17,190,2757.63,0,0.0,657,6799.81
81,19,19256,el tambo,cauca,1954,15274.57,775,2297.58,153,1149.25,0,0.0,928,3446.83
82,19,19001,popayan,cauca,1954,40406.17,1899,4741.7,371,4628.66,0,0.0,2270,9370.36
83,19,19573,puerto tejada,cauca,1954,9874.93,336,2957.08,83,3711.98,0,0.0,419,6669.14
84,19,19698,santander,cauca,1954,14276.59,816,3752.48,180,2549.46,0,0.0,996,6301.95
85,27,27001,quibdo,choco,1954,16479.21,317,504.94,41,299.94,0,0.0,358,804.88
86,23,23068,ayapel,cordoba,1954,10075.0,402,7051.34,296,12309.15,0,0.0,698,19360.49
87,23,23162,cerete,cordoba,1954,10661.81,409,8358.07,268,9461.26,0,0.0,677,17819.32
88,23,23417,lorica,cordoba,1954,19204.54,1361,6622.27,318,6489.29,0,0.0,1679,13111.56
89,23,23001,monteria,cordoba,1954,52358.72,606,2083.76,231,2601.92,0,0.0,837,4685.68
90,23,23660,sahagun,cordoba,1954,20168.75,541,2127.17,430,6476.06,0,0.0,971,8603.22
91,23,23807,tierralta,cordoba,1954,8733.92,275,3579.16,70,2621.45,0,0.0,345,6200.61
92,25,25040,anolaima,cundinamarca,1954,15142.39,840,6337.26,297,3570.82,0,0.0,1137,9908.08
93,25,25053,arbelaez,cundinamarca,1954,7409.09,709,9246.54,147,4964.7,0,0.0,856,14211.24
94,25,11001,bogota,cundinamarca,1954,639443.54,1426,830.44,1064,1265.61,0,0.0,2490,2096.05
95,25,25151,caqueza,cundinamarca,1954,10645.28,743,6833.48,74,842.19,0,0.0,817,7675.68
96,25,25175,chia,cundinamarca,1954,8415.22,199,3265.69,80,2454.47,0,0.0,279,5720.15
97,25,25183,choconta,cundinamarca,1954,9075.4,1976,18313.54,96,2916.97,0,0.0,2072,21230.51
98,25,25269,facatativa,cundinamarca,1954,15307.42,1097,9971.13,181,4476.17,0,0.0,1278,14447.3
99,25,25279,fomeque,cundinamarca,1954,8626.71,548,5639.17,320,5202.84,0,0.0,868,10842.01
100,25,25290,fusagasuga,cundinamarca,1954,18445.07,974,4698.9,583,4280.75,0,0.0,1557,8979.66
101,25,25293,gachala,cundinamarca,1954,7260.71,501,5796.15,87,1994.49,0,0.0,588,7790.64
102,25,25297,gacheta,cundinamarca,1954,12184.38,1619,9389.5,199,1944.42,0,0.0,1818,11333.92
103,25,25307,girardot,cundinamarca,1954,35693.58,670,3008.22,195,3610.44,0,0.0,865,6618.66
104,25,25322,guasca,cundinamarca,1954,4683.25,221,5181.73,48,2263.22,0,0.0,269,7444.95
105,25,25326,guatavita,cundinamarca,1954,4044.46,432,10978.2,77,3630.69,0,0.0,509,14608.9
106,25,25377,la calera,cundinamarca,1954,6106.44,262,4646.37,130,5604.98,0,0.0,392,10251.35
107,25,25386,la mesa,cundinamarca,1954,11641.93,1299,9135.12,201,6108.66,0,0.0,1500,15243.78
108,25,25394,la palma,cundinamarca,1954,12431.24,666,3309.56,151,2735.79,0,0.0,817,6045.34
109,25,25398,la peña,cundinamarca,1954,6082.4,243,2532.01,46,1965.47,0,0.0,289,4497.48
110,25,25438,medina,cundinamarca,1954,5683.34,196,5807.99,641,6699.41,0,0.0,837,12507.4
111,25,25513,pacho,cundinamarca,1954,18688.58,1121,5800.64,184,3479.14,0,0.0,1305,9279.78
112,25,25662,san juan de rioseco,cundinamarca,1954,9761.45,850,12092.63,104,3520.75,0,0.0,954,15613.39
113,25,25718,sasaima,cundinamarca,1954,5456.29,280,4329.72,137,4217.39,0,0.0,417,8547.03
114,25,25754,soacha,cundinamarca,1954,12136.25,600,8125.58,90,2011.29,0,0.0,690,10136.87
115,25,25758,sopo,cundinamarca,1954,2470.58,145,8511.48,53,4633.95,0,0.0,198,13145.43
116,25,25843,ubate,cundinamarca,1954,8844.25,1127,13831.49,219,7340.62,0,0.0,1346,21172.12
117,25,25845,une,cundinamarca,1954,4536.28,875,17441.09,132,4418.17,0,0.0,1007,21859.26
118,25,25862,vergara,cundinamarca,1954,8438.64,691,9068.45,119,1595.38,0,0.0,810,10663.83
119,25,25875,villeta,cundinamarca,1954,9054.58,328,4531.02,87,3387.73,0,0.0,415,7918.75
120,25,25899,zipaquira,cundinamarca,1954,17266.48,381,3123.31,117,2659.25,0,0.0,498,5782.57
121,44,44001,riohacha,guajira,1954,7042.56,522,9732.82,119,3282.13,0,0.0,641,13014.96
122,44,44650,san juan del cesar,guajira,1954,8420.26,794,16158.14,487,12839.33,0,0.0,1281,28997.47
123,44,44874,villanueva,guajira,1954,5352.94,771,25165.11,244,15294.09,0,0.0,1015,40459.2
124,41,41006,acevedo,huila,1954,1509.88,540,20755.67,92,9232.6,0,0.0,632,29988.27
125,41,41078,baraya,huila,1954,5539.68,186,5567.38,214,5153.86,0,0.0,400,10721.24
