,Cod Dep,cod_mpio,Oficina,Departamento,Anio,Poblacion,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
0,91,91001,leticia,amazonas,1960,2459.13,71,29.11,52,39.77,0,0.0,123,68.88
1,5,5002,abejorral,antioquia,1960,24600.09,352,12.37,151,6.67,13,2.07,516,21.1
2,5,5031,amalfi,antioquia,1960,9809.26,363,40.24,188,39.45,2,3.15,553,82.84
3,5,5034,andes,antioquia,1960,27226.41,407,21.34,186,12.87,121,11.35,714,45.56
4,5,5059,armenia,antioquia,1960,5704.56,218,63.44,58,35.01,15,9.15,291,107.6
5,5,5093,betulia,antioquia,1960,9168.99,198,36.37,78,16.93,12,6.28,288,59.58
6,5,5101,bolivar,antioquia,1960,20179.67,296,33.78,150,16.18,53,10.99,499,60.96
7,5,5154,caucasia,antioquia,1960,4867.28,163,40.87,127,123.35,0,0.0,290,164.23
8,5,5138,cañasgordas,antioquia,1960,10484.52,441,23.17,234,18.89,32,8.73,707,50.78
9,5,5172,chigorodo,antioquia,1960,1738.64,204,80.51,153,164.74,0,0.0,357,245.25
10,5,5190,cisneros,antioquia,1960,4817.75,324,19.79,128,37.17,37,11.56,489,68.52
11,5,5209,concordia,antioquia,1960,11832.59,194,26.94,61,9.58,23,5.97,278,42.49
12,5,5234,dabeiba,antioquia,1960,10848.71,346,31.18,224,31.19,4,1.21,574,63.59
13,5,5282,fredonia,antioquia,1960,18430.35,857,86.42,136,23.86,92,7.14,1085,117.42
14,5,5284,frontino,antioquia,1960,13655.43,424,18.12,220,23.82,19,5.01,663,46.95
15,5,5313,granada,antioquia,1960,10765.7,663,21.37,336,12.91,7,0.93,1006,35.22
16,5,5361,ituango,antioquia,1960,16280.74,573,30.97,112,13.97,7,1.5,692,46.43
17,5,5364,jardin,antioquia,1960,9860.8,176,22.33,187,30.58,61,12.81,424,65.73
18,5,5368,jerico,antioquia,1960,15213.43,341,37.21,131,19.2,49,5.61,521,62.02
