Departamento,Anio,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
amazonas,1954,17,1494000,4,3025000,0,0,21,4519000
antioquia,1954,14336,1582039020,5152,1642250692,0,0,19488,3224289512
arauca,1954,189,49806045,1572,220004500,0,0,1761,269810545
atlantico,1954,1381,225040751,365,196091894,0,0,1746,421132645
bolivar,1954,4382,556771211,3457,1523169811,0,0,6839,2079941022
boyaca,1954,27349,2662642557,7767,1296163524,0,0,35116,3959806081
caldas,1954,11654,1860969626,4167,1356254445,0,0,15820,3217224071
caqueta,1954,1267,128047449,480,137790281,0,0,1747,265837730
cauca,1954,5219,537042940,1258,409665826,0,0,6477,946709766
choco,1954,317,9626285,41,5718022,0,0,358,15344307
cordoba,1954,3594,544417025,1613,739530688,0,0,5207,1283947713
cundinamarca,1954,21019,2949209098,5859,2155903026,0,0,26878,5105111624
guajira,1954,2087,392531747,850,246519853,0,0,2937,639051600
huila,1954,5370,700660902,2656,645197244,0,0,8026,1345858146
magdalena,1954,3008,724352990,2822,1123883722,0,0,5830,1848236712
meta,1954,1934,494052907,5445,585281532,0,0,7379,1079334439
nariño,1954,6376,677264367,2456,529097277,0,0,8832,1206361644
norte de santander,1954,6196,961531252,2356,840176250,0,0,8552,1801707502
putumayo,1954,184,8587500,441,46625749,0,0,625,55213249
san andres y providencia,1954,75,5256200,17,2071243,0,0,92,7327443
santander,1954,10902,1108694368,4488,1026167191,0,0,15390,2134861559
tolima,1954,12547,1789842098,5121,1706159205,0,0,17668,3496001303
valle del cauca,1954,7746,1266973285,4360,1508340037,0,0,12106,2775313322
