Departamento,Anio,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
antioquia,1953,12009,1379587224,3680,911284757,0,0,15689,2290861881
arauca,1953,127,19140765,81,24257777,0,0,208,43398542
atlantico,1953,1270,230712882,328,168048160,0,0,1598,398761042
bolivar,1953,3869,383180663,3167,1133054902,0,0,7036,1516235545
boyaca,1953,26069,2190930189,3239,676104522,0,0,29308,2867034701
caldas,1953,10832,1453122405,3553,985939101,0,0,14385,2437960516
caqueta,1953,1004,82947408,407,102934456,0,0,1411,185881864
cauca,1953,5454,483979888,1139,350806891,0,0,6593,834786779
choco,1953,147,4288428,15,2899541,0,0,162,7187969
cordoba,1953,3355,457327165,1341,526078317,0,0,4696,983405482
cundinamarca,1953,18891,2166381321,3564,1378473354,0,0,22455,3544834675
huila,1953,5144,597240880,1599,439459175,0,0,6743,1036700115
magdalena,1953,4502,842021621,3159,1071187048,0,0,7661,1913208799
meta,1953,977,227041583,2463,260340066,0,0,3440,487381649
nariño,1953,5460,525029547,2336,448689803,0,0,7796,973629350
norte de santander,1953,5627,752946951,2017,679777565,0,0,7644,1432724576
putumayo,1953,156,9756123,334,47095302,0,0,490,56851425
san andres y providencia,1953,94,3863400,13,1216000,0,0,107,5079400
santander,1953,8875,784110935,2929,652084529,0,0,11804,1436195464
tolima,1953,10644,1387066820,3347,1176806461,0,0,13991,2563873271
valle del cauca,1953,7879,1187702756,3702,1205013764,0,0,11581,2392656520
