Departamento,Anio,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
antioquia,1952,11666,1285213072,2786,910627748,0,0,14452,2195840820
arauca,1952,144,20562546,91,26686870,0,0,235,47249416
atlantico,1952,1109,272014795,281,171672950,0,0,1390,443687745
bolivar,1952,3633,295681197,2954,1011291264,0,0,6587,1306972651
boyaca,1952,27304,2145348193,2082,539870401,0,0,29386,2685218594
caldas,1952,10119,1328524086,2988,903969088,0,0,13107,2232493174
caqueta,1952,1054,73933017,298,95063676,0,0,1352,168996693
cauca,1952,4289,356750088,992,294844542,0,0,5281,651594632
cordoba,1952,3659,433547892,1262,473615310,0,0,4921,907157204
cundinamarca,1952,17339,2015461997,2483,1064508812,0,0,19824,3079070821
huila,1952,4596,487238620,1151,298694229,0,0,5747,785932849
magdalena,1952,2338,414778061,2996,947031009,0,0,5334,1361799070
meta,1952,860,137571167,149,54251109,0,0,1009,191822276
nariño,1952,5037,420960638,2341,448114154,0,0,7378,869074792
norte de santander,1952,5095,633887896,1512,500213943,0,0,6607,1134101839
putumayo,1952,81,4555000,91,14159000,0,0,172,18714000
san andres y providencia,1952,78,2926200,4,390000,0,0,82,3316200
santander,1952,8128,739663586,2018,557316880,0,0,10146,1296980466
tolima,1952,9263,1227834901,2781,932613819,0,0,12044,2160453700
valle del cauca,1952,6946,980239561,2786,1022557686,0,0,9732,2002800447
