Departamento,Anio,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
amazonas,1955,11,1655000,18,8192400,0,0,29,9847400
antioquia,1955,15563,2055771331,6851,2473534528,0,0,22414,4529305859
arauca,1955,243,58558000,1689,293059877,0,0,1932,351617877
atlantico,1955,1557,229431983,585,380899903,0,0,2142,610331886
bolivar,1955,4367,646766506,4277,2168704337,0,0,8644,2815470843
boyaca,1955,27742,2672585006,8207,1749282068,0,0,35949,4421867074
caldas,1955,13448,2134833626,5557,2047541300,0,0,19005,4182354926
caqueta,1955,1357,151850407,491,145118002,0,0,1848,296968409
cauca,1955,5653,572675676,1917,585736580,0,0,7570,1158412256
choco,1955,480,10677675,49,6362433,0,0,529,17040108
cordoba,1955,3310,553687496,2178,1138690541,0,0,5488,1692378037
cundinamarca,1955,22139,2987508822,7933,3381872033,0,0,30072,6369380855
guajira,1955,1432,277498592,1003,334838608,0,0,2435,612337200
huila,1955,5517,691660085,3060,810060651,0,0,8577,1501720736
magdalena,1955,2808,663329049,3170,1402515395,0,0,5978,2065844444
meta,1955,2259,652888656,5284,742680232,0,0,7543,1395568888
nariño,1955,7512,837335186,3379,711289845,0,0,10891,1548625031
norte de santander,1955,6538,975825422,2944,1129120310,0,0,9482,2104945732
san andres y providencia,1955,103,5979176,23,2861903,0,0,126,8841079
santander,1955,13020,1333580661,5577,1546459277,0,0,18597,2880039938
tolima,1955,12262,1754134504,6238,2129372011,0,0,18500,3883506515
valle del cauca,1955,8419,1416636616,5494,2146247967,0,0,13913,3562884583
vaupes,1955,42,12100000,0,0,0,0,42,12100000
vichada,1955,6,2370000,5,1810000,0,0,11,4180000
