Departamento,Anio,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
amazonas,1958,50,92875,52,167195,9,45000,111,305070
antioquia,1958,14566,23382002,7828,28954540,2178,11067313,24572,63403855
arauca,1958,171,339891,1502,2467912,0,0,1673,2807803
atlantico,1958,2707,4038166,817,4847600,145,920611,3669,9806377
bolivar,1958,5925,9332410,5048,24992013,560,4041231,11533,38365654
boyaca,1958,27217,30085777,6630,15747649,2131,8583716,35978,54411142
caldas,1958,10891,21968538,4599,18586551,1767,9867462,17257,50422551
caqueta,1958,997,1568128,497,1664683,14,49866,1508,3282677
cauca,1958,4936,5616477,1638,7046737,1065,3377517,7639,16040731
choco,1958,524,192775,91,163163,28,73044,643,428982
cordoba,1958,3695,7434824,3006,17150296,141,964401,6842,25549521
cundinamarca,1958,21030,37077077,7697,38906477,4491,22566806,32218,96652885
guajira,1958,1197,2574714,951,3716816,148,781980,2296,7073510
huila,1958,5222,9938145,2936,10356103,561,2920239,8719,23214487
magdalena,1958,2620,7886684,3183,17437909,400,2019661,6203,27344254
meta,1958,2490,5785211,4823,8579580,199,1014871,7512,15379662
nariño,1958,8226,10430223,3072,7552889,492,2399743,11790,20382855
norte de santander,1958,5868,10417531,2183,8757218,551,3006510,8602,22181259
putumayo,1958,259,151673,496,665260,47,184620,802,1001553
san andres y providencia,1958,88,89254,12,24962,0,0,100,114216
santander,1958,13426,17524864,6053,18812110,826,5084108,20305,41421082
tolima,1958,12016,21924157,6415,28152491,1694,8719465,20125,58796114
valle del cauca,1958,7042,15680060,4177,23722577,1797,9521933,13016,48924570
vaupes,1958,177,1142401,0,0,0,0,177,1142401
vichada,1958,34,73071,13,59946,0,0,47,133017
