Departamento,Anio,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
amazonas,1962,141,418873,54,190912,0,0,195,609785
antioquia,1962,18979,43760643,12183,58685710,2190,10481438,33352,112927791
arauca,1962,278,1189256,1507,4028332,4,13900,1789,5231488
atlantico,1962,2958,6073363,1203,11001568,120,550595,4281,17625526
bolivar,1962,11588,25170558,7182,54607569,585,4370227,19355,84148354
boyaca,1962,32315,56536386,9699,34269482,1952,8902895,43966,99708763
caldas,1962,13066,33920325,7137,37967546,1935,11956036,22138,83843907
caqueta,1962,3801,6645800,2229,9248592,373,1603811,6403,17498203
cauca,1962,8145,11066300,3835,16673247,1216,5077580,13196,32817127
choco,1962,429,380574,132,269605,31,171456,592,821635
cordoba,1962,10519,25503418,4557,42011804,143,1680263,15219,69195485
cundinamarca,1962,23457,51806613,8863,31530673,3228,17221170,35548,100558456
guajira,1962,2234,8202655,1315,9616547,163,982237,3712,18801439
huila,1962,8894,23433859,7301,29281838,909,6204077,17104,58919774
magdalena,1962,8076,32386613,5867,54355139,429,2378979,14372,89120731
meta,1962,4714,13540693,5947,21724831,360,2398217,11021,37663741
nariño,1962,11478,20286849,4623,12365057,657,2877775,16758,35529681
norte de santander,1962,9316,22002906,3548,20011869,462,2991643,13326,45006418
putumayo,1962,446,684757,931,1907221,78,450322,1455,3042300
san andres y providencia,1962,87,121380,11,50529,0,0,98,171909
santander,1962,22423,45638205,10312,48965663,1194,9141320,33929,103745188
tolima,1962,15784,37765035,13307,50825533,2125,22049056,31216,110639624
valle del cauca,1962,6277,19446945,5925,45356148,1917,10845876,14119,75648969
vaupes,1962,42,251120,1,5670,0,0,43,256790
vichada,1962,32,88539,20,90139,0,0,52,178678
