Departamento,Anio,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
amazonas,1956,26,5374000,19,3572000,0,0,45,8946000
antioquia,1956,15950,2124742759,8352,3073880322,0,0,24302,5199623181
arauca,1956,189,34235823,1817,319604453,0,0,2006,353840276
atlantico,1956,1874,260155147,772,484775966,0,0,2646,744931113
bolivar,1956,4177,671831771,4969,2482157190,0,0,9146,3153988861
boyaca,1956,27330,2693062306,8804,1917514545,0,0,36134,4610576851
caldas,1956,12935,2201543931,6455,2499973918,0,0,19390,4701517849
caqueta,1956,1099,117621816,481,135352591,0,0,1580,252974407
cauca,1956,5249,541022759,2021,610541888,0,0,7270,1151564647
choco ,1956,628,28700501,94,16017450,0,0,722,44717951
cordoba,1956,3056,500860775,2713,1408336239,0,0,5769,1909197014
cundinamarca,1956,20128,2953557317,8834,4512152182,0,0,28780,7474809499
guajira,1956,1039,224599950,1073,377233348,0,0,2112,601833298
huila,1956,5511,745410631,3176,885850450,0,0,8687,1631261081
magadalena,1956,2135,509235742,3245,1566131136,0,0,5380,2075366878
meta,1956,2264,532891038,5056,885612470,0,0,7320,1418503508
nariño,1956,7287,847031111,3685,803945989,0,0,10972,1650977100
norte de santander,1956,6429,949852014,3131,1214846006,0,0,9560,2164698020
san andres y providencia,1956,83,5056600,22,1791300,0,0,105,6847900
santander,1956,13757,1457894475,6296,1924466524,0,0,20053,3382360999
tolima,1956,11314,1632206956,6122,2223584796,0,0,17436,3855791752
valle del cauca,1956,7762,1412297023,5767,2591557908,0,0,13529,4003854931
vaupes,1956,86,32800000,0,0,0,0,86,32800000
vichada,1956,56,13025000,17,7520000,0,0,73,20545000
