Departamento,Anio,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
amazonas,1960,71,133358,52,182176,0,0,123,315534
antioquia,1960,16404,31389289,9928,38894893,2089,9291917,28421,79576099
arauca,1960,276,943938,1429,2925040,4,13900,1709,3882878
atlantico,1960,2738,6458859,941,6995110,135,732180,3814,14186149
bolivar,1960,6524,12572746,5496,34475465,571,3853642,12591,50901853
boyaca,1960,28035,39917083,7501,21361110,2008,7842968,37544,69121161
caldas,1960,13562,29298687,5687,26781589,1720,8796281,20969,64876556
caqueta,1960,1121,2050320,1106,4615566,93,380408,2320,7046294
cauca,1960,6432,8120692,2711,11680953,1118,3572132,10261,23373777
choco,1960,490,306835,90,156511,29,88569,609,551915
cordoba,1960,5771,13407970,3913,29348572,138,1071115,9822,43827657
cundinamarca,1960,22529,49158858,10236,54660348,4768,29721192,37533,133540400
guajira,1960,1555,4293855,928,5091198,155,777678,2638,10162731
huila,1960,7100,15360736,6250,24034988,689,3211098,14039,42606822
magdalena,1960,4286,14248146,3808,26371993,427,2004270,8521,42624409
meta,1960,2917,6546062,5279,14506794,275,1564519,8471,22617375
nariño,1960,9735,14579890,3477,9752887,533,2391927,13745,26724704
norte de santander,1960,6674,13228132,2472,12035451,465,2486787,9611,27750370
putumayo,1960,364,410199,760,1106709,62,219767,1186,1736675
san andres y providencia,1960,89,164761,12,41385,0,0,101,206146
santander,1960,18440,29689566,7284,28889780,851,5299633,26575,63878979
tolima,1960,15356,31862885,12926,51482102,1641,12469012,29923,95813999
valle del cauca,1960,7367,17333175,5507,34554946,1788,9063016,14662,60951137
vaupes,1960,180,928683,1,3749,0,0,181,932432
vichada,1960,26,66360,11,36658,0,0,37,103018
