Departamento,Anio,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
amazonas,1959,90,168159,53,219083,0,0,143,387242
antioquia,1959,15293,24853235,9090,34947280,2188,10619433,26571,70419948
arauca,1959,233,660173,1463,2689994,4,14300,1700,3364467
atlantico,1959,2711,5867664,884,6676879,144,853389,3739,13397932
bolivar,1959,6470,11937611,5172,29931519,580,4251811,12222,46120941
boyaca,1959,28075,35094394,7170,18545184,2128,8793233,37373,62432811
caldas,1959,12734,26756745,5167,22969642,1788,9579060,19689,59305447
caqueta,1959,1032,1846062,625,2434235,58,217669,1715,4497966
cauca,1959,5490,6578863,2371,10257317,1097,3453123,8958,20289303
choco,1959,482,192934,89,189084,29,94035,600,476053
cordoba,1959,5215,11820665,3470,24558918,151,1111782,8836,37491365
cundinamarca,1959,21708,43370590,9590,49779603,4812,25677531,36110,118827724
guajira,1959,1567,4124617,951,5185712,163,861311,2681,10171640
huila,1959,6252,12122174,5713,21615625,645,3125828,12610,36863627
magdalena,1959,3491,12054016,3649,24409390,427,2048538,7567,38511944
meta,1959,2592,5936874,4916,10816471,252,1446908,7760,18200253
nariño,1959,8610,11975151,3308,8335442,515,2526967,12433,22837560
norte de santander,1959,6222,11696591,2156,9371840,500,2766435,8878,23834866
putumayo,1959,343,238278,643,842429,54,206413,1040,1287120
san andres y providencia,1959,87,138620,11,19760,0,0,98,158380
santander,1959,14816,21591245,6657,23031475,806,5127732,22279,49750452
tolima,1959,13760,26423302,11784,48209381,1618,8479140,27162,83111823
valle del cauca,1959,7392,15859646,5143,32701523,1810,9472407,14345,58033576
vaupes,1959,177,1107197,1,4583,0,0,178,1111780
vichada,1959,35,70920,15,55705,0,0,50,126625
