Departamento,Anio,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
amazonas,1957,48,135561,37,80294,0,0,85,215855
antioquia,1957,14653,20791183,8805,34755685,0,0,23458,55446868
arauca,1957,174,286914,1603,2822316,0,0,1777,3109230
atlantico,1957,2247,2843734,843,4731913,0,0,3090,7575647
bolivar,1957,4600,7283469,5333,25615712,0,0,9933,32900181
boyaca,1957,25718,26251992,7988,18315349,0,0,33706,44567341
caldas,1957,10584,19570942,6169,26228774,0,0,16753,45799716
caqueta,1957,901,1100096,456,1290215,0,0,1357,2390311
cauca,1957,4945,5224157,1872,5541627,0,0,6817,10765784
choco,1957,580,228127,94,146337,0,0,674,374464
cordoba,1957,2844,5093772,2771,14566750,0,0,5615,19660522
cundinamarca,1957,18994,30639404,9166,48190640,0,0,28160,78830044
guajira,1957,1022,2104398,979,3468977,0,0,2001,5573375
huila,1957,4702,7748970,3193,9477092,0,0,7895,17226062
magdalena,1957,2199,5675062,3149,14654846,0,0,5348,20329908
meta,1957,2296,4920000,4886,8258183,0,0,7182,13178183
nariño,1957,7276,8767601,3622,8411105,0,0,10898,17178706
norte de santander,1957,5588,9063359,2744,10871814,0,0,8332,19935673
san andres y providencia,1957,93,108150,16,22942,0,0,109,131092
santander,1957,12239,13658856,6813,21051232,0,0,19052,34710088
tolima,1957,11435,17863926,5869,22429532,0,0,17304,40293458
valle del cauca,1957,7000,14092574,5436,27587967,0,0,12436,41680541
vaupes,1957,157,626450,0,9,0,0,157,626450
vichada,1957,42,118574,17,59627,0,0,59,178201
