,index,Departamento,Municipio,codmpio,1951_educ,1964_educ,1964_educ_r,cambio_educ,municipio,depto,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor,index_y,gandina,gcaribe,gpacifica,gorinoquia,gamazonia,areaoficialhm2,altura,discapital,dismdo,disbogota,distancia_mercado,tratamiento,1918,1938,1951,1964,1973,numero_prestamos,CP - Promedio,MP - Promedio,LP - Promedio,T - Promedio
0,1.0,Antioquia,Abriaqui,5004.0,10684.52,59009.47,19416.019163044028,1.81721024089468,Abriaquí,Antioquia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,0,0,29300,1900,63.85463333129883,63.85463333129883,326.9407958984375,49.6290283203125,0,782.0,1256.0,1484.0,1942.0,2422.0,0.0,0.0,0.0,0.0,0.0
1,2.0,Antioquia,Alejandria,5021.0,10468.06,176863.13,58193.67503751427,5.559165216622208,Alejandría,Antioquia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,15100,1750,61.11421585083008,61.11421585083008,241.8260040283203,15.529275894165039,0,2988.0,6201.0,5899.0,9163.0,11004.0,0.0,0.0,0.0,0.0,0.0
2,3.0,Antioquia,Amaga,5030.0,42627.54,352135.32,115863.8794943361,2.7180522144683015,Amagá,Antioquia,439.0,43.21,111.0,25.29,66.0,11.79,616.0,80.29,4,1,0,0,0,0,8500,1400,29.878856658935547,29.878856658935547,247.8562774658203,24.32169532775879,1,3335.0,5361.0,4896.0,7313.0,10100.0,1.0,43.21,25.29,11.79,80.29
3,4.0,Antioquia,Amalfi,5031.0,43728.23,349407.99,114966.49994586794,2.629113960154983,Amalfi,Antioquia,3775.0,19711.09,1837.0,24446.07,8.0,9.85,5620.0,44166.99999999999,5,1,0,0,0,0,122400,1500,105.13086700439453,105.13086700439453,299.72821044921875,39.87382888793945,1,7785.0,14118.0,20379.0,18552.0,22278.0,8.0,2463.88625,3055.75875,1.23125,5520.874999999999
4,6.0,Antioquia,Angepolis,5036.0,18757.77,127275.34,41877.692519911536,2.232551764943889,Angelópolis,Antioquia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1,0,0,0,0,8700,1950,19.25767707824707,19.25767707824707,257.5822448730469,19.25767707824707,0,2707.0,4363.0,4350.0,5352.0,5279.0,0.0,0.0,0.0,0.0,0.0
5,7.0,Antioquia,Angostura,5038.0,36686.58,251389.45,82715.23839456783,2.2546456604722445,Angostura,Antioquia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,0,0,0,0,39200,1675,72.68952941894531,72.68952941894531,301.7247314453125,19.58009147644043,0,2457.0,3975.0,3708.0,5143.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8.0,Antioquia,Anori,5040.0,31021.94,238661.92,78527.47045870572,2.531352663911597,Anorí,Antioquia,82.0,12.25,39.0,6.13,0.0,0.0,121.0,18.38,9,1,0,0,0,0,144700,1550,117.60968780517578,117.60968780517578,329.56365966796875,41.32650375366211,1,2644.0,5279.0,4755.0,9816.0,8666.0,1.0,12.25,6.13,0.0,18.38
7,9.0,Antioquia,Antioquia,5042.0,43511.77,466497.17,153492.6172396703,3.527611431106349,Santafé de Antioquia,Antioquia,2074.0,1669.28,452.0,841.5599999999998,96.0,16.8,2622.0,2527.65,10,1,0,0,0,0,49900,570,42.07378005981445,42.07378005981445,306.2447204589844,42.07378005981445,1,697.0,1552.0,0.0,2337.0,2692.0,6.0,278.2133333333333,140.25999999999996,2.8000000000000003,421.27500000000003
8,0.0,0,0,5044.0,0.0,0.0,0.0,0.0,Anza,Antioquia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1,0,0,0,0,25600,625,29.099184036254883,29.099184036254883,285.70025634765625,29.099184036254883,0,925.0,3357.0,2614.0,3298.0,3942.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0,0,5045.0,0.0,0.0,0.0,0.0,Apartadó,Antioquia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,1,0,0,0,0,60700,28,209.22433471679688,209.22433471679688,472.9508972167969,101.48177337646484,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0,0,5051.0,0.0,0.0,0.0,0.0,Arboletes,Antioquia,670.0,172.49,207.0,230.61,0.0,0.0,877.0,403.1,13,1,0,0,0,0,71800,6,269.67437744140625,269.67437744140625,526.1329345703125,51.007083892822266,1,0.0,0.0,0.0,0.0,0.0,1.0,172.49,230.61,0.0,403.1
11,0.0,0,0,5055.0,0.0,0.0,0.0,0.0,Argelia,Antioquia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1,0,0,0,0,25700,1700,92.31863403320312,92.31863403320312,173.79124450683594,3.2558255195617676,0,697.0,2996.0,0.0,6489.0,0.0,0.0,0.0,0.0,0.0,0.0
12,10.0,Antioquia,Armenia,5059.0,25877.71,163433.1,53774.76194034095,2.0780340277536515,Armenia,Antioquia,393.0,125.47,129.0,72.69,22.0,13.94,544.0,212.1,15,1,0,0,0,0,11100,1500,21.414735794067383,21.414735794067383,266.1605529785156,21.414735794067383,1,4011.0,6592.0,7820.0,7937.0,13367.0,2.0,62.735,36.345,6.97,106.05
