,Oficina,Departamento,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor,Check - Valor,Check - Numero
175,Girardot.,Cundinamarca,335,1918841,294,3570673,60,2586478,689,8075992,-2586478,-60
176,Guaduas,Cundinamarca,391,568710,135,509544,82,401410,608,1479664,-401410,-82
177,Guasca,Cundinamarca,498,994914,101,269591,32,116088,631,1380593,-116088,-32
178,Guayabal de Síqui1,Cundinamarca,170,334255,28,56614,48,169697,246,560566,-169697,-48
179,La Calera.,Cundinamarca,730,2867704,108,539847,116,609720,954,4017271,-609720,-116
180,La Mesa,Cundinamarca,928,1676450,120,770542,101,487758,1149,2934750,-487758,-101
181,La Palma,Cundinamarca,675,1048720,304,1436087,73,487197,1052,2972004,-487197,-73
182,La Peña,Cundinamarca,398,435230,71,221841,19,114014,488,771085,-114014,-19
183,La Vega,Cundinamarca,430,1013489,112,331797,42,227776,584,1573062,-227776,-42
184,Machota,Cundinamarca,798,1483050,96,314740,8,28912,902,1826702,-28912,-8
185,Medina,Cundinamarca,351,1026530,593,1059995,2,6447,946,2092972,-6447,-2
186,Nocaima,Cundinamarca,177,269643,75,227641,34,188626,286,685910,-188626,-34
187,Pacho,Cundinamarca,772,955246,641,2366523,140,1043525,1553,4365294,-1043525,-140
188,Pasca,Cundinamarca,472,1350473,323,528253,51,398157,846,2276883,-398157,-51
189,Quipile,Cundinamarca,370,651948,67,112860,42,185361,479,950169,-185361,-42
190,San Bernardo,Cundinamarca,425,1037598,171,257480,34,157462,630,1452540,-157462,-34
191,San Francisco,Cundinamarca,383,871451,178,741045,87,333865,648,1946361,-333865,-87
192,"San Juan de Rioseco,",Cundinamarca,834,1651655,121,606494,68,384506,1023,2642655,-384506,-68
193,Sasaima,Cundinamarca,350,552959,154,341189,90,367743,594,1261891,-367743,-90
194,Soa cha,Cundinamarca,465,1059162,137,492330,60,164916,662,1716408,-164916,-60
195,Sop,Cundinamarca,82,203161,74,320669,42,179780,198,703610,-179780,-42
196,Suba choque,Cundinamarca,422,1600390,84,440722,13,50309,519,2091421,-50309,-13
197,Tocaima,Cundinamarca,298,905277,83,628890,15,148463,396,1682630,-148463,-15
198,Ubaté,Cundinamarca,776,1497199,233,2223391,98,367980,1107,4088570,-367980,-98
199,Une,Cundinamarca,322,713250,44,210785,56,236792,422,1160827,-236792,-56
200,Utica.,Cundinamarca,151,288151,84,374903,7,78503,242,741557,-78503,-7
201,Vergara,Cundinamarca,534,1137553,92,344552,35,168845,661,1650950,-168845,-35
202,Villeta,Cundinamarca,317,531348,99,444635,89,397219,505,1373202,-397219,-89
203,Viota.,Cundinamarca,625,1818303,106,520322,111,687807,842,3026432,-687807,-111
204,"Zipaquira,",Cundinamarca,513,1925634,142,1164741,78,334218,733,3424593,-334218,-78
205,Quibdo,Choco,240,77775,12,17250,0,0,252,95025,0,0
206,Carmen de Atrato,Choco,189,302799,120,252355,31,171456,340,726610,-171456,-31
207,Neiva..,Huila,1610,8143359,1845,10722933,361,2941684,3816,21807976,-2941684,-361
208,Acevedo,Huila,632,720741,223,300174,33,125353,888,1146268,-125353,-33
209,Algeciras,Huila,389,704962,227,632575,25,155343,641,1492880,-155343,-25
210,Baraya,Huila,363,773768,665,1931740,27,236978,1055,2942486,-236978,-27
211,Campo Alegre,Huila,301,1656340,158,1248981,47,175309,506,3080630,-175309,-47
212,Carnicerías..,Huila,426,906716,245,856087,16,159434,687,1922237,-159434,-16
213,Garzón,Huila,625,1054099,791,3036959,113,865408,1529,4956466,-865408,-113
214,Gigante,Huila,524,860333,358,1131799,50,227752,932,2219884,-227752,-50
215,Guadalupe.,Huila,401,496769,271,766401,16,121390,688,1384560,-121390,-16
216,Lo Plata ..,Huila,458,1208980,376,1430284,37,182914,871,2822178,-182914,-37
217,Palermo.,Huila,303,791778,454,1533626,57,355652,814,2681056,-355652,-57
218,Pitalito,Huila,666,1105160,461,1371663,37,160873,1164,2637696,-160873,-37
219,San Agustin,Huila,319,574599,116,271602,10,39755,445,885956,-39755,-10
220,San José de Isnoa,Huila,193,341605,86,172423,1,4000,280,518028,-4000,-1
221,Tarqui,Huila,472,978287,162,585983,6,37205,640,1601475,-37205,-6
222,Tello,Huila,298,822999,334,810127,29,199790,661,1832916,-199790,-29
223,Teruel,Huila,213,526145,88,316937,22,82356,323,925438,-82356,-22
224,Timana,Huila,567,1043764,263,670591,16,75667,846,1790022,-75667,-16
225,Yaguara,Huila,134,723455,178,1490953,6,57214,318,2271622,-57214,-6
226,Santa Marta.,Magdalena,583,2920982,389,4727955,48,240872,1020,7889809,-240872,-48
227,A guachi ca,Magdalena,961,3077961,374,2496227,135,567476,1470,6141664,-567476,-135
228,Ciénaga,Magdalena,383,981777,157,1219348,10,108087,550,2309212,-108087,-10
229,Codazzi,Magdalena,316,2997707,243,4205982,14,135246,573,7338935,-135246,-14
230,Chiriguaná,Magdalena,398,844147,257,1570529,2,8760,657,2423436,-8760,-2
231,El Banco..,Magdalena,394,1692299,598,4626637,22,78176,1014,6397112,-78176,-22
232,Fundación,Magdalena,711,3543659,573,7932793,51,310307,1335,11786759,-310307,-51
233,Guamal,Magdalena,746,1592150,519,2136118,19,57513,1284,3785781,-57513,-19
234,Pivijay,Magdalena,883,2300260,316,3099212,12,42047,1211,5441519,-42047,-12
235,Plato ..,Magdalena,341,1085667,623,5040465,32,146967,996,6273099,-146967,-32
236,Robles,Magdalena,429,1603494,370,2846015,29,213007,828,4662516,-213007,-29
237,Santa Ana .,Magdalena,493,1188145,382,2596572,1,10000,876,3794717,-10000,-1
238,Tamalameque,Magdalena,262,911570,238,1842403,30,139599,530,2893572,-139599,-30
239,Velledupar,Magdalena,1176,7646795,828,10014883,24,320922,2028,17982600,-320922,-24
240,Villavicencio.,Meta,1211,4667778,1263,8995745,133,1421748,2607,15085271,-1421748,-133
241,Avichure,Meta,127,227250,237,1076161,73,218076,437,1521487,-218076,-73
242,Canaguaro,Meta,342,626799,358,914569,0,0,700,1541368,0,0
243,Acacías,Meta,416,991620,561,1989057,43,138823,1020,3119500,-138823,-43
244,Cumaral..,Meta,382,1336006,326,1364392,7,30276,715,2730674,-30276,-7
245,Granada,Meta,293,745703,533,890625,20,85255,846,1721583,-85255,-20
246,Guamal,Meta,457,979611,849,978797,55,276493,1361,2234901,-276493,-55
247,Puerto L6pez,Meta,723,1796250,237,1129253,0,0,960,2925503,0,0
248,"Restrepo.,",Meta,496,1157492,840,2078746,18,132289,1354,3368527,-132289,-18
249,San Martin,Meta,267,1012184,743,2307486,11,95257,1021,3414927,-95257,-11
250,Pasto,Nariño,1918,3642083,1165,3811986,289,1245932,3372,8700001,-1245932,-289
251,Contadero,Nariño,930,2187247,186,315599,26,184901,1142,2687747,-184901,-26
252,El Tambo.,Nariño,461,559405,429,889865,39,149626,929,1598896,-149626,-39
253,Guaitarilla,Nariño,832,1436140,197,268011,9,50280,1038,1754431,-50280,-9
254,Ipialea.,Nariño,1277,3787269,492,2134534,45,201690,1814,6123493,-201690,-45
255,La Cruz,Nariño,825,1466130,230,610767,11,58759,1066,2135656,-58759,-11
256,La Unión,Nariño,541,787151,248,602720,80,194253,869,1584124,-194253,-80
257,Samaniego,Nariño,1278,1802907,485,878212,15,58119,1778,2739238,-58119,-15
258,Sandoná,Nariño,916,1525742,307,594876,52,191454,1275,2312072,-191454,-52
259,San Lorenzo.,Nariño,301,367412,212,484959,23,85900,536,938271,-85900,-23
260,Tumaco,Nariño,1160,551690,240,475368,3,5656,1403,1032714,-5656,-3
261,Túquerres,Nariño,1039,2173673,432,1298160,65,451205,1536,3923038,-451205,-65
262,Cucuta,Norte de Santander,942,4648659,839,8276917,81,1135133,1862,14060709,-1135133,-81
263,"Arboledas,",Norte de Santander,571,852738,179,393801,45,101976,795,1348515,-101976,-45
264,Cáchira,Norte de Santander,948,1442669,200,369090,18,75663,1166,1887422,-75663,-18
265,Convención,Norte de Santander,348,589455,200,875795,67,335374,615,1800624,-335374,-67
266,Chinácota,Norte de Santander,307,674292,170,746782,29,261152,506,1682226,-261152,-29
267,Chitagá,Norte de Santander,462,1058123,81,339248,10,22838,553,1420209,-22838,-10
