,Oficina,Departamento,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor,Check - Valor,Check - Numero
32,Salgar,Antioquia,145,775448,154,1006398,27,202422,326,1984268,-202422,-27
33,San Carlos,Antioquia,392,551760,466,612674,1,1648,859,1166082,-1648,-1
34,San Roque ..,Antioquia,313,292118,295,853571,34,300953,642,1446642,-300953,-34
35,Santa Bárbara,Antioquia,358,701809,113,307694,42,166954,513,1176457,-166954,-42
36,Santa Rosa de osos,Antioquia,202,506884,417,1775478,9,29151,628,2311513,-29151,-9
37,Santuario,Antioquia,841,833392,423,464846,52,175003,1316,1473241,-175003,-52
38,Sonsón,Antioquia,512,643602,74,194426,68,155613,654,993641,-155613,-68
39,Sopetrán,Antioquia,469,614688,182,868181,105,399295,756,1882164,-399295,-105
40,Támesis,Antioquia,669,1141195,214,698622,80,255465,963,2095282,-255465,-80
41,Titiribl,Antioquia,136,793309,63,793560,13,76886,212,1663755,-76886,-13
42,Turbo,Antioquia,503,790322,244,1153635,0,0,747,1943957,0,0
43,Urrao,Antioquia,393,915583,390,1270122,79,231568,862,2417273,-231568,-79
44,Yarumal,Antioquia,616,810006,369,2129935,108,468208,1093,3408149,-468208,-108
45,Yolombo,Antioquia,204,282775,117,719440,6,39701,327,1041916,-39701,-6
46,Barranquilla,Atlantico,1216,4492971,749,8902455,100,470191,2065,13865617,-470191,-100
47,Sabanalarga,Atlantico,996,756007,346,1525483,19,66404,1361,2347894,-66404,-19
48,Santo Tomás,Atlantico,746,824385,108,573630,1,14000,855,1412015,-14000,-1
49,Cartagena,Bolivar,1418,4157449,1025,10126326,114,1215739,2557,15499514,-1215739,-114
50,Calamar,Bolivar,1289,2545064,568,4474530,8,284700,1865,7304294,-284700,-8
51,Corozal.,Bolivar,186,1086131,416,4373082,93,506247,695,5965460,-506247,-93
52,El Carmen,Bolivar,480,1003290,362,2680290,94,500343,936,4183923,-500343,-94
53,Magangué,Bolivar,495,1262899,379,3120233,11,86600,885,4469732,-86600,-11
54,María La Baja,Bolivar,484,728128,203,1198408,16,147038,703,2073574,-147038,-16
55,Majagual,Bolivar,684,1415218,163,837437,0,0,847,2252655,0,0
56,Mompos,Bolivar,695,2811938,685,5513036,18,82405,1398,8407379,-82405,-18
57,Ovejae,Bolivar,398,734400,256,1719681,27,140475,681,2594556,-140475,-27
58,San Jacinto,Bolivar,247,255833,91,655866,38,188317,376,1100016,-188317,-38
59,San Juan Ne pomuceno,Bolivar,650,735135,406,2327363,59,514194,1115,3576692,-514194,-59
60,San Marcoe,Bolivar,637,1600498,746,4451330,2,61250,1385,6113078,-61250,-2
61,San Onofre..,Bolivar,798,973859,390,2026445,1,17150,1189,3017454,-17150,-1
62,San Pedro,Bolivar,258,296090,156,1295571,10,30422,424,1622083,-30422,-10
63,Simit,Bolivar,153,411995,99,373349,0,0,252,785344,0,0
64,Since,Bolivar,631,1407047,466,2768092,62,250382,1159,4425521,-250382,-62
65,Sincelejo,Bolivar,1351,2307003,517,5252158,31,334965,1899,7894126,-334965,-31
66,Sucre,Bolivar,734,1438581,254,1414372,1,10000,989,2862953,-10000,-1
67,Tunja,Boyaca,1962,5046955,457,2963352,374,2065543,2793,10075850,-2065543,-374
68,Chiquinquirá,Boyaca,1557,3386674,551,2516168,131,860789,2239,6763631,-860789,-131
69,Duitama.,Boyaca,666,1688350,219,1405171,65,302594,950,3396115,-302594,-65
70,El Cocuy,Boyaca,595,917340,283,845335,52,342957,930,2105632,-342957,-52
71,El Espino,Boyaca,1066,1009161,342,654459,30,120103,1438,1783723,-120103,-30
72,Garagoa.,Boyaca,1374,2294191,349,1061361,93,320830,1816,3676382,-320830,-93
73,Guateque,Boyaca,1231,1626630,158,523105,73,230229,1462,2379964,-230229,-73
74,Guayatá..,Boyaca,1232,2027524,100,262957,15,75649,1347,2366130,-75649,-15
75,La Uvita,Boyaca,1394,1544821,264,452917,12,51829,1670,2049567,-51829,-12
76,Leiva,Boyaca,1234,1960384,346,742159,108,362223,1688,3064766,-362223,-108
77,Yopal,Boyaca,491,1441834,578,2169106,1,4567,1070,3615507,-4567,-1
78,Miraflores..,Boyaca,1347,3263641,1149,1720394,130,541719,2626,5525754,-541719,-130
79,Moniquirá,Boyaca,1247,1514475,286,1196957,105,633865,1638,3345297,-633865,-105
80,Monterrey .,Boyaca,196,1018163,404,1083786,1,2900,601,2104849,-2900,-1
81,Muso,Boyaca,193,473724,95,288228,1,2904,289,764856,-2904,-1
82,Nunchía,Boyaca,98,135850,80,64071,0,0,178,199921,0,0
83,Orocal,Boyaca,47,79736,130,339660,0,0,177,419396,0,0
84,Paipa,Boyaca,502,1142010,167,671887,65,277201,734,2091098,-277201,-65
85,Pauna,Boyaca,1104,1544417,294,811657,36,144991,1434,2501065,-144991,-36
86,Paz de Ariporo,Boyaca,122,454250,211,1303658,0,0,333,1757908,0,0
87,Pesca,Boyaca,1346,1406099,131,293033,72,301992,1549,2001124,-301992,-72
88,Puebloviejo.,Boyaca,1032,1043820,180,302141,17,36602,1229,1382563,-36602,-17
89,Puorto Boya ca,Boyaca,373,1436448,178,2187113,3,9695,554,3633256,-9695,-3
90,Ramiriquf,Boyaca,1174,1807018,83,262887,82,274158,1339,2344063,-274158,-82
91,Saboyá,Boyaca,1143,2359632,793,1957771,18,60030,1954,4377433,-60030,-18
92,San Luis de Gaceno,Boyaca,719,2273984,211,746505,7,107154,937,3127643,-107154,-7
93,San Luis de Palenque,Boyaca,135,411980,432,1465566,0,0,567,1877546,0,0
94,Santa Rosa de Viterbo,Boyaca,728,1196762,159,711593,79,280700,966,2189055,-280700,-79
95,Soata,Boyaca,1134,1140527,236,397311,53,208208,1423,1746046,-208208,-53
96,Socha,Boyaca,693,901632,119,240142,10,44291,822,1186065,-44291,-10
97,Sogamoso,Boyaca,2993,3651705,383,3088795,85,304113,3461,7044613,-304113,-85
98,Tamara,Boyaca,274,469490,61,207204,0,0,335,676694,0,0
99,Tiband,Boyaca,1302,2314326,83,206247,69,291995,1454,2812568,-291995,-69
100,Toca,Boyaca,786,1374778,96,751164,125,487935,1007,2613877,-487935,-125
101,Ventaquemada..,Boyaca,825,2178055,91,375622,40,155129,956,2708806,-155129,-40
102,Manizales,Caldas,531,3844253,662,7801113,185,1373476,1378,13018842,-1373476,-185
