,Oficina,Departamento,Anio,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
0,medellin,antioquia,1956,1874,312205350,1922,1124727076,0,0,3796,1436932426
1,abejorral,antioquia,1956,340,43395500,76,8931423,0,0,416,52326923
2,amalfi,antioquia,1956,636,84010862,277,88771701,0,0,913,172782563
3,andes,antioquia,1956,332,80152500,305,117321385,0,0,637,197473885
4,antioquia,antioquia,1956,270,24245500,33,12083025,0,0,303,36328525
5,betulia,antioquia,1956,213,42628000,58,29182394,0,0,271,72810394
6,bolivar,antioquia,1956,358,148013300,158,153502553,0,0,516,301515853
7,cañasgordas,antioquia,1956,1031,86469083,431,82333301,0,0,1462,168802384
8,cisneros,antioquia,1956,269,14062802,52,11039795,0,0,321,25102597
9,concordia,antioquia,1956,214,42037310,62,36497133,0,0,276,78534443
10,fredonia,antioquia,1956,696,206619967,90,72041140,0,0,786,278661107
11,frontino,antioquia,1956,772,100240470,562,155951535,0,0,1334,256192005
12,granada,antioquia,1956,902,52008712,216,29860835,0,0,1118,81869647
13,ituango,antioquia,1956,764,87654523,201,55242002,0,0,965,142896525
14,jardin,antioquia,1956,141,20372700,179,58959388,0,0,320,79332088
15,jerico,antioquia,1956,304,86332200,157,53970963,0,0,461,140303163
16,la ceja,antioquia,1956,255,34964691,285,86546781,0,0,540,121511472
17,liborina,antioquia,1956,491,47634500,159,33300113,0,0,650,80934613
18,marinilla,antioquia,1956,932,63220727,489,43956159,0,0,1421,107176886
19,remedios,antioquia,1956,58,8648934,116,38818959,0,0,174,47467893
20,rionegro,antioquia,1956,299,19388450,287,53018074,0,0,586,72406524
21,salgar,antioquia,1956,171,63295000,86,75572072,0,0,257,138867072
22,santa barbara,antioquia,1956,203,38571100,83,35762004,0,0,286,74333104
23,santa rosa de osos,antioquia,1956,164,20190482,451,105295367,0,0,615,125485849
24,san roque,antioquia,1956,226,14995088,67,21068011,0,0,293,36063099
25,sonson,antioquia,1956,665,52454643,112,22225609,0,0,777,74680252
26,sopetran,antioquia,1956,625,56689256,129,60420128,0,0,754,117109384
27,tamesis,antioquia,1956,757,75777375,242,55213864,0,0,999,130991239
28,turbo,antioquia,1956,288,23670271,185,60927067,0,0,473,84597338
29,urrao,antioquia,1956,393,39873242,224,65389405,0,0,617,105262647
30,yarumal,antioquia,1956,872,80348752,540,154730249,0,0,1412,235079001
31,yolombo,antioquia,1956,435,54571469,118,71220811,0,0,553,125792280
32,barranquilla,atlantico,1956,928,200974975,543,419043966,0,0,1471,620018941
33,sabanalarga,atlantico,1956,946,59180172,229,65732000,0,0,1175,124912172
34,cartagena,bolivar,1956,929,153553067,682,456390671,0,0,1611,609943738
35,calamar,bolivar,1956,336,53817748,250,127674183,0,0,586,181491931
36,corozal,bolivar,1956,128,22595104,409,192107588,0,0,537,214702692
37,el carmen,bolivar,1956,112,15797500,299,156926134,0,0,411,172723534
38,magangue,bolivar,1956,397,55679868,496,213843352,0,0,893,269523220
39,maria la baja,bolivar,1956,395,25991204,191,78605231,0,0,586,104596435
40,mompos,bolivar,1956,231,70345300,554,214856528,0,0,785,285201828
41,ovejas,bolivar,1956,70,10190000,134,62524027,0,0,204,72714027
