,Oficina,Departamento,Anio,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
0,medellin,antioquia,1952,1792,292166458,725,375507315,0,0,2517,667673773
1,abejorral,antioquia,1952,307,31803800,5,1105000,0,0,312,32908800
2,andes,antioquia,1952,426,60117100,139,31520000,0,0,565,91637100
3,bolivar,antioquia,1952,300,109830000,15,8730000,0,0,315,118560000
4,concordia,antioquia,1952,366,56468333,98,14318638,0,0,464,70786971
5,fredonia,antioquia,1952,398,121975145,31,22195029,0,0,429,144170174
6,frontino,antioquia,1952,888,66049889,83,26061336,0,0,971,92111225
7,ituango,antioquia,1952,480,37076632,51,16246607,0,0,531,53323239
8,jerico,antioquia,1952,366,72579000,84,24949323,0,0,450,97528323
9,rionegro,antioquia,1952,989,55074959,162,47338272,0,0,1151,102413231
10,santa rosa de osos,antioquia,1952,99,8041305,311,76487726,0,0,410,84529031
11,sonson,antioquia,1952,929,70364633,107,26875645,0,0,1036,97240278
12,tamesis,antioquia,1952,848,85139634,281,43329125,0,0,1129,128468759
13,turbo,antioquia,1952,235,10454401,41,19672525,0,0,276,30126926
14,yarumal,antioquia,1952,753,60304602,367,98792485,0,0,1120,159097087
15,yolombo,antioquia,1952,728,54463520,140,49076277,0,0,868,103539797
16,liborina,antioquia,1952,505,34413002,48,8236790,0,0,553,42649792
17,sopetran,antioquia,1952,582,29164038,36,9846193,0,0,618,39010231
18,granada,antioquia,1952,675,29726621,62,10339462,0,0,737,40066083
19,barranquilla,atlantico,1952,1109,272014795,281,171672950,0,0,1390,443687745
20,cartagena,bolivar,1952,728,94014541,318,190296477,0,0,1046,284311018
21,corozal,bolivar,1952,164,12818578,526,150702564,0,0,690,163521142
22,el carmen,bolivar,1952,393,25366134,357,107576285,0,0,750,132942419
23,magangue,bolivar,1952,323,18351845,651,151816373,0,0,974,170168218
24,maria la baja,bolivar,1952,600,24124989,112,36287760,0,0,712,60412749
25,mompos,bolivar,1952,184,19394102,394,115381540,0,0,578,134775742
26,san marcos,bolivar,1952,184,23955606,124,58400171,0,0,308,82355867
27,san onofre,bolivar,1952,475,28182343,100,35376100,0,0,575,63558443
28,sincelejo,bolivar,1952,485,37869500,322,134073994,0,0,807,171943494
29,calamar,bolivar,1952,97,11603559,50,31380000,0,0,147,42983559
30,tunja,boyaca,1952,3471,461886802,289,114733446,0,0,3760,576620248
31,chiquinquira,boyaca,1952,3161,240339744,244,67738158,0,0,3405,308077902
32,duitama,boyaca,1952,2314,226816545,124,38001271,0,0,2438,264817816
33,el cocuy,boyaca,1952,1556,97973606,45,12377029,0,0,1601,110350635
34,guateque,boyaca,1952,902,46757970,61,10330000,0,0,963,57087970
35,miraflores,boyaca,1952,419,23424973,162,15454272,0,0,581,38879245
36,moniquira,boyaca,1952,2014,114336522,252,61454367,0,0,2266,175790889
37,pauna,boyaca,1952,849,60804337,56,11429128,0,0,905,72233465
38,pesca,boyaca,1952,1721,94925350,72,18317909,0,0,1793,113243259
39,ramiriqui,boyaca,1952,1490,124542050,196,27128090,0,0,1686,151670140
40,soata,boyaca,1952,2403,191842282,123,31821323,0,0,2526,223663605
41,sogamoso,boyaca,1952,2789,167183799,120,52566677,0,0,2909,219750476
42,leiva,boyaca,1952,1661,138774440,141,45460179,0,0,1802,184234619
43,puebloviejo,boyaca,1952,809,33211900,7,1830000,0,0,816,35041900
44,guayata,boyaca,1952,471,24446664,28,4076000,0,0,499,28522664
45,socha,boyaca,1952,762,58275209,20,5410052,0,0,782,63685261
46,garagoa,boyaca,1952,512,39806000,142,21742500,0,0,654,61548500
47,manizales,caldas,1952,650,121183270,187,84590106,0,0,837,205773376
48,aguadas,caldas,1952,710,73421603,66,30071300,0,0,776,103492903
49,anserma,caldas,1952,705,96715767,164,34936247,0,0,869,131652014
50,apia,caldas,1952,321,72053800,166,49185400,0,0,487,121239200
51,armenia,caldas,1952,876,149160053,352,115280454,0,0,1228,264440507
52,calarca,caldas,1952,542,120606600,244,65955800,0,0,786,186562400
53,la dorada,caldas,1952,132,41687948,120,93585890,0,0,252,135273838
54,manzanares,caldas,1952,1043,103463627,102,31817877,0,0,1145,135281504
55,pensilvania,caldas,1952,1090,97950100,135,24831000,0,0,1225,122781100
56,pereira,caldas,1952,459,96709260,311,115990303,0,0,770,212699563
57,pijao,caldas,1952,137,33235957,86,28776422,0,0,223,62012379
58,riosucio,caldas,1952,1303,66658000,123,34546876,0,0,1426,101204876
59,salamina,caldas,1952,929,84373466,305,78198000,0,0,1234,162571466
60,santa rosa de cabal,caldas,1952,520,53909015,322,56715605,0,0,842,110624620
61,santuario,caldas,1952,361,81841455,160,43973363,0,0,521,125814818
62,filandia,caldas,1952,173,12990665,41,4099945,0,0,214,17090610
63,marsella,caldas,1952,168,22563500,104,11414500,0,0,272,33978000
64,popayan,cauca,1952,2122,194483622,417,170239367,0,0,2539,364722989
65,bolivar,cauca,1952,354,28483030,216,29890579,0,0,570,58373609
66,puerto tejada,cauca,1952,550,47823697,103,39726625,0,0,653,87550322
67,santander,cauca,1952,723,61719139,199,45789135,0,0,922,107508274
68,el tambo,cauca,1952,540,24240600,57,9198836,0,0,597,33439438
69,monteria,cordoba,1952,689,128304566,176,111701211,0,0,865,240005779
70,ayapel,cordoba,1952,203,30300533,164,62426701,0,0,367,92721234
71,lorica,cordoba,1952,1543,121393257,178,77226882,0,0,1721,198620139
72,sahagun,cordoba,1952,549,40737713,458,129671148,0,0,1007,170408861
73,cerete,cordoba,1952,583,100020138,264,85201868,0,0,847,185222006
74,tierralta,cordoba,1952,92,12791685,22,7387500,0,0,114,20179185
75,bogota,cundinamarca,1952,1184,360145555,736,466690568,0,0,1920,826836123
76,anolaima,cundinamarca,1952,603,71029000,18,7537857,0,0,621,78566867
77,choconta,cundinamarca,1952,1095,82057365,141,31353144,0,0,1236,113410509
78,facatativa,cundinamarca,1952,1182,176340088,106,53997013,0,0,1288,230337101
79,fusagasuga,cundinamarca,1952,1133,102117830,101,32436841,0,0,1234,133654671
80,gacheta,cundinamarca,1952,2017,131748488,212,35614035,0,0,2229,167362523
81,girardot,cundinamarca,1952,829,203121400,151,87047262,0,0,980,290168662
82,guatavita,cundinamarca,1952,264,33999800,13,5559000,0,0,277,39558800
83,la mesa,cundinamarca,1952,1348,111748157,55,22457593,0,0,1405,134205750
84,la palma,cundinamarca,1952,625,36759809,67,16666394,0,0,692,53426203
85,pacho,cundinamarca,1952,800,69865423,74,33814556,0,0,874,103679979
86,sasaima,cundinamarca,1952,310,27879826,44,15471157,0,0,354,43350983
87,soacha,cundinamarca,1952,451,64467100,28,8331900,0,0,479,72799000
88,sopo,cundinamarca,1952,131,19652500,12,7272612,0,0,143,26925112
89,ubate,cundinamarca,1952,1166,103769990,156,76455032,0,0,1322,180225022
90,une,cundinamarca,1952,944,71094723,154,24110135,0,0,1098,95204858
91,chia,cundinamarca,1952,119,14464400,26,7077286,0,0,145,21541688
92,fomeque,cundinamarca,1952,459,32491758,112,17942899,0,0,571,50434657
93,villeta,cundinamarca,1952,269,29824500,21,8453500,0,0,290,38278000
94,la calera,cundinamarca,1952,195,17979250,51,21259959,0,0,246,39239209
95,guasca,cundinamarca,1952,177,19843000,4,942100,0,0,181,20785100
96,san juan de rioseco,cundinamarca,1952,563,96131200,29,18744832,0,0,592,114876032
97,arbelaez,cundinamarca,1952,575,45631000,53,21007077,0,0,628,66638077
98,la peña,cundinamarca,1952,229,15586500,32,7629000,0,0,261,23215500
