,Oficina,Departamento,Anio,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
84,lorica,cordoba,1954,1361,147127190,318,144172650,0,0,1679,291299840
85,sahagun,cordoba,1954,541,49632050,430,151102482,0,0,971,200734532
86,tierralta,cordoba,1954,275,36163680,70,26487000,0,0,345,62650680
87,bogota,cundinamarca,1954,1426,614316074,1064,936232985,0,0,2490,1550549059
88,anolaima,cundinamarca,1954,840,111014065,297,62552411,0,0,1137,173566476
89,arbelaez,cundinamarca,1954,709,79254887,147,42553894,0,0,856,121808781
90,caqueza,cundinamarca,1954,743,84155200,74,10371719,0,0,817,94526919
91,chia,cundinamarca,1954,199,31792300,80,23894859,0,0,279,55687159
92,choconta,cundinamarca,1954,1976,192273700,96,30625212,0,0,2072,222898912
93,facatativa,cundinamarca,1954,1097,176574675,181,79266631,0,0,1278,255841306
94,fomeque,cundinamarca,1954,548,56278500,320,51923902,0,0,868,108202402
95,fusagasuga,cundinamarca,1954,974,100267168,583,91344509,0,0,1557,191611677
96,gacheta,cundinamarca,1954,1619,132351225,199,27407872,0,0,1818,159759097
97,gachala,cundinamarca,1954,501,48685567,87,16753013,0,0,588,65438580
98,girardot,cundinamarca,1954,670,124217011,195,149084435,0,0,865,273301446
99,guasca,cundinamarca,1954,221,28074000,48,12261826,0,0,269,40335826
100,guatavita,cundinamarca,1954,432,51365750,77,16987597,0,0,509,68353347
101,la calera,cundinamarca,1954,262,32823400,130,39595324,0,0,392,72418724
102,la mesa,cundinamarca,1954,1299,123032834,201,82272155,0,0,1500,205304989
103,la palma,cundinamarca,1954,666,47595528,151,39343997,0,0,817,86939525
104,la peña,cundinamarca,1954,243,17816500,46,13830000,0,0,289,31646500
105,medina,cundinamarca,1954,196,38186661,641,44047561,0,0,837,82234222
106,pacho,cundinamarca,1954,1121,125410580,184,75219376,0,0,1305,200629956
107,san juan de rioseco,cundinamarca,1954,850,136557953,104,39758667,0,0,954,176316620
108,sasaima,cundinamarca,1954,280,27329941,137,26620936,0,0,417,53950377
109,soacha,cundinamarca,1954,600,114082986,90,28238467,0,0,690,142321453
110,sopo,cundinamarca,1954,145,24326841,53,13244387,0,0,198,37571228
111,ubate,cundinamarca,1954,1127,141518075,219,75106189,0,0,1346,216624264
112,une,cundinamarca,1954,875,91528277,132,23185929,0,0,1007,114714206
113,vergara,cundinamarca,1954,691,88529400,119,15574610,0,0,810,104104010
114,villeta,cundinamarca,1954,328,47462000,87,35486125,0,0,415,82948125
115,zipaquira,cundinamarca,1954,381,62388000,117,53118438,0,0,498,115506438
116,quibdo,choco,1954,317,9626285,41,5718022,0,0,358,15344307
117,neiva,huila,1954,971,189272607,763,209267829,0,0,1734,398540436
118,acevedo,huila,1954,540,36254425,92,16126809,0,0,632,52381234
119,baraya,huila,1954,186,35679416,214,33029276,0,0,400,68708692
120,carnecerias,huila,1954,165,13225500,132,25361023,0,0,297,38586523
121,garzon,huila,1954,882,105042553,507,140790304,0,0,1389,245832857
