,Oficina,Departamento,Anio,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
0,medellin,antioquia,1960,2286,8465508,2258,18369074,471,2457036,5015,29291618
1,abejorral,antioquia,1960,411,657053,242,521870,11,69950,664,1248873
2,amalfi,antioquia,1960,350,821154,198,832186,2,49200,550,1702540
3,andes,antioquia,1960,435,1345209,211,673718,110,484869,756,2503796
4,arboletes,antioquia,1960,397,730948,176,1254270,0,0,573,1985218
5,armenia,antioquia,1960,125,666538,47,373335,7,61648,179,1101521
6,betania,antioquia,1960,186,674769,45,160413,10,61758,241,896940
7,betulia,antioquia,1960,225,717237,71,270413,13,118252,309,1105902
8,bolivar,antioquia,1960,243,1272687,144,846598,43,250350,430,2369635
9,cañasgordas,antioquia,1960,355,382340,224,347572,27,139845,606,869757
10,caucasia,antioquia,1960,365,835039,169,1700400,0,0,534,2535439
11,cisneros,antioquia,1960,268,203639,103,404009,25,69751,396,677399
12,concordia,antioquia,1960,163,609129,59,226465,21,115959,243,951553
13,chigorodo,antioquia,1960,173,222762,217,688142,1,2034,391,912938
14,dabeiba,antioquia,1960,346,662376,239,775355,4,40833,589,1478564
15,fredonia,antioquia,1960,1018,4154934,191,1554100,105,376771,1314,6085805
16,frontino,antioquia,1960,414,470753,239,683352,22,155502,675,1309607
17,granada,antioquia,1960,664,461190,354,270831,7,17924,1025,749945
18,ituango,antioquia,1960,623,1097984,123,538374,10,137666,756,1774024
19,jardin,antioquia,1960,169,375130,214,736922,82,307472,465,1419524
20,jerico,antioquia,1960,334,1277229,156,842814,44,143570,534,2263613
21,la ceja,antioquia,1960,383,1428800,378,925088,76,306592,837,2660480
22,liborina,antioquia,1960,481,460346,167,319076,52,161592,700,941014
23,marinilla,antioquia,1960,535,493294,304,208217,114,302916,953,1004427
24,puerto berrio,antioquia,1960,72,340951,148,1026930,1,810,221,1368691
25,remedios,antioquia,1960,193,474253,240,836994,10,76663,443,1387910
26,rionegro,antioquia,1960,471,436238,546,706975,66,273471,1083,1416684
27,salgar,antioquia,1960,119,744959,122,633431,32,301181,273,1679571
28,san carlos,antioquia,1960,380,514751,436,650511,1,2575,817,1167837
29,san roque,antioquia,1960,246,228945,236,549966,26,64690,508,843601
