,Oficina,Departamento,Anio,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor,Check - Valor,Check - Numero
75,puerto boyaca,boyaca,1960,285,973653,129,1312637,3,10338,417,2296628,0,0
76,ramiriqui,boyaca,1960,1567,2228267,125,299652,142,451144,1834,2979063,0,0
77,saboya,boyaca,1960,1549,2773439,469,1399940,22,66629,2040,4240008,0,0
78,san luis de gaceno,boyaca,1960,739,2151395,220,578735,5,28979,964,2759109,0,0
79,san luis de palenque,boyaca,1960,131,399980,354,1186743,0,0,485,1586723,0,0
80,santa rosa de vitervo,boyaca,1960,786,1072310,110,393267,83,310157,979,1775734,0,0
81,soata,boyaca,1960,1409,1345686,253,411872,47,154065,1709,1911623,0,0
82,socha,boyaca,1960,610,727010,87,165278,12,54332,709,946620,0,0
83,sogamoso,boyaca,1960,2585,2902933,357,2773276,102,383199,3044,5059408,1000000,0
84,tamara,boyaca,1960,242,435657,125,184927,0,0,367,620584,0,0
85,toca,boyaca,1960,634,1043212,80,717112,127,435168,841,2195492,0,0
86,ventaquemada,boyaca,1960,1084,2475409,118,422082,68,298806,1270,3196297,0,0
87,yopal,boyaca,1960,300,712215,605,1538374,0,0,905,2250589,0,0
88,manizales,caldas,1960,505,2946228,640,7116859,182,1064684,1327,11127771,0,0
89,aguadas,caldas,1960,494,951330,199,1199025,56,353300,749,2503655,0,0
90,anserma,caldas,1960,909,1656632,264,978823,94,525450,1267,3160905,0,0
91,apia,caldas,1960,337,641204,264,809061,30,229444,631,1679709,0,0
92,aranzazu,caldas,1960,612,944537,219,593272,48,178609,879,1716418,0,0
93,armenia,caldas,1960,794,3226323,461,2921371,127,581241,1382,6728935,0,0
94,belalcazar,caldas,1960,378,1312242,162,494608,13,118191,553,1925041,0,0
95,belen de umbrla,caldas,1960,288,536120,173,461209,52,425685,513,1423014,0,0
96,calarca,caldas,1960,471,1923830,225,1198604,50,239801,746,3362235,0,0
97,chinchina,caldas,1960,340,850226,146,467002,77,492190,563,1809418,0,0
98,filandia,caldas,1960,355,373147,142,324992,76,202929,573,901068,0,0
99,genova,caldas,1960,143,437613,88,468159,6,78412,237,984184,0,0
100,la dorada,caldas,1960,314,1842386,396,4203403,37,142734,747,6188523,0,0
101,manzanares,caldas,1960,912,1531763,335,1035708,32,125388,1279,2692859,0,0
102,marsella,caldas,1960,200,327460,126,280103,51,281366,377,888929,0,0
103,montenegro,caldas,1960,134,327525,55,205091,29,168223,218,700839,0,0
104,neira,caldas,1960,157,264300,74,219240,19,137544,250,621084,0,0
105,pacora,caldas,1960,471,842897,183,572858,35,163415,689,1579170,0,0
106,pensilvania,caldas,1960,847,1336442,464,906910,36,141466,1347,2384818,0,0
107,pereira,caldas,1960,578,2258143,456,3987651,151,749553,1185,6995347,0,0
108,pijao,caldas,1960,114,925350,69,624280,17,84647,200,1634277,0,0
109,quimbaya,caldas,1960,290,636979,91,246180,47,240904,428,124063,1000000,0
110,quinchia,caldas,1960,482,369047,140,240750,24,225771,646,835568,0,0
111,riosucio,caldas,1960,840,660434,194,630579,184,763102,1218,2054115,0,0
112,salamina,caldas,1960,552,1232806,264,973497,69,279424,885,2485727,0,0
113,samana,caldas,1960,340,454316,129,214845,8,52585,477,721746,0,0
114,santa rosa de,caldas,1960,449,767466,382,691326,164,645890,995,344682000,-342577318,0
115,santuario,caldas,1960,234,649418,63,226048,2,13100,299,888566,0,0
116,viterbo,caldas,1960,130,372520,23,88666,26,127750,179,588936,0,0
117,cucuta,norte de santander,1960,767,3995611,656,6429847,73,768341,1496,11193799,0,0
118,arboledas,norte de santander,1960,409,513250,127,182867,45,97681,581,793798,0,0
119,cachira,norte de santander,1960,782,1060466,196,304016,19,85055,997,1449537,0,0
120,convencion,norte de santander,1960,370,561063,175,880852,59,239302,604,1681217,0,0
121,chinacota,norte de santander,1960,313,577310,172,716347,36,250455,521,1544112,0,0
122,durania,norte de santander,1960,490,1592775,122,553370,31,155199,643,2301344,0,0
123,gramalote,norte de santander,1960,570,94348,158,545577,47,267533,775,1756590,-849132,0
124,ocaña,norte de santander,1960,1058,2523143,248,2127488,26,79265,1332,4729896,0,0
125,pamplona,norte de santander,1960,1407,3438062,577,2409765,59,226119,2043,6073946,0,0
126,salazar,norte de santander,1960,315,552503,102,397246,30,168706,447,1118455,0,0
127,sardinata,norte de santander,1960,619,1098900,162,356853,15,70926,796,1526679,0,0
128,toledo,norte de santander,1960,1068,1174070,288,731415,22,89505,1378,1994990,0,0
129,bucaramanga,santander,1960,2994,10698611,1406,11337526,125,1205017,4525,23241154,0,0
130,barichara,santander,1960,376,488128,91,275951,36,169460,503,933539,0,0
131,barrancabermeja,santander,1960,749,1680530,346,2674776,3,20400,1098,4375706,0,0
132,bolivar,santander,1960,343,528105,356,609597,4,13190,703,1150892,0,0
133,cimitarra,santander,1960,451,748245,510,1893051,45,208290,1006,2849586,0,0
134,concepcion,santander,1960,1310,1726952,267,757240,38,336210,1615,2820402,0,0
135,charala,santander,1960,1038,1634784,277,1119730,27,181642,1342,2936156,0,0
136,gambita,santander,1960,512,815140,207,528842,1,189,720,1345872,-1701,0
137,guepsa,santander,1960,652,1019221,101,442159,61,293724,814,1755104,0,0
138,malaga,santander,1960,1998,2003174,266,616522,73,388712,2337,3008408,0,0
139,matanza,santander,1960,491,452451,107,227609,16,64405,614,744465,0,0
140,oiba,santander,1960,415,843520,117,660505,24,112451,556,1616476,0,0
141,onzaga,santander,1960,549,660337,114,252580,5,42000,668,954917,0,0
142,piedecuesta,santander,1960,735,797881,91,271397,18,180862,844,1250140,0,0
143,puente nacional,santander,1960,899,1134922,480,897898,131,449661,1510,2482481,0,0
144,puerto wilches,santander,1960,787,2278025,284,1385517,3,18938,1074,3682481,-1,0
145,rionegro,santander,1960,567,1399958,321,1149173,37,359485,925,2908616,0,0
146,san andres,santander,1960,1132,1327012,515,666348,15,97986,1662,2091346,0,0
147,san gil,santander,1960,1513,2418256,287,1300067,63,569622,1863,4287945,0,0
148,san vicente,santander,1960,702,1671700,374,1734526,44,295373,1120,3701599,0,0
149,socorro,santander,1960,545,1666283,359,3579417,54,508103,958,5753802,1,0
150,suaita,santander,1960,877,1475733,271,1272909,21,132433,1169,2881075,0,0
151,sucre,santander,1960,452,735432,662,1517689,6,14145,1120,2267266,0,0
152,surata,santander,1960,209,256665,139,285530,8,42831,356,585026,0,0
153,tona,santander,1960,911,1487924,271,791227,26,206308,1208,2485459,0,0
154,velez,santander,1960,481,744578,428,1172611,37,186231,946,2103420,0,0
155,zapatoca,santander,1960,274,637610,110,58871,37,185296,421,1411616,-529839,0
156,ibague,tolima,1960,856,2046472,1176,9435524,324,2113313,2356,13595309,0,0
157,alpujarra,tolima,1960,171,451658,101,392514,1,10004,273,854176,0,0
158,anzoategui,tolima,1960,248,490000,214,909202,7,61131,469,1460333,0,0
159,armero,tolima,1960,310,1592777,212,1453078,49,950626,571,3996481,0,0
160,ataco,tolima,1960,223,548031,364,1114620,3,11393,590,1674044,0,0
161,cajamarca,tolima,1960,325,542485,164,714929,50,295212,539,1552626,0,0
162,casabianca,tolima,1960,264,270756,122,155826,11,65012,397,491594,0,0
163,cunday,tolima,1960,241,558151,449,1085311,42,297295,732,1940757,0,0
164,chaparral,tolima,1960,1780,2822004,3013,8074619,53,317757,4846,1221438,9992942,0
165,dolores,tolima,1960,175,334920,146,348445,6,16376,327,699741,0,0
166,espinal,tolima,1960,848,2962404,294,2868073,284,4556043,1426,10386520,0,0
167,falan,tolima,1960,151,174550,81,134252,23,91050,255,399852,0,0
168,fresno,tolima,1960,341,424686,122,376483,59,212930,522,1014099,0,0
169,guamo,tolima,1960,1784,2766632,332,1733730,164,2316257,2280,6816619,0,0
170,herveo,tolima,1960,246,36822,147,229521,20,90767,413,708508,-351398,0
171,honda,tolima,1960,120,739420,107,1118218,21,156275,248,2013913,0,0
172,icononzo,tolima,1960,678,1629975,267,768413,58,286395,1003,2684783,0,0
173,libano,tolima,1960,1030,2144858,781,2299643,177,1138663,1988,5583164,0,0
174,mariquita,tolima,1960,98,223139,30,161998,13,37415,141,422552,0,0
175,melgar,tolima,1960,216,902732,177,1548487,17,192105,410,2643324,0,0
176,natagaima,tolima,1960,492,1328701,262,1261176,13,70534,767,2660411,0,0
177,ortega,tolima,1960,562,1139767,377,1275816,5,24373,944,2439956,0,0
178,planadas,tolima,1960,282,707859,813,1706516,44,299750,1139,2714125,0,0
179,purificacion,tolima,1960,821,1775963,871,3959440,122,3353548,1814,9088951,0,0
180,roncesvalles,tolima,1960,111,262890,268,1000170,8,116358,387,1379418,0,0
181,rovira,tolima,1960,757,1298344,968,2563646,46,287079,1771,4149069,0,0
182,san antonio,tolima,1960,349,709201,243,945858,13,184753,605,1839812,0,0
183,san luis,tolima,1960,884,1097566,246,952795,12,47723,1142,2098084,0,0
184,santa laabel,tolima,1960,156,349489,143,558830,18,156500,317,1064819,0,0
185,venadillo,tolima,1960,268,903389,153,844723,6,33088,427,1781200,0,0
186,villahermosa,tolima,1960,247,334342,59,135933,17,90477,323,560752,0,0
187,villarrica,tolima,1960,444,1268627,540,1489588,66,272214,1050,3030429,0,0
188,cali,valle del cauca,1960,898,3676388,956,11544655,325,1844070,2179,17065113,0,0
189,alcala,valle del cauca,1960,179,372115,53,161385,3,12950,235,546450,0,0
190,bolivar,valle del cauca,1960,285,411402,172,525629,37,168113,494,1105144,0,0
191,buenaventura,valle del cauca,1960,118,180809,30,155568,2,18215,150,354592,0,0
192,buga,valle del cauca,1960,569,1510282,728,5236359,179,980876,1476,7727517,0,0
