,Cod Dep,Cod Mun,Oficina,Departamento,Anio,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
0,91,91001,leticia,amazonas,1959,90,96360.77528089887,53,125541.94382022473,0,0.0,143,221902.7191011236
1,5,5002,abejorral,antioquia,1959,379,298258.3146067416,127,147137.29213483146,13,65555.05617977527,519,510950.6629213483
2,5,5031,amalfi,antioquia,1959,346,369122.5280898877,177,360196.3820224719,1,4813.483146067416,524,734132.3932584269
3,5,5034,andes,antioquia,1959,351,538667.7303370787,184,467966.2584269663,130,411478.3146067416,665,1418112.3033707866
4,5,5093,betulia,antioquia,1959,215,323154.9101123596,67,176358.0,14,79669.44943820225,296,579182.3595505618
5,5,5101,bolivar,antioquia,1959,273,651155.9662921348,159,443883.9438202247,63,326580.5056179775,495,1421620.4157303371
6,5,5154,caucasia,antioquia,1959,155,221781.23595505615,100,635849.6629213484,1,2319.6404494382023,256,859950.5393258426
7,5,5138,cañasgordas,antioquia,1959,418,265837.786516854,246,238014.70786516852,35,121315.8202247191,699,625168.3146067415
8,5,5172,chigorodo,antioquia,1959,62,40845.84269662921,46,115365.43820224718,0,0.0,108,156211.2808988764
9,5,5190,cisneros,antioquia,1959,343,114950.5617977528,121,197546.49438202247,37,69958.82022471911,501,382455.8764044944
10,5,5209,concordia,antioquia,1959,181,328912.75280898873,58,136080.60674157302,25,84120.77528089887,264,549114.1348314607
11,5,5234,dabeiba,antioquia,1959,310,313525.65168539324,200,381194.62921348313,3,14746.449438202248,513,709466.7303370787
12,5,5282,fredonia,antioquia,1959,892,1635481.1797752809,212,709731.4719101123,120,232992.06741573036,1224,2578204.7191011235
13,5,5284,frontino,antioquia,1959,367,223955.8988764045,215,290775.0674157304,24,95833.01123595504,606,610563.9775280899
14,5,5313,granada,antioquia,1959,565,208745.8651685393,280,131817.80898876404,6,9564.505617977527,851,350128.1797752809
15,5,5361,ituango,antioquia,1959,624,547467.8089887641,132,305915.19101123593,4,17706.74157303371,760,871089.7415730337
16,5,5364,jardin,antioquia,1959,158,173695.11235955055,203,377858.42696629214,57,143674.44943820225,418,695227.988764045
17,5,5368,jerico,antioquia,1959,334,606991.6853932585,137,294707.2247191011,57,112787.3595505618,528,1014486.2696629212
18,5,5376,la ceja,antioquia,1959,309,379725.9438202247,356,419641.75280898873,79,211751.4269662921,744,1011119.1235955056
19,5,5411,liborina,antioquia,1959,466,276630.30337078654,164,237587.79775280895,59,130335.94382022473,689,644554.0449438202
20,5,5440,marinilla,antioquia,1959,510,223756.48314606745,359,208141.3146067416,130,221581.24719101124,999,653479.0449438202
21,5,5001,medellin,antioquia,1959,1760,2203923.741573034,1816,7332515.258426966,505,1775928.3033707866,4081,11312367.303370789
22,5,5579,puerto berrio,antioquia,1959,44,101426.96629213484,129,457718.1235955056,0,0.0,173,559145.0898876404
23,5,5604,remedios,antioquia,1959,193,172892.8651685393,222,491479.55056179775,5,14665.65168539326,420,679038.0674157303
24,5,5615,rionegro,antioquia,1959,392,146970.5393258427,384,277190.1573033708,61,121586.29213483146,837,545746.988764045
25,5,5642,salgar,antioquia,1959,108,311495.393258427,106,313932.5056179775,41,237160.3146067416,255,862588.213483146
