,Cod Dep,Cod Mun,id,Unnamed: 0,Unnamed: 0.1,Oficina,Departamento,Anio,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
49,17,17042,caldasanserma,49,49,anserma,caldas,1952,705,96715767.0,164,34936247.0,0,0.0,869,131652014.0
50,17,66045,caldasapia,50,50,apia,caldas,1952,321,72053800.0,166,49185400.0,0,0.0,487,121239200.0
51,17,63001,caldasarmenia,51,51,armenia,caldas,1952,876,149160053.0,352,115280454.0,0,0.0,1228,264440507.0
52,17,63130,caldascalarca,52,52,calarca,caldas,1952,542,120606600.0,244,65955800.0,0,0.0,786,186562400.0
53,17,63272,caldasfilandia,62,62,filandia,caldas,1952,173,12990665.0,41,4099945.0,0,0.0,214,17090610.0
54,17,17380,caldasla dorada,53,53,la dorada,caldas,1952,132,41687948.0,120,93585890.0,0,0.0,252,135273838.0
55,17,17001,caldasmanizales,47,47,manizales,caldas,1952,650,121183270.0,187,84590106.0,0,0.0,837,205773376.0
56,17,17433,caldasmanzanares,54,54,manzanares,caldas,1952,1043,103463627.0,102,31817877.0,0,0.0,1145,135281504.0
57,17,66440,caldasmarsella,63,63,marsella,caldas,1952,168,22563500.0,104,11414500.0,0,0.0,272,33978000.0
58,17,17541,caldaspensilvania,55,55,pensilvania,caldas,1952,1090,97950100.0,135,24831000.0,0,0.0,1225,122781100.0
59,17,66001,caldaspereira,56,56,pereira,caldas,1952,459,96709260.0,311,115990303.0,0,0.0,770,212699563.0
60,17,63548,caldaspijao,57,57,pijao,caldas,1952,137,33235957.0,86,28776422.0,0,0.0,223,62012379.0
61,17,17614,caldasriosucio,58,58,riosucio,caldas,1952,1303,66658000.0,123,34546876.0,0,0.0,1426,101204876.0
62,17,17653,caldassalamina,59,59,salamina,caldas,1952,929,84373466.0,305,78198000.0,0,0.0,1234,162571466.0
63,17,66682,caldassanta rosa de cabal,60,60,santa rosa de cabal,caldas,1952,520,53909015.0,322,56715605.0,0,0.0,842,110624620.0
64,17,66687,caldassantuario,61,61,santuario,caldas,1952,361,81841455.0,160,43973363.0,0,0.0,521,125814818.0
