,Cod Dep,Cod Mun,Oficina,Departamento,Anio,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
0,5,5002,abejorral,antioquia,1953,347,33968276.78571428,21,2757324.107142857,0,0.0,368,36725600.89285714
1,5,5034,andes,antioquia,1953,470,68184085.7142857,288,59563593.96428571,0,0.0,758,127747679.67857142
2,5,5101,bolivar,antioquia,1953,378,109604464.28571428,39,13942341.749999998,0,0.0,417,123546806.03571428
3,5,5209,concordia,antioquia,1953,342,50633340.05357143,28,6129882.160714285,0,0.0,370,56763222.21428571
4,5,5282,fredonia,antioquia,1953,411,111824508.85714284,46,20024196.48214285,0,0.0,457,131848614.26785712
5,5,5284,frontino,antioquia,1953,583,48656712.10714285,94,36858162.64285714,0,0.0,677,85514874.74999999
6,5,5313,granada,antioquia,1953,858,38032076.08928571,58,8805152.732142856,0,0.0,916,46837228.82142857
7,5,5361,ituango,antioquia,1953,598,45717475.55357143,211,23018204.303571425,0,0.0,809,68735679.85714285
8,5,5368,jerico,antioquia,1953,317,61493059.66071428,75,20129496.0,0,0.0,392,81622555.66071428
9,5,5411,liborina,antioquia,1953,641,39219678.48214285,93,13195157.142857142,0,0.0,734,52405728.48214285
10,5,5440,marinilla,antioquia,1953,431,20137849.98214285,71,9238012.5,0,0.0,502,29375862.48214285
11,5,5001,medellin,antioquia,1953,2003,301674873.9642857,959,238437878.41071427,0,0.0,2962,540112752.375
12,5,5615,rionegro,antioquia,1953,417,30971243.571428567,122,36706107.05357143,0,0.0,539,67677350.625
13,5,5686,santa rosa de osos,antioquia,1953,122,9505895.464285713,385,75448220.625,0,0.0,507,84954116.0892857
14,5,5756,sonson,antioquia,1953,830,50235237.69642857,119,15966703.874999998,0,0.0,949,66201941.57142857
15,5,5761,sopetran,antioquia,1953,652,37727453.08928571,62,17282233.39285714,0,0.0,714,55009686.48214285
16,5,5789,tamesis,antioquia,1953,721,65685358.92857143,280,37035644.46428571,0,0.0,1001,102721003.39285712
17,5,5837,turbo,antioquia,1953,239,12042906.857142856,63,22027120.39285714,0,0.0,302,34070027.25
18,5,5847,urrao,antioquia,1953,155,19722189.964285716,33,6446706.910714285,0,0.0,188,26168896.875
19,5,5887,yarumal,antioquia,1953,772,57979188.80357143,444,107337823.01785712,0,0.0,1216,165317011.82142857
20,5,5890,yolombo,antioquia,1953,722,43393917.37499999,189,59570084.62499999,0,0.0,911,102964002.0
