,index,Unnamed: 0,Cod Dep,cod_mpio,Oficina,Poblacion,Departamento,Anio,CP - Numero,CP - Valor,MP - Numero,MP - Valor,LP - Numero,LP - Valor,T - Numero,T - Valor
55,55,55,17,17001,manizales,105380.56,caldas,1952,650,1149.96,187,802.71,0,0.0,837,1952.67
56,56,56,17,17433,manzanares,13475.5,caldas,1952,1043,7677.91,102,2361.16,0,0.0,1145,10039.07
57,57,57,17,66440,marsella,13131.24,caldas,1952,168,1718.31,104,869.26,0,0.0,272,2587.57
58,58,58,17,17541,pensilvania,24766.28,caldas,1952,1090,3954.98,135,1002.61,0,0.0,1225,4957.59
59,59,59,17,66001,pereira,94796.36,caldas,1952,459,1020.18,311,1223.57,0,0.0,770,2243.75
60,60,60,17,63548,pijao,1975.51,caldas,1952,137,16823.99,86,14566.58,0,0.0,223,31390.57
61,61,61,17,17614,riosucio,28140.69,caldas,1952,1303,2368.74,123,1227.65,0,0.0,1426,3596.39
62,62,62,17,17653,salamina,18709.03,caldas,1952,929,4509.77,305,4179.69,0,0.0,1234,8689.47
63,63,63,17,66682,santa rosa de cabal,19511.35,caldas,1952,520,2762.96,322,2906.8,0,0.0,842,5669.76
64,64,64,17,66687,santuario,10876.12,caldas,1952,361,7524.88,160,4043.11,0,0.0,521,11567.99
65,65,65,18,18001,florencia,15883.77,caqueta,1952,1054,4654.63,298,5984.96,0,0.0,1352,10639.58
66,66,66,19,19100,bolivar,21591.58,cauca,1952,354,1319.17,216,1384.36,0,0.0,570,2703.54
67,67,67,19,19256,el tambo,14508.93,cauca,1952,540,1670.74,57,634.01,0,0.0,597,2304.75
68,68,68,19,19001,popayan,37277.35,cauca,1952,2122,5217.21,417,4566.83,0,0.0,2539,9784.04
69,69,69,19,19573,puerto tejada,9752.6,cauca,1952,550,4903.69,103,4073.44,0,0.0,653,8977.13
70,70,70,19,19698,santander,14059.59,cauca,1952,723,4389.82,199,3256.79,0,0.0,922,7646.62
71,71,71,23,23068,ayapel,8316.62,cordoba,1952,203,3643.37,164,7506.26,0,0.0,367,11148.91
72,72,72,23,23162,cerete,10818.32,cordoba,1952,583,9245.44,264,7875.7,0,0.0,847,17121.14
73,73,73,23,23417,lorica,19051.77,cordoba,1952,1543,6371.76,178,4053.53,0,0.0,1721,10425.29
74,74,74,23,23001,monteria,51549.7,cordoba,1952,689,2488.95,176,2166.86,0,0.0,865,4655.81
75,75,75,23,23660,sahagun,17778.65,cordoba,1952,549,2291.38,458,7293.64,0,0.0,1007,9585.03
76,76,76,23,23807,tierralta,8666.37,cordoba,1952,92,1476.01,22,852.43,0,0.0,114,2328.45
77,77,77,25,25040,anolaima,14997.81,cundinamarca,1952,603,4735.96,18,502.6,0,0.0,621,5238.56
78,78,78,25,25053,arbelaez,7224.54,cundinamarca,1952,575,6316.11,53,2907.74,0,0.0,628,9223.85
79,79,79,25,11001,bogota,562223.35,cundinamarca,1952,1184,640.57,736,830.08,0,0.0,1920,1470.65
80,80,80,25,25175,chia,7814.21,cundinamarca,1952,119,1851.04,26,905.69,0,0.0,145,2756.73
81,81,81,25,25183,choconta,8874.01,cundinamarca,1952,1095,9246.93,141,3533.14,0,0.0,1236,12780.07
82,82,82,25,25269,facatativa,14546.27,cundinamarca,1952,1182,12122.7,106,3712.09,0,0.0,1288,15834.79
83,83,83,25,25279,fomeque,8540.69,cundinamarca,1952,459,3804.35,112,2100.87,0,0.0,571,5905.22
84,84,84,25,25290,fusagasuga,16434.53,cundinamarca,1952,1133,6213.61,101,1973.7,0,0.0,1234,8132.55
85,85,85,25,25297,gacheta,12179.46,cundinamarca,1952,2017,10817.27,212,2924.11,0,0.0,2229,13741.37
86,86,86,25,25307,girardot,32310.38,cundinamarca,1952,829,6286.57,151,2694.1,0,0.0,980,8980.66
87,87,87,25,25322,guasca,4543.37,cundinamarca,1952,177,4367.46,4,207.36,0,0.0,181,4574.82
88,88,88,25,25326,guatavita,4044.15,cundinamarca,1952,264,8407.16,13,1374.58,0,0.0,277,9781.73
89,89,89,25,25377,la calera,5785.9,cundinamarca,1952,195,3107.42,51,3674.44,0,0.0,246,6781.87
90,90,90,25,25386,la mesa,11270.33,cundinamarca,1952,1348,9915.25,55,1992.63,0,0.0,1405,11907.88
91,91,91,25,25394,la palma,11338.71,cundinamarca,1952,625,3241.97,67,1469.87,0,0.0,692,4711.84
92,92,92,25,25398,la peña,6222.0,cundinamarca,1952,229,2505.06,32,1226.13,0,0.0,261,3731.2
93,93,93,25,25513,pacho,18324.54,cundinamarca,1952,800,3812.67,74,1845.32,0,0.0,874,5657.99
94,94,94,25,25662,san juan de rioseco,9678.31,cundinamarca,1952,563,9932.64,29,1936.79,0,0.0,592,11869.43
95,95,95,25,25718,sasaima,5587.97,cundinamarca,1952,310,4989.26,44,2768.65,0,0.0,354,7757.91
96,96,96,25,25754,soacha,11426.99,cundinamarca,1952,451,5641.65,28,729.14,0,0.0,479,6370.79
97,97,97,25,25758,sopo,2350.73,cundinamarca,1952,131,8360.17,12,3093.77,0,0.0,143,11453.94
98,98,98,25,25843,ubate,8440.78,cundinamarca,1952,1166,12293.89,156,9057.82,0,0.0,1322,21351.7
99,99,99,25,25845,une,4373.29,cundinamarca,1952,944,16256.58,154,5513.04,0,0.0,1098,21769.62
100,100,100,25,25862,vergara,8407.52,cundinamarca,1952,276,3465.92,3,92.18,0,0.0,279,3558.1
101,101,101,25,25875,villeta,8773.33,cundinamarca,1952,269,3399.45,21,963.55,0,0.0,290,4363.0
